adverb	frequency
private	2
poorer	2
past	2
paradoxically	2
overheads	2
onward	2
of	2
occasionally	2
obviously	2
nt	2
npv	2
notwithstanding	2
nmmu	2
nearby	2
modestly	2
mechanically	2
maybe	2
manual	2
little	2
kind	2
irrespective	2
inevitably	2
inefficiently	2
indicatively	2
including	2
inadequately	2
hopefully	2
genetically	2
full	2
freely	2
foremost	2
fold	2
fiscally	2
fifth	2
favorably	2
farther	2
expressly	2
everywhere	2
electronically	2
ecosystem	2
easier	2
distinctly	2
direct	2
digitally	2
deliberately	2
definitely	2
deeper	2
deep	2
conversely	2
consensually	2
consciously	2
conceivably	2
communally	2
categorically	2
because	2
axis	2
autonomously	2
albacore	2
agriculturally	2
agribusiness	2
aggressively	2
after	2
afro	2
activities(iga)such	2
accurately	2
14-dec-2016	2
11th	2
1.1.5	2
-only	2
¶5.6	1
¶1.8	1
www.siogranos.com.ar	1
wua	1
worst	1
within	1
westward	1
well-	1
wb-	1
vividly	1
vitally	1
vastly	1
upwards	1
upward	1
uptake	1
unusually	1
unsightly	1
unlikely	1
universally	1
unintentionally	1
unilaterally	1
uniformly	1
unfavorably	1
unduly	1
undisputedly	1
underweight	1
undertake7	1
undersupply	1
understandably	1
troika	1
triple	1
tragically	1
tosustainably	1
topographically	1
toimaily	1
th§	1
temporally	1
tco2	1
surely	1
summarily	1
successively	1
stringently	1
strikingly	1
sparse	1
southwards	1
somewhere	1
somehow	1
some	1
smarter	1
slow	1
sisa)33	1
severally	1
sequentially	1
selectively	1
seismically	1
sectorally	1
seamlessly	1
scientifically	1
schematically	1
rural	1
rigorously	1
richly	1
resultantly	1
respectively)24	1
resilient	1
reputedly	1
repeatedly	1
remote	1
reflectively	1
reciprocally	1
reactivate	1
ratably	1
rada	1
quicker	1
quantitatively	1
qualitatively	1
prudently	1
prudentially	1
provincially	1
prohibitively	1
profile	1
productive	1
preventively	1
presumably	1
prerequisite	1
preliminarily	1
preferentially	1
practically	1
pbas]–2016	1
participatorily	1
parallel	1
pairi	1
overseas	1
overly	1
oven	1
out-	1
organizationally	1
organise	1
optimise	1
openly	1
ope^at	1
op4.09	1
onwards	1
oie	1
off-	1
objective	1
oard	1
numerically	1
nowadays	1
notoriously	1
noticeably	1
north	1
no.1/2016	1
next	1
neither	1
nearer	1
narrowly	1
mullally	1
monrm	1
monoculturally	1
moderatly	1
moali	1
mksp	1
miscellaneous	1
minimally	1
meticulously	1
mely	1
matter	1
massively	1
mandatorily	1
main	1
lswi)26	1
lowest	1
lo	1
linguistically	1
lead	1
laterally	1
late	1
knowledgeably	1
kenya?s	1
judiciously	1
isra	1
irregularly	1
inversely	1
intricately	1
intimately	1
intentionally	1
intensely	1
instrument	1
inside	1
innovatively	1
informationlocally	1
indefinitely	1
imperfectly	1
imo	1
ifmis	1
https://idbg.sharepoint.com/teams/ez-pr-lon/pr-l1148/_layouts/15/docidredir.aspx?id=ezshare-1395480667-24	1
http://documents.worldbank.org/curated/en/2014/01/19871408/poverty-	1
hot	1
henceforth	1
hcp	1
harshly	1
harmoniously	1
grossly	1
gravitationally	1
go	1
glaringly	1
genuinely	1
generationally	1
furthest	1
functionally	1
fucap	1
frequency13	1
fraudulently	1
fortunately	1
fortnightly	1
forcefully	1
flat	1
fivefold	1
fip	1
fiduciary	1
fewer	1
federally	1
feasibly	1
favourably	1
exponentially	1
expensive	1
exclsuively	1
excessively	1
exactly	1
evidently	1
esia	1
epizooty	1
endemic	1
end-2016	1
earf	1
eagerly	1
dynamically	1
downward	1
doubly	1
double	1
disturbingly	1
disbu^eme	1
diligently	1
differently	1
developed/	1
deve	1
desperately	1
demonstrably	1
demographically	1
democratically	1
definitively	1
day-	1
dangerously	1
dambos	1
customarily	1
course	1
cooperatively	1
contributingapproximately	1
constructively	1
coni	1
conditionally	1
concomitantly	1
comfortably	1
collaboratively	1
coherently	1
cnvkonmentally	1
climactically	1
clear	1
chiefly	1
characteristically	1
casually	1
cari	1
biannually	1
bast	1
basically	1
bank-	1
bank	1
badly	1
b5	1
availably	1
aslo	1
asap	1
artificially	1
arguably	1
argentina	1
arbitrarily	1
approximate	1
anywhere	1
anyway	1
anually	1
anticipatively	1
animal-	1
andalso	1
amravati	1
ambitiously	1
although	1
alimentaire	1
alignment	1
alarmingly	1
akin	1
agroecologically	1
agro-	1
agro	1
agricultural	1
afterwards	1
afterward	1
afloat	1
affordably	1
affectively	1
afar	1
af	1
advantageously	1
admittedly	1
administratively	1
ac	1
abruptly	1
a2	1
a1.3.3	1
97th	1
830/2016	1
67th	1
66th	1
6.3.1	1
5.1.3	1
44th	1
446,32	1
33rd	1
30-oct-2016	1
3.2.1	1
26th	1
23-dec-2016	1
188th	1
182th	1
18-nov-2016	1
18-jul-2016	1
178th	1
174th	1
168th	1
157th	1
153rd	1
149th	1
148th	1
147th	1
10th	1
08-apr-2016	1
