identifier	question
WB120	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB120	Yes Is a separate PMP required?
WB120	Yes OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB79	Have costs related to safeguard policy measures been included in the project cost?
WB79	SAFEGUARD POLICIES THAT MIGHT APPLY Safeguard Policies Triggered?
WB79	Yes[ X] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB79	Yes[ X] No[] NA[] Has the RVP approved such an exception?
WB79	Yes[ X] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB79	Yes[ X] No[] NA[] PHCompliance OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB22	Are PMP requirements included in project design?
WB22	If yes, does the project team include a Pest Management Specialist?
WB22	NA If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB22	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB22	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB22	Yes Have costs related to safeguard policy measures been included in the project cost?
WB22	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB22	Yes Is a separate PMP required?
WB22	Yes OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB22	www.midas.co.me OPS_ PM_D ISCL OSURE_TA BLE Pest Management Plan Was the document disclosed prior to appraisal?
WB15	Are PMP requirements included in project design?
WB15	If yes, does the project team include a Pest Management Specialist?
WB15	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB15	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB15	Yes Have costs related to safeguard policy measures been included in the project cost?
WB15	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB15	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB15	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB15	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB15	Yes Is a separate PMP required?
WB15	Yes OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB8	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB8	Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB8	Safeguard Policies that might apply Safeguard Policies Triggered?
WB8	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB8	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB8	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB8	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB8	Yes[] No[] NA[] Is a separate PMP required?
WB8	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB8	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB28	Are PMP requirements included in project design?
WB28	If yes, does the project team include a Pest Management Specialist?
WB28	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB28	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB28	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB28	Yes Have costs related to safeguard policy measures been included in the project cost?
WB28	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB28	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB28	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB28	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB28	Yes Is a separate PMP required?
WB28	Yes OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB45	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB45	Provided estimated number of people to be affected Yes[] No[] TBD[] Is economic displacement expected?
WB45	Safeguard Policies that might apply Safeguard Policies Triggered?
WB45	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB45	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB45	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB45	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB45	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB45	Yes[] No[] NA[] Is a separate PMP required?
WB45	Yes[] No[] NA[] Is physical displacement/ relocation expected?
WB45	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB6	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB6	SAFEGUARD POLICIES THAT MIGHT APPLY Safeguard Policies Triggered?
WB6	Yes[ X] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB6	Yes[ X] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB6	Yes[ X] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB6	Yes[ X] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB6	Yes[ X] No[] NA[] Is a separate PMP required?
WB6	Yes[ X] No[] NA[] Is physical displacement/ relocation expected?
WB6	Yes[ X] No[] NA[] PHCompliance OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB6	Yes[] No[ X] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB6	Yes[] No[ X] TBD[] Is economic displacement expected?
WB17	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB17	Pest Management Plan Was the document disclosed prior to appraisal?
WB17	Safeguard Policies that might apply Safeguard Policies Triggered?
WB17	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB17	Yes[] No[] NA[] Has the RVP approved such an exception?
WB17	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB17	Yes[] No[] NA[] Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB17	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB17	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB17	Yes[] No[] NA[] Is a separate PMP required?
WB17	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB17	Yes[] No[] NA[] OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB17	Yes[] No[] NA[] OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB17	Yes[] No[] NA[] Page 13 of 14 Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB17	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB29	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB29	Provided estimated number of people to be affected Yes[] No[] TBD[] Is economic displacement expected?
WB29	Safeguard Policies that might apply Safeguard Policies Triggered?
WB29	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB29	Yes[] No[] NA[] Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB29	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB29	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB29	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB29	Yes[] No[] NA[] Is a separate PMP required?
WB29	Yes[] No[] NA[] Is physical displacement/ relocation expected?
WB29	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB29	Yes[] No[] NA[] OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB29	Yes[] No[] NA[] Page 11 of 11 Have costs related to safeguard policy measures been included in the project cost?
WB4	Are PMP requirements included in project design?
WB4	Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB4	If yes, does the project team include a Pest Management Specialist?
WB4	NA Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB4	NA OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB4	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB4	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB4	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB4	Yes Have costs related to safeguard policy measures been included in the project cost?
WB4	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB4	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB4	Yes Is a separate PMP required?
WB27	Are PMP requirements included in project design?
WB27	If yes, does the project team include a Pest Management Specialist?
WB27	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB27	No Does the project design include satisfactory measures to overcome these constraints?
WB27	No OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB27	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB27	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB27	Yes Have costs related to safeguard policy measures been included in the project cost?
WB27	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB27	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB27	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB27	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB27	Yes Is a separate PMP required?
WB12	Are PMP requirements included in project design?
WB12	If yes, does the project team include a Pest Management Specialist?
WB12	NA OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB12	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB12	No If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB12	OPS_ PM_D ISCL OSURE_TA BLE Pest Management Plan Was the document disclosed prior to appraisal?
WB12	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB12	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB12	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB12	Yes Does the project design include satisfactory measures to overcome these constraints?
WB12	Yes Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB12	Yes Have costs related to safeguard policy measures been included in the project cost?
WB12	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB12	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB12	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB12	Yes Is a separate PMP required?
WB12	Yes OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB77	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB77	Is this a Repeater project?
WB77	OP/ BP 4.12- Involuntary Resettlement Has a resettlement plan/ abbreviated plan/ policy framework/ process framework( as appropriate) been prepared?
WB77	Provided estimated number of people to be affected Yes[] No[] TBD[] Is economic displacement expected?
WB77	Safeguard Policies that might apply Safeguard Policies Triggered?
WB77	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB77	Yes[] No[] NA[] Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB77	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB77	Yes[] No[] NA[] Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB77	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB77	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB77	Yes[] No[] NA[] Is a separate PMP required?
WB77	Yes[] No[] NA[] Is physical displacement/ relocation expected?
WB77	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB77	Yes[] No[] NA[] OP/ BP 4.04- Natural Habitats Would the project result in any significant conversion or degradation of critical natural habitats?
WB77	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB23	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB23	No Is this a Transferred project?
WB23	SAFEGUARD POLICIES THAT MIGHT APPLY Safeguard Policies Triggered?
WB23	Yes x No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB23	Yes x No[] NA[] Is a separate PMP required?
WB23	Yes[ X] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB23	Yes[] No x NA[] Does the project design include satisfactory measures to overcome these constraints?
WB23	Yes[] No x NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB23	Yes[] No x NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB23	Yes[] No x TBD[] Is economic displacement expected?
WB23	Yes[] No[] NA x Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB23	Yes[] No[] NA x Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB23	Yes[] No[] NA x Is physical displacement/ relocation expected?
WB23	Yes[] No[] NA x PHCompliance OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB50	Are PMP requirements included in project design?
WB50	If yes, does the project team include a Pest Management Specialist?
WB50	NA Does the project design include satisfactory measures to overcome these constraints?
WB50	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB50	NA OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB50	No If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB50	No OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB50	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB50	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB50	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB50	Yes Have costs related to safeguard policy measures been included in the project cost?
WB50	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB50	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB50	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB50	Yes Is a separate PMP required?
WB9	Are PMP requirements included in project design?
WB9	If yes, does the project team include a Pest Management Specialist?
WB9	NA Does the project design include satisfactory measures to overcome these constraints?
WB9	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB9	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB9	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB9	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB9	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB9	Yes Have costs related to safeguard policy measures been included in the project cost?
WB9	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB9	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB9	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB9	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB9	Yes Is a separate PMP required?
WB9	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB9	Yes OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB78	Are PMP requirements included in project design?
WB78	If yes, does the project team include a Pest Management Specialist?
WB78	NA Does the project design include satisfactory measures to overcome these constraints?
WB78	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB78	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB78	No Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB78	No OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB78	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB78	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB78	Yes Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB78	Yes Have costs related to safeguard policy measures been included in the project cost?
WB78	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB78	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB78	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB78	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB78	Yes Is a separate PMP required?
WB78	Yes OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB105	Are PMP requirements included in project design?
WB105	If yes, does the project team include a Pest Management Specialist?
WB105	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB105	NA Has the RVP approved such an exception?
WB105	NA Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB105	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB105	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB105	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB105	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB105	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB105	Yes Have costs related to safeguard policy measures been included in the project cost?
WB105	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB105	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB105	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB105	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB105	Yes Is a separate PMP required?
WB105	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB105	Yes OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB35	Are PMP requirements included in project design?
WB35	If yes, does the project team include a Pest Management Specialist?
WB35	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB35	NA Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB35	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB35	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB35	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB35	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB35	Yes Has the RVP approved such an exception?
WB35	Yes Have costs related to safeguard policy measures been included in the project cost?
WB35	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB35	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB35	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB35	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB35	Yes Is a separate PMP required?
WB35	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB35	Yes OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB39	Are PMP requirements included in project design?
WB39	If yes, does the project team include a Pest Management Specialist?
WB39	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB39	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB39	No Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB39	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB39	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB39	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB39	Yes Have costs related to safeguard policy measures been included in the project cost?
WB39	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB39	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
