quadgram	frequency
environmental and social risks	63
a copy of the	62
the first principal payment	62
environmental and social impact	62
first principal payment date	62
as amended from time	62
the first disbursement of	62
into force of the	61
the project is to	61
financing in terms of	61
impacts of climate change	61
with government priorities and	61
alignment with government priorities	61
the proposed financing will	60
the board of directors	60
to contribute to the	60
with a focus on	60
agreement establishing ifad and	60
rural development and poverty	60
establishing ifad and the	60
the negotiated financing agreement	60
the agreement establishing ifad	60
the provisions of this	60
withdrawn from the loan	60
of the negotiated financing	59
is invited to approve	59
executive board is invited	59
executive board approve the	59
with the agreement establishing	59
approve the proposed financing	59
approval the executive board	59
that the executive board	59
its laws to receive	59
invited to approve the	59
to receive financing from	59
food and agriculture organization	59
under its laws to	59
the legal instrument for	59
food security and nutrition	59
recommendation for approval the	59
the executive board is	59
legal instrument for extending	59
ifad will constitute the	59
for approval the executive	59
strategic context and rationale	59
statements for the project	59
laws and regulations of	59
that the proposed financing	59
board is invited to	59
objective of this component	59
receive financing from ifad	59
regulations of the borrower	59
and cleared by adb	59
recommend that the executive	59
constitute the legal instrument	59
will constitute the legal	59
will be included in	59
i recommend that the	59
the executive board approve	59
board approve the proposed	59
and alignment with government	59
for extending the proposed	59
instrument for extending the	59
and ifad will constitute	59
financing summary initiating institution	58
proposed financing will comply	58
in the event of	58
costs by expenditure category	58
empowered under its laws	58
proposed financing in terms	58
i am satisfied that	58
satisfied that the proposed	58
risk identification and mitigation	58
context and rationale a	58
is empowered under its	58
rationale and alignment with	58
to approve the recommendation	58
laws to receive financing	58
terms of the following	58
will be set up	58
area and target group	58
am satisfied that the	58
copy of the negotiated	58
the proposed financing in	58
financing will comply with	58
comply with the agreement	58
borrower shall ensure or	58
financing agreement between the	58
of the loan proceeds	57
as contained in paragraph	57
carrying out of the	57
for the establishment of	57
project is aligned with	57
agency investment project financing	57
technical and financial partners	57
the carrying out of	57
the project will contribute	57
to the borrower from	57
implementing agency investment project	57
the provisions of schedule	57
shall ensure or cause	57
and the private sector	56
project in accordance with	56
be carried out by	56
of the agriculture sector	56
environmental and social assessment	56
provisions of schedule to	56
the total project cost	56
of the borrower and	56
the development of a	56
development and poverty context	56
negotiated financing agreement is	56
the preparation of the	55
effects of climate change	55
of economy and finance	55
out in accordance with	55
carried out in accordance	55
to the development of	55
of agricultural value chains	55
to climate change and	55
the results of the	55
approve the recommendation for	55
appraisal stage pid isds	55
the project in accordance	55
the appraisal stage pid	55
extending the proposed financing	55
for withdrawal from the	54
ministry of economy and	54
social risks and impacts	54
and operation of the	54
benefit and economic analysis	54
of the loan agreement	54
the project implementation unit	54
by expenditure category and	54
the recommendation for the	54
in the area of	54
the project will provide	54
recommendation for the proposed	54
and rural development and	54
adb has agreed to	54
and social management plan	53
the design of the	53
at the same time	53
after the date of	53
country and rural development	53
loan withdrawn from the	53
summary benefit and economic	53
the objective of the	52
thousand special drawing rights	52
and social safeguards specialists	52
financing agreement is attached	52
the project management unit	52
withdrawal from the loan	52
costs by component and	52
amount of ifad loan	52
will be used for	52
of the proposed project	52
terms of ifad loan	52
the sustainability of the	52
million contribution of beneficiaries	52
of the rural population	52
shall ensure that all	52
shall provide a loan	52
ministry of finance and	51
allocation and withdrawal of	51
objective of the project	51
ifad loan ifad grant	51
with an emphasis on	51
measures and requirements set	51
out of the project	51
as one of the	51
be subject to the	51
in collaboration with the	51
any corrective or preventative	51
corrective or preventative actions	51
withdrawal of loan proceeds	51
is based on the	51
and any corrective or	51
the purposes of the	51
expenditure category and financier	51
and asian development bank	51
the project will have	51
with the private sector	51
and natural resource management	50
basis for withdrawal from	50
a result of the	50
or any successor thereto	50
is to contribute to	50
in the areas of	50
and withdrawal of loan	50
the loan withdrawn from	50
proposed loan to the	50
provide a loan on	50
of the project that	49
the amount of us	49
the provisions of the	49
is fully aligned with	49
expenditure to be financed	49
the project is also	49
financing to the borrower	49
of the united nations	49
by the borrower to	49
it is expected that	49
implemented in accordance with	49
or preventative actions set	49
development of value chains	49
of expenditure to be	49
the impacts of climate	49
items of expenditure to	49
and the ministry of	49
management of natural resources	49
and criteria for ifad	49
acceptable to the bank	49
policies and criteria for	49
the development of agricultural	49
agreement between the republic	48
the project that were	48
loan agreement for the	48
accordance with the procurement	48
if the amount of	48
expenditures in that category	48
agreed expenditures in that	48
to any category appears	48
no the project will	48
of the total cost	48
provisions of this loan	48
the borrower shall pay	48
by notice to the	48
meet the estimated shortfall	48
allocated to any category	48
criteria for ifad financing	48
set forth in a	48
monitoring and evaluation system	48
table project costs by	48
agreement for the purposes	48
a resettlement policy framework	47
improve the quality of	47
the policies and criteria	47
the republic of the	47
by component and financier	47
ifad and the policies	47
access to markets and	47
and the policies and	47
with the support of	47
precedent to first disbursement	47
any category appears to	47
will be achieved through	47
will be subject to	47
actions set forth in	46
behalf of the borrower	46
management of the project	46
notice to the borrower	46
this component will finance	46
a safeguards monitoring report	46
about percent of the	46
below the poverty line	46
the loan regulations shall	46
it is estimated that	46
in a safeguards monitoring	46
loan allocated to any	46
and the development of	46
preventative actions set forth	46
all agreed expenditures in	46
forth in the table	46
ensure or cause the	46
impacts associated with the	46
submitted to the bank	46
months after the end	45
will be submitted to	45
of the general conditions	45
policy is not triggered	45
supported by the project	45
used in this loan	45
including a grace period	45
cent of the population	45
a grace period of	45
monitoring and evaluation of	45
the project will promote	45
activities in the project	44
the following is specified	44
of the value chain	44
will also contribute to	44
data ops table country	44
with the amortization schedule	44
the project does not	44
the programme will be	44
following is specified as	44
of the loan allocated	44
fully aligned with the	44
ops table country project	44
on the financial statements	44
the loan allocated to	44
cause the project executing	44
works and consulting services	44
the agricultural sector in	44
loan shall be allocated	44
integrated safeguards data sheet	44
that the project is	44
table country project id	44
economic and social development	44
economic internal rate of	44
a grant to the	44
or cause the project	44
forth in a safeguards	43
per cent per annum	43
this loan agreement shall	43
food and nutritional security	43
concept stage date prepared	43
and the world bank	43
is estimated at us	43
executed and delivered on	43
in accordance with its	43
the project is aligned	43
withdrawals from the loan	43
government priorities and rb	43
and delivered on behalf	43
support for the establishment	43
the quality of life	43
financed by the bank	43
safeguard policies that might	43
accordance with the amortization	43
specified as an additional	43
delivered on behalf of	43
basic project data country	43
agreement is attached as	42
loan regulations shall be	42
will be supported by	42
to the implementation of	42
the effects of climate	42
is specified as an	42
as updated from time	42
operation and maintenance of	42
out in the procurement	42
growth and poverty reduction	42
this loan agreement for	42
set forth in chapter	42
opportunity cost of capital	42
percent of the total	42
the lake chad region	42
updated from time to	42
each principal payment date	42
project management and coordination	42
plan for the project	42
of the private sector	42
agreement between the borrower	41
the borrower and cleared	41
to improve access to	41
id parent project id	41
be submitted to the	41
with respect to the	41
project id parent project	41
building the capacity of	41
will be implemented over	41
country project id parent	41
forth in the procurement	41
and learning and knowledge	41
days after the date	41
for the procurement of	41
carried out by the	41
schedule set forth in	41
be based on the	41
economic rate of return	41
basic project data ops	41
significant and or irreversible	41
amortization schedule set forth	41
forth in chapter v	41
the m e system	41
the amortization schedule set	41
in the financing agreement	41
project data ops table	41
date of this loan	40
shall provide a grant	40
and or irreversible impacts	40
the establishment of an	40
project area and target	40
the detailed arrangements set	40
arrangements set forth in	40
the loan account and	40
institutional and implementation arrangements	40
borrower shall cause the	40
they relate to the	40
soil and water conservation	40
the date of this	40
for implementation of the	40
detailed arrangements set forth	40
supervised by ifad eb	40
build the capacity of	40
the total cost of	40
at the local level	40
by the government of	40
borrower and cleared by	40
the central bank of	40
indirect and or long	40
project will be financed	39
of agriculture and rural	39
quality of life for	39
bank for reconstruction and	39
the performance of the	39
project is consistent with	39
within the framework of	39
and in accordance with	39
for reconstruction and development	39
and agreed between the	39
the loan account in	39
loan to the republic	39
the bank and the	39
or long term impacts	38
over the past decade	38
an enabling environment for	38
more than percent of	38
the principles and requirements	38
will be implemented by	38
page of project information	38
of which ibrd ida	38
specialists on the team	38
of the principal amount	38
ministry of rural development	38
international bank for reconstruction	38
conditions precedent to first	38
of project information document	38
work plans and budgets	38
means the principles and	38
the borrower shall enable	38
and per cent of	38
by the bank and	38
the establishment of the	38
on a competitive basis	38
safeguards specialists on the	38
accordance with its terms	38
social safeguards specialists on	38
principles and requirements set	38
project will not finance	38
be specified in the	38
and to be financed	38
with the world bank	38
and maintenance of the	38
standards acceptable to adb	37
for value chain development	37
the project is in	37
and terms of reference	37
all applicable laws and	37
bank group financing international	37
is implemented in accordance	37
results chain performance indicators	37
in rural areas and	37
as described in the	37
the african development fund	37
is not expected to	37
has agreed to make	37
this will be achieved	37
to time in accordance	37
part of the project	37
the borrower for the	37
time in accordance with	37
potential indirect and or	37
time to time in	37
food and nutrition insecurity	37
the ministry of environment	37
the project will help	37
country strategic opportunities programme	37
and or long term	37
term impacts due to	36
grace period of years	36
were not considered in	36
the opportunity cost of	36
relate to the project	36
and social management plans	36
the food and agriculture	36
the ministry of economy	36
of the financing agreement	36
of the republic of	36
newfinen h world bank	36
all measures and requirements	36
m e system will	36
due to anticipated future	36
of the following resolution	36
this component will be	36
that may be needed	36
taken by the borrower	36
to anticipated future activities	36
impacts due to anticipated	36
make it possible to	36
through the development of	36
h world bank group	36
not considered in the	36
will be given to	36
in form and substance	35
means of verification risks	35
with the proposed project	35
land and water management	35
combined project information documents	35
future activities in the	35
of agriculture and food	35
the agricultural and rural	35
the selected value chains	35
the private sector and	35
in united states dollars	35
that were not considered	35
provide a grant to	35
project costs by expenditure	35
the world bank group	35
lack of access to	35
project development objective is	35
and impacts associated with	35
anticipated future activities in	35
project information documents integrated	35
disbursed in accordance with	35
be disbursed in accordance	35
on each principal payment	35
of the loan to	35
will be required to	35
financed under the project	35
the borrower shall repay	35
all bidding documents and	35
information documents integrated safeguards	35
the pmu will be	35
on the other hand	34
will be provided by	34
the bidding documents and	34
avoid or minimize adverse	34
performance indicators means of	34
natural resource management and	34
associated with the proposed	34
under the supervision of	34
safeguard issues and impacts	34
and agriculture organization of	34
implement the measures described	34
design and implementation of	34
as set out in	34
to the world bank	34
purposes of the project	34
issues and impacts associated	34
long term impacts due	34
in the ministry of	34
this loan agreement and	34
organization of the united	34
will be provided to	34
for the project dated	34
may be amended from	34
outstanding from time to	34
the project is classified	34
implementation or operation of	34
borrower shall repay the	34
the effectiveness of the	34
any potential indirect and	34
will be established to	34
as well as a	34
at the regional level	34
be amended from time	34
agriculture organization of the	34
describe any potential indirect	34
through the provision of	34
annual growth rate of	34
a monitoring and evaluation	34
or operation of the	34
provide an assessment of	34
described in schedule to	34
and outstanding from time	34
of the project activities	34
in the rural areas	34
to plan and implement	33
loan agreement have the	33
in the project design	33
report proposed loan and	33
at least per cent	33
to address safeguard policy	33
for the proposed financing	33
identify and describe any	33
adaptation for smallholder agriculture	33
any potential large scale	33
institutional capacity for safeguard	33
the democratic republic of	33
in accordance with ifad	33
for smallholder agriculture programme	33
of borrower capacity to	33
terms to the republic	33
accounting and financial management	33
of the total project	33
strengthening the capacity of	33
will be able to	33
capacity for safeguard policies	33
and implement the measures	33
is also consistent with	33
describe any potential large	33
be financed by the	33
or minimize adverse impacts	33
comply with the measures	33
mechanisms for consultation and	33
the agricultural sector and	33
address safeguard policy issues	33
access to financial services	33
chain performance indicators means	33
the key stakeholders and	33
measures taken by the	33
environmental and social risk	33
the majority of the	33
capacity to plan and	33
plan and implement the	33
any safeguard issues and	33
help avoid or minimize	33
and livestock value chains	33
value chain development and	33
agricultural research and extension	33
to help avoid or	33
describe any safeguard issues	33
on the implementation of	33
strengthen the capacity of	33
and describe any potential	33
for consultation and disclosure	32
tentative target date for	32
consulting services shall be	32
timing should be specified	32
im p a c	32
p a c t	32
preparation to continue other	32
financial statements will be	32
stakeholders and describe the	32
key stakeholders and describe	32
to continue other decision	32
is to improve the	32
describe measures taken by	32
borrower capacity to plan	32
taking into account the	32
policy issues and their	32
the requirements set forth	32
the responsibility of the	32
of the total population	32
safeguard policy issues and	32
emphasis on potentially affected	32
the agriculture sector in	32
the ministry of rural	32
of the implementation of	32
of key safeguard issues	32
and their timing should	32
time frame for launching	32
on potentially affected people	32
development and implementation of	32
agreed to make a	32
the mechanisms for consultation	32
one of the most	32
and describe the mechanisms	32
the impact of the	32
describe the mechanisms for	32
of the project are	32
describe any project alternatives	32
the specific studies and	32
terms and conditions set	32
an assessment of borrower	32
take into account the	32
date for preparing the	32
and disclosure on safeguard	32
summary of key safeguard	32
disclosure on safeguard policies	32
issues and their management	32
the program operating regulations	32
objective is to improve	32
key safeguard policy issues	32
date in accordance with	32
consultation and disclosure on	32
procurement methods and procedures	32
in the use of	32
live in rural areas	32
identify the key stakeholders	32
target date for preparing	32
project costs by component	32
studies and their timing	32
the rest of the	32
assessment of borrower capacity	32
their timing should be	32
should be specified in	32
as well as in	32
the borrower to address	32
procurement plan for the	32
an emphasis on potentially	32
implementation institutional and implementation	32
borrower to address safeguard	32
specific studies and their	32
considered to help avoid	32
to enable them to	32
the support of the	32
amount of ifad grant	31
and implementation of the	31
as well as to	31
total cost of the	31
the loan withdrawn and	31
the world bank and	31
and conditions set forth	31
date of board approval	31
will be managed by	31
compliance with ifad policies	31
u t p u	31
in the technical annexes	31
for the promotion of	31
to be carried out	31
yes the project will	31
launching and completing the	31
for launching and completing	31
t p u t	31
frame for launching and	31
disbursement of the loan	31
and completing the safeguard	31
as defined in the	31
of agriculture and forestry	31
in charge of the	31
and access to markets	31
loan withdrawn and outstanding	31
account in accordance with	31
related studies that may	31
o u t p	31
of the loan in	31
be the responsibility of	31
p u t s	31
the project is not	31
in the carrying out	31
studies that may be	31
gender equality and women	31
and the use of	31
implementation of project activities	31
physical and price contingencies	31
this component will support	31
name parent project id	31
of the project facilities	31
estimated date of board	31
with the ministry of	31
the framework of the	31
in the process of	31
to ensure that all	31
project is in line	31
component of the project	31
in compliance with the	30
shall cause the project	30
t c o m	30
the borrower relating to	30
that the project will	30
under the project will	30
agriculture financing instrument borrower	30
the union of myanmar	30
borrower for the purposes	30
for the people of	30
u t c o	30
c o m e	30
supporting the development of	30
for african agricultural transformation	30
of the executing agency	30
by agreement between the	30
of verification risks mitigation	30
time to time by	30
an increase in the	30
potential environmental and social	30
annual work plans and	30
thereto acceptable to adb	30
within the meaning of	30
precedent to the first	30
for the agriculture sector	30
indicators means of verification	30
as part of a	30
on highly concessional terms	30
of the borrower relating	30
terms used in this	30
verification risks mitigation measures	30
in view of the	30
th out of countries	30
the entry into force	30
of the union of	30
is not triggered as	30
o u t c	30
republic of the union	30
of value chains and	30
of goods and services	30
economic and financial performance	30
small and medium enterprises	29
the project steering committee	29
project id project name	29
is also aligned with	29
the private sector to	29
project that were not	29
agreed with the bank	29
the islamic republic of	29
project activities will be	29
the procurement plan for	29
financial management and procurement	29
in the management of	29
sustainable land and water	29
this loan agreement have	29
to the first disbursement	29
is attached as appendix	29
loan agreement and the	29
any successor thereto acceptable	29
corporate considerations compliance with	29
for the agricultural sector	29
life for the people	29
and effect as if	29
of each fiscal year	29
the people of africa	29
project name parent project	29
be implemented over a	29
of the world bank	29
the management of the	29
and their management a	29
successor thereto acceptable to	29
the project is consistent	29
percent of the country	29
country strategy and objectives	29
innovations and scaling upc	29
of any third party	29
country project id project	29
the project implementation manual	29
also consistent with the	29
force and effect as	29
the policy is triggered	29
same force and effect	29
the loan closing date	29
in the course of	29
estimated date of appraisal	29
of natural resources and	29
o m e s	29
taken into account in	29
prior to the first	29
a wide range of	29
the borrower from adb	29
of life for the	29
the context of the	29
compliance with bank policies	29
vulnerability to climate change	29
in the lake chad	29
considerations compliance with ifad	29
in the loan regulations	29
loan to the borrower	29
will make it possible	29
id project name parent	29
project cost and financing	29
in each of the	29
agreement to be signed	29
and nutrition security and	29
such other date as	29
the agricultural sector is	29
compliance with ifad policiesa	29
procurement of goods and	29
safeguard preparation plan tentative	28
the operation and maintenance	28
did authorize the team	28
or intellectual property right	28
triggered by the project	28
preparing the appraisal stage	28
than percent of the	28
decision the review did	28
activities will be implemented	28
pidisdsc basic information a	28
intellectual property right or	28
principal payment date shall	28
of the first principal	28
the supervision of the	28
implementation of the gap	28
the same force and	28
preparation and implementation of	28
closing date for the	28
document integrated safeguards data	28
management and monitoring and	28
has been duly authorized	28
the project provinces to	28
of the project described	28
and social impact assessment	28
data country project id	28
appraisal stage date prepared	28
claim of any third	28
per cent of gdp	28
project will help to	28
other date as may	28
the project described in	28
of the project implementation	28
to appraise and negotiate	28
as of the first	28
the form of a	28
procurement and financial management	28
property right or claim	28
team to appraise and	28
through the promotion of	28
right or claim of	28
value chain development project	28
date of receipt by	28
plan tentative target date	28
the project and to	28
will need to be	28
to the agriculture sector	28
industrial property or intellectual	28
to increase agricultural productivity	28
charge on the loan	28
cause the project provinces	28
in close collaboration with	28
eligible crisis or emergency	28
may from time to	28
will build on the	28
a service charge of	28
will benefit from the	28
the programme will support	28
or claim of any	28
preparation plan tentative target	28
the loan proceeds to	28
receipt by the bank	28
to the effectiveness of	28
the objectives of the	28
is responsible for the	28
authorize the team to	28
loan account in accordance	28
time to time be	28
for preparing the appraisal	28
financing plan source amount	28
for per cent of	28
the proposed project would	28
technologies for african agricultural	28
of receipt by the	28
and environmental and social	28
the team to appraise	28
on the development of	28
property or intellectual property	28
any industrial property or	28
with support from the	28
attached as appendix i	28
become effective only after	27
information document integrated safeguards	27
total amount of ua	27
time by agreement between	27
and the establishment of	27
support will be provided	27
for the preparation of	27
project information document integrated	27
in paragraph of schedule	27
will be the responsibility	27
access to basic services	27
and capacity building of	27
under this component will	27
all conditions precedent to	27
category concept review decision	27
not violate or infringe	27
will take place in	27
approval of such change	27
the main source of	27
of the borrower to	27
accordance with the bank	27
the activities of the	27
infringe any industrial property	27
shall ensure that no	27
subsequent change to the	27
environmental and social measures	27
in the appraisal stage	27
project and operation of	27
be provided by the	27
financing source amount borrower	27
the competitiveness of the	27
any subsequent change to	27
the course of the	27
be set out in	27
as may from time	27
the allocation of the	27
to the financing of	27
date as may from	27
the context otherwise requires	27
accordance with the loan	27
under the project and	27
assessment category concept review	27
do not violate or	27
be implemented in the	27
to time by agreement	27
such change by the	27
to the board of	27
shall repay the principal	27
under the parent project	27
the project will adopt	27
shall become effective only	27
or such other date	27
of climate change and	27
the piu will be	27
to per cent of	27
the project has been	27
py v blogs el	27
and all conditions precedent	27
in the project implementation	27
of the environmental and	27
loan proceeds and the	27
at the provincial level	27
the project activities will	27
environmental assessment category concept	27
repay the principal amount	27
of such change by	27
the loan proceeds shall	27
and social risks and	27
specified in the appraisal	27
health and food safety	27
shall pay to adb	26
project data country project	26
the office of the	26
of proceeds of the	26
yes the policy is	26
article iv particular covenants	26
in the value chain	26
loan proceeds shall be	26
upon the terms and	26
management recommends that the	26
use of natural resources	26
maturity period of years	26
therein set forth unless	26
respective meanings therein set	26
to food and nutrition	26
paragraph of this schedule	26
time be agreed between	26
condition requiring the effectiveness	26
the productivity of the	26
set forth unless modified	26
be in charge of	26
ensure the sustainability of	26
iv particular covenants section	26
an administrative and financial	26
and the creation of	26
the financial and economic	26
will also support the	26
loan closing date for	26
and the promotion of	26
c t iv it	26
access to land and	26
or infringe any industrial	26
as if they were	26
withdrawn in accordance with	26
to the bank for	26
to the extent required	26
effect as if they	26
financial and accounting procedures	26
of even date herewith	26
on the use of	26
impacts of the project	26
with country strategy and	26
applied to adb for	26
the poor and vulnerable	26
the direct payment method	26
in the development of	26
date for the purposes	26
and implementation of a	26
to lend to the	26
use of proceeds of	26
as part of its	26
the first phase of	26
in the opinion of	26
the respective meanings therein	26
are estimated at us	26
of the project to	26
the design and implementation	26
the agricultural value chain	26
will be prepared for	26
from the ministry of	26
on the loan shall	26
to the extent that	26
and the allocation of	26
have been allocated to	26
violate or infringe any	26
for the effectiveness of	26
and all project facilities	26
any portion of the	26
for the benefit of	26
economic growth and poverty	26
project will also support	26
approximately per cent of	26
obligations set forth in	26
the terms of reference	26
loan on highly concessional	26
have the respective meanings	26
this loan agreement to	26
of the government of	26
the project activities are	26
later than months after	26
for the purpose of	26
project described in schedule	26
of small and medium	26
out of countries in	26
this loan agreement is	26
now therefore the parties	26
meanings therein set forth	26
the achievement of the	26
in the country and	26
to time be agreed	26
in the value chains	26
agreed upon with the	26
as such schedule may	26
included in the project	26
integrated pest management plan	26
small and marginal farmers	26
a c t iv	26
ministry in charge of	26
to be included in	26
in order to ensure	26
be agreed between the	26
the national development plan	26
in appendix of the	26
the project and operation	26
requiring the effectiveness of	26
environmental and social safeguard	26
with the procurement policy	26
allocated and withdrawn in	25
of the loan section	25
all obligations set forth	25
to the first principal	25
no later than months	25
the right of the	25
to each such category	25
at the farm level	25
shall be disbursed in	25
and withdrawn in accordance	25
for the project will	25
supervision and implementation support	25
administrative and financial officer	25
financing international development association	25
in the design of	25
forth unless modified herein	25
proceeds to each such	25
are hereby made applicable	25
loan agreement shall have	25
date days after the	25
the human development index	25
annual audited financial statements	25
and to be delivered	25
component will support the	25
in witness whereof the	25
they were fully set	25
first above written and	25
are not expected to	25
year year year year	25
a key role in	25
to the satisfaction of	25
risks and mitigation measures	25
representative of the borrower	25
the quality of the	25
proceeds shall be disbursed	25
the green morocco plan	25
in relation to the	25
names as of the	25
the value chain approach	25
hereby made applicable to	25
referred to in paragraph	25
if they were fully	25
to the ministry of	25
day and year first	25
ops table basic data	25
witness whereof the parties	25
the project executing agencies	25
loan agreement is specified	25
the financing of expenditures	25
be payable semiannually on	25
and year first above	25
a loan on highly	25
such schedule may be	25
borrower shall pay to	25
shall be payable semiannually	25
loan agreement to be	25
principal payment date in	25
relevant records and documents	25
table basic data a	25
schedule may be amended	25
the policy is not	25
total amount allocated for	25
agriculture and natural resources	25
an additional event for	25
means the period prior	25
rate of return of	25
right of the borrower	25
the day and year	25
be chaired by the	25
basic information ops table	25
wherever used in this	25
a net present value	25
beneficiaries borrower counterpart total	25
be part of the	25
or the context otherwise	25
a date days after	25
the needs of the	25
in their respective names	25
their respective names as	25
cause to be performed	25
the borrower to make	25
will be implemented through	25
group financing international development	25
is specified for the	25
over the past years	25
unless modified herein or	25
the terms of the	25
policies triggered by the	25
will report to the	25
of the day and	25
fully set forth herein	25
the creation of a	25
a summary of the	25
an integral part of	25
after approval of such	25
in the list of	25
loan shall be payable	25
shall have been made	25
information ops table basic	25
in the presence of	25
of the population in	25
borrower to make withdrawals	25
asian development bank dated	25
item total amount allocated	25
project monitoring and evaluation	25
be allocated and withdrawn	25
effective only after approval	25
and any relevant records	25
only after approval of	25
specified for the effectiveness	25
is expected to increase	25
any relevant records and	25
shall be allocated and	25
made applicable to this	25
as an additional event	25
respective names as of	25
the period prior to	25
days after the end	25
all or any portion	25
for the management of	25
were fully set forth	25
activities to be financed	25
agreement with the same	25
to be signed in	25
representatives to inspect the	25
agreement is specified for	25
year first above written	25
required to meet the	25
the implementation of activities	25
above written and to	25
period prior to the	25
