entity	type	frequency
pcmu	ORG	29
pagpa	ORG	29
isdb	ORG	29
cote d’ivoire	GPE	29
asia	LOC	29
awp/bs	ORG	29
v. corporate	ORG	28
urt	ORG	28
tunisia	ORG	28
sirp	ORG	28
prepas	ORG	28
moa	PERSON	28
un	ORG	27
safeguard policies triggered	ORG	27
lake chad	LOC	27
caribbean	LOC	27
b. alignment	ORG	27
wbg	ORG	26
section	ORG	26
prosap	ORG	26
pmv	ORG	26
peu	ORG	26
mis	ORG	26
mail	ORG	26
dli	ORG	26
concept stage	ORG	26
c. environmental	PERSON	26
afdb	LOC	26
waapp	ORG	25
south africa	GPE	25
south	LOC	25
pmt	ORG	25
moes	PERSON	25
europe	LOC	25
the ministry of rural development	ORG	24
h1 world bank group financing international development association	ORG	24
table	ORG	24
sec	ORG	24
project management unit	ORG	24
programme	PERSON	24
prodivac	ORG	24
par	ORG	24
maldives	GPE	24
mt	ORG	24
mawf	ORG	24
kcep	ORG	24
ipard	ORG	24
e. safeguard preparation plan tentative	ORG	24
dhi	ORG	24
the project implementation unit	ORG	23
the groundnut basin	LOC	23
the project development objective	ORG	23
technical	ORG	23
tbd	ORG	23
metro manila	PERSON	23
mosap	ORG	23
maf	ORG	23
kosovo	GPE	23
igad	ORG	23
guatemala	GPE	23
gou	ORG	23
basic project data country project id project name parent project	ORG	23
bafata	PERSON	23
the united nations	ORG	22
the loan disbursement handbook	ORG	22
states	GPE	22
rddp	ORG	22
project financing data	ORG	22
pnia	ORG	22
pad	ORG	22
oecs	ORG	22
mandaluyong city	GPE	22
mof	ORG	22
ippf	ORG	22
ict	ORG	22
grenada	GPE	22
c. proposed development objective(s	PERSON	22
agriculture	ORG	22
the ministry of agriculture and forestry	ORG	21
the lake chad	ORG	21
treasury	ORG	21
schedule 4	ORG	21
resepag ii	ORG	21
project management	ORG	21
opelip	ORG	21
natp-ii	ORG	21
mtr	ORG	21
madr	ORG	21
lebanon	GPE	21
indc	ORG	21
cuba	GPE	21
bpm	ORG	21
the food and agriculture organization of the united nations	ORG	20
samriddhi	GPE	20
pdzsta-kb	PERSON	20
padidfa	ORG	20
padecas	ORG	20
pacba	ORG	20
ntf	ORG	20
mofa	ORG	20
irriga	ORG	20
fonsis	ORG	20
european union	ORG	20
csf	ORG	20
car	ORG	20
c. innovations	PERSON	20
bl-bo	ORG	20
albania	GPE	20
ap	ORG	20
the world food programme	ORG	19
the steering committee	ORG	19
the republic of liberia	GPE	19
the ministry of environment	ORG	19
tcep ii	ORG	19
sub-saharan africa	GPE	19
sda	ORG	19
scpz	ORG	19
rllp	ORG	19
mapa	LOC	19
luhansk	PERSON	19
jamaica	GPE	19
ilo	ORG	19
ii	ORG	19
guangxi	GPE	19
gcf	ORG	19
fmd	ORG	19
f. project	ORG	19
eritrea	GPE	19
emf	ORG	19
drslp	ORG	19
dpo	ORG	19
côte d’ivoire	GPE	19
bfar	ORG	19
annex iii	ORG	19
aimu	ORG	19
aecid	ORG	19
ukraine	GPE	18
tahoua	PERSON	18
southern africa	LOC	18
peru	GPE	18
national agricultural research and extension systems	ORG	18
nd	GPE	18
mgap	ORG	18
integrated pest management	ORG	18
goods, works and services	ORG	18
gol	ORG	18
gbv	ORG	18
fnda	ORG	18
fd	ORG	18
donee	PERSON	18
d. concept description	PERSON	18
cosop	ORG	18
appendix 1	ORG	18
agricultural	ORG	18
the united republic of tanzania	GPE	17
the project coordination unit	ORG	17
the ministry of agriculture and livestock	ORG	17
the bank group	ORG	17
tnd	ORG	17
social risks	ORG	17
summary-n ewfin1	ORG	17
sce	ORG	17
sadp	ORG	17
netherlands	GPE	17
maradi	LOC	17
klnp	PERSON	17
international development association	ORG	17
ipf	ORG	17
icar	ORG	17
goa	ORG	17
esmr	ORG	17
dar	ORG	17
canada	GPE	17
cssp	ORG	17
brazzaville	GPE	17
andhra pradesh	GPE	17
avcp	ORG	17
the project steering committee	ORG	16
the program implementing agency	ORG	16
the alc management company	ORG	16
wua	ORG	16
urc	ORG	16
tralard	ORG	16
social impacts	ORG	16
png	ORG	16
pap	ORG	16
pa	ORG	16
oio	PERSON	16
ove	ORG	16
obnp	ORG	16
nsc	ORG	16
mag	ORG	16
mad	ORG	16
luhansk oblast	PERSON	16
lsi	ORG	16
ldcf	ORG	16
kabul	GPE	16
gender	ORG	16
ea	ORG	16
concept stage report	ORG	16
cktc	ORG	16
cca	ORG	16
beneficiary	PERSON	16
agropoles	ORG	16
awp	ORG	16
article iv particular covenants section	ORG	16
the world bank group	ORG	15
the republic of tunisia	GPE	15
the prf activities	ORG	15
the ministry of economy and finance	ORG	15
the ministry of agriculture and food security	ORG	15
the environmental and social management framework	ORG	15
the central bank	ORG	15
zinder	PERSON	15
zimbabwe	GPE	15
world bank document project information document	ORG	15
works and consulting services	ORG	15
united nations	ORG	15
subprojects	ORG	15
steering committee	ORG	15
santa cruz	GPE	15
svg	ORG	15
sop	ORG	15
roc	GPE	15
pco	ORG	15
pceu	ORG	15
operations	ORG	15
northern	LOC	15
nepal	GPE	15
nretp	ORG	15
nco	ORG	15
narei	ORG	15
ministry of agriculture	ORG	15
mard	GPE	15
lac	ORG	15
l.c.	GPE	15
imf	ORG	15
hdp	ORG	15
gender equality	PERSON	15
glda	ORG	15
ecowas	ORG	15
drd	ORG	15
csi	ORG	15
crda	ORG	15
cdcl	ORG	15
boko haram	PERSON	15
asian development bank	ORG	15
appendix 2	ORG	15
african agricultural transformation	ORG	15
apz	ORG	15
african development bank	ORG	15
the ta program	ORG	14
the national development plan	ORG	14
the environmental and social management plan	ORG	14
the democratic republic of congo	GPE	14
the b loan	ORG	14
the ministry of agriculture	ORG	14
thrust	PERSON	14
sap	ORG	14
project	ORG	14
poyang lake	PERSON	14
pdpfa-gz	ORG	14
national	ORG	14
npsc	ORG	14
npco	ORG	14
nicavida	ORG	14
ne	GPE	14
nares	PERSON	14
naip	ORG	14
maep	ORG	14
juba	PERSON	14
infoshop	PERSON	14
impacts	ORG	14
inrm	GPE	14
gis	ORG	14
france	GPE	14
clearinghouse	ORG	14
ciat	PERSON	14
c. components	PERSON	14
basic project data country	ORG	14
arbitral tribunal	ORG	14
the technical annexes	ORG	13
the ministry of agriculture and rural development	ORG	13
max	PERSON	13
al.	GPE	13
xdr	ORG	13
viet nam	PERSON	13
social assessment	ORG	13
spmu	LOC	13
rdd	ORG	13
project steering committee	ORG	13
pest management	ORG	13
ppd	ORG	13
pniasan	ORG	13
pcr	ORG	13
pasa-nk	ORG	13
otr	ORG	13
ofid	ORG	13
nars	ORG	13
na	ORG	13
ministry of finance	ORG	13
ministry	ORG	13
lessons reflected	ORG	13
kolda	PERSON	13
kcsap	ORG	13
iv	ORG	13
ifad borrower	ORG	13
halepp	ORG	13
goods, works and consulting services	ORG	13
g. environmental	PERSON	13
e&s	ORG	13
disbursement procedures 5	PERSON	13
development partners	ORG	13
côte	ORG	13
climate change	ORG	13
annex b5	ORG	13
african development fund	ORG	13
adamawa	GPE	13
avc	ORG	13
asap	ORG	13
aredp	ORG	13
apb asian development bank	ORG	13
aacp	ORG	13
the republic of ecuador	GPE	12
the republic of burundi	GPE	12
the republic of benin	GPE	12
the pforr program	ORG	12
the lending policies	ORG	12
the international monetary fund	ORG	12
the consulting guidelines	ORG	12
h1 world bank group financing international bank for reconstruction and development	ORG	12
zaghouan	GPE	12
west	LOC	12
smsa	ORG	12
sdg	ORG	12
sau	ORG	12
rlrcp	ORG	12
rf	ORG	12
rb-cosop	ORG	12
price contingencies	ORG	12
pnd	ORG	12
pdar ii	ORG	12
nicaragua	GPE	12
ntfp	ORG	12
mpa	ORG	12
maaif	GPE	12
koulikoro	GPE	12
international waterways op 7.50	ORG	12
integrated pest management plan	ORG	12
fdi	GPE	12
f. environmental and	ORG	12
el salvador	GPE	12
eastern ukraine	ORG	12
eastern	ORG	12
esia	ORG	12
esap	ORG	12
coraf	ORG	12
bolivian	ORG	12
bhutan	PERSON	12
bank policies	ORG	12
bamako	GPE	12
annex	ORG	12
avcdp	ORG	12
apdmp	ORG	12
➢	ORG	11
the islamic republic of mauritania	GPE	11
the food and agriculture organization	ORG	11
the debt sustainability framework	ORG	11
the council of ministers	ORG	11
the central african republic	LOC	11
the board of executive directors	ORG	11
world	ORG	11
works and services	ORG	11
ua thousand	ORG	11
total world bank group	ORG	11
tamil nadu	PERSON	11
sierra	ORG	11
sme	ORG	11
slm	ORG	11
shg	ORG	11
sc	ORG	11
russia	GPE	11
results	PERSON	11
rgf	ORG	11
rab	ORG	11
parliament	ORG	11
para	PERSON	11
prolac	ORG	11
proirri	ORG	11
prodefi	ORG	11
pfm	ORG	11
pf	ORG	11
padefa-ena	ORG	11
op/bp 4.04	ORG	11
natural resources	ORG	11
national steering committee	ORG	11
national development plan	ORG	11
npmo	ORG	11
mde	ORG	11
mru	ORG	11
mpi	ORG	11
mfppm	PERSON	11
loan number	ORG	11
kirundo	GPE	11
kandahar	GPE	11
jica	ORG	11
hoa	ORG	11
herat	PERSON	11
govt	ORG	11
goi	ORG	11
gilbert f. houngbo	PERSON	11
germany	GPE	11
gpsnp	ORG	11
giz	ORG	11
food and agriculture organization	ORG	11
financing structure	ORG	11
environmental and social management framework	ORG	11
doi	ORG	11
contingency emergency response component	ORG	11
conditions precedent	ORG	11
concept note	PERSON	11
cdr	ORG	11
cb	ORG	11
bélier region	GPE	11
borno	ORG	11
avdp	ORG	11
avacyep	ORG	11
ata	ORG	11
asdu	PERSON	11
anapej	ORG	11
1.1.3	ORG	11
the togolese republic	GPE	10
the republic of the union of myanmar	GPE	10
the republic of the philippines	GPE	10
the republic of paraguay	GPE	10
the republic of india	GPE	10
the project provinces	ORG	10
the plurinational state of bolivia	ORG	10
the consulting services	ORG	10
zanzibar	GPE	10
who	ORG	10
value addition	ORG	10
unallocated	ORG	10
support	ORG	10
specialist	PERSON	10
social management framework	ORG	10
social inclusion	ORG	10
social assessment (sesa	ORG	10
small and medium enterprises	ORG	10
safeguard policies	PERSON	10
ssa	ORG	10
sep	ORG	10
sazapip	PERSON	10
results matrix	PERSON	10
pillar	ORG	10
participating	ORG	10
pmu	ORG	10
ph	ORG	10
pag	ORG	10
norway	GPE	10
nimba county	GPE	10
nrlm	ORG	10
ministry of agriculture total	ORG	10
mexico	GPE	10
msy	ORG	10
luanda	PERSON	10
ldp	ORG	10
kazakhstan	GPE	10
kanem	GPE	10
industrialize africa	GPE	10
henan	GPE	10
hp	ORG	10
greenfield	PERSON	10
gom	ORG	10
gda	ORG	10
environmental and social management	ORG	10
environmental sustainability	ORG	10
epa	ORG	10
eb	ORG	10
directorate	ORG	10
dfid	ORG	10
criteria	ORG	10
cri	ORG	10
cimmyt	ORG	10
ccafs	ORG	10
c. summary benefit	PERSON	10
c. innovation	PERSON	10
agriculture financing instrument borrower(s)	ORG	10
afdb/govt	ORG	10
ag	ORG	10
abc	ORG	10
aaac	ORG	10
the united states	GPE	9
the republic of sierra leone	ORG	9
the republic of senegal	GPE	9
the republic of kenya	GPE	9
the project coordinator	ORG	9
the multilateral development bank	ORG	9
the ministry of agriculture, livestock and fisheries	ORG	9
the french development agency	ORG	9
the democratic republic of the congo	GPE	9
the court of auditors	ORG	9
the argentine republic	GPE	9
arid	ORG	9
yobe	ORG	9
works, nonconsulting and consulting services	ORG	9
vat	ORG	9
the project implementation unit	ORG	9
the pforr program	ORG	9
surcharge	PERSON	9
risks	PERSON	9
rpdp	ORG	9
rb	ORG	9
productivity and innovation	ORG	9
prolpraf	PERSON	9
pvs	ORG	9
pom	ORG	9
pmo	ORG	9
pip	ORG	9
pfi	ORG	9
npv	ORG	9
npc	ORG	9
neu	ORG	9
ndp	ORG	9
ndc	ORG	9
nap	ORG	9
nac	ORG	9
moldovan	GPE	9
moderate	ORG	9
moaiwd	ORG	9
mineagrie	ORG	9
mgf	ORG	9
limited	ORG	9
land acquisition	ORG	9
lged	ORG	9
lbr	ORG	9
kingdom	GPE	9
indonesia	GPE	9
isfm	ORG	9
ipc	ORG	9
ip	ORG	9
goc	ORG	9
gaza	GPE	9
gd	ORG	9
financial management	ORG	9
farms	ORG	9
executive board	ORG	9
el niño	GPE	9
ei (economic integration	ORG	9
egdf	LOC	9
ecp	ORG	9
ecop	ORG	9
djibouti	GPE	9
diversity	ORG	9
district	GPE	9
disbursement procedures 4	PERSON	9
dfi	ORG	9
comments	ORG	9
colombia	GPE	9
central	LOC	9
cabinda	PERSON	9
cfw	ORG	9
cari	ORG	9
burkina faso''s	PERSON	9
baseline	ORG	9
bancoumana	GPE	9
bahr el ghazal	PERSON	9
bmgf	ORG	9
barc	ORG	9
assam	PERSON	9
appendix 3	ORG	9
annex 2	ORG	9
aiccra	ORG	9
african development bank group	ORG	9
4.3.1	ORG	9
the world bank’s	ORG	8
the technical annex	ORG	8
the systematic country diagnostic	ORG	8
the resettlement policy framework	ORG	8
the republic of togo	GPE	8
the republic of congo	GPE	8
the project executing agencies	ORG	8
the parent project	ORG	8
the prf executing agency	ORG	8
the kyrgyz republic	GPE	8
the grant agreement	ORG	8
the feed africa strategy	ORG	8
the eastern province	LOC	8
the dominican republic	GPE	8
the country partnership framework	ORG	8
the boké region	LOC	8
world bank document combined project information	ORG	8
wema	ORG	8
u.s.	GPE	8
the steering committee	ORG	8
the project management unit	ORG	8
the ministry of finance	ORG	8
thailand	GPE	8
tor	ORG	8
social management	ORG	8
scheduled tribes	PERSON	8
schedule 2	ORG	8
stcrsp	ORG	8
sfm	ORG	8
sapp	LOC	8
project implementation unit	ORG	8
prevalence	ORG	8
pointe noire	GPE	8
psia	ORG	8
prodecor	GPE	8
prf implementing agencies	ORG	8
ppc	ORG	8
po	ORG	8
pniasa	ORG	8
pda	ORG	8
pcu	ORG	8
ordinary capital	ORG	8
oc	ORG	8
non-world bank group	ORG	8
nrm	ORG	8
nbs	ORG	8
moaf	ORG	8
maputo	GPE	8
moali	ORG	8
mefcca	PERSON	8
lofa county	GPE	8
lake	LOC	8
lagdo	GPE	8
lts	ORG	8
lipw	ORG	8
leap	ORG	8
larf	GPE	8
kankan	PERSON	8
kcdp	PERSON	8
jsif	ORG	8
ivorian	GPE	8
italy	GPE	8
institutional capacity and rule of law	ORG	8
indigenous peoples	ORG	8
intercafe	ORG	8
inia	ORG	8
ilri	ORG	8
htr	PERSON	8
grace	ORG	8
gor	ORG	8
gohp	ORG	8
gini	ORG	8
gabon	GPE	8
gtp	ORG	8
gss	ORG	8
gni	ORG	8
fremp	ORG	8
environmental	ORG	8
europe	LOC	8
essa	ORG	8
esc	GPE	8
eba	ORG	8
e. implementation institutional and implementation arrangements	ORG	8
dws	ORG	8
ddrr	GPE	8
daf	ORG	8
consultancy	ORG	8
company	ORG	8
community	ORG	8
cassava	ORG	8
casamance	ORG	8
csa	LOC	8
cis	ORG	8
cic	ORG	8
cenrat	ORG	8
cemac	ORG	8
cdd	ORG	8
cclip	ORG	8
cam	ORG	8
bắc kạn and cao bằng	ORG	8
beqaa	ORG	8
bangladesh	GPE	8
bceao	ORG	8
bacb	ORG	8
b.1	PERSON	8
annex ii	ORG	8
annex c1	ORG	8
amhara	GPE	8
agro rural	PERSON	8
africarice	ORG	8
apip	ORG	8
aip	ORG	8
aif	PERSON	8
1.2.3	ORG	8
the world bank''s	ORG	7
the united nations framework convention on climate change	ORG	7
the united mexican states	GPE	7
the sustainable development goals	ORG	7
the sahel alliance	ORG	7
the republic of rwanda	GPE	7
the republic of niger	GPE	7
the republic of malawi	GPE	7
the republic of italy	GPE	7
the republic of angola	GPE	7
the project implementing agency	ORG	7
the national system	ORG	7
the ministry of planning	ORG	7
the ministry of health	ORG	7
the lake	LOC	7
the kingdom of bhutan	GPE	7
the international fund for agricultural development	ORG	7
the inter-american development bank	ORG	7
the general conditions for agricultural development financing	ORG	7
the european commission	ORG	7
the concessional loan	ORG	7
the bank group’s	ORG	7
the bank date	ORG	7
world bank group	ORG	7
works, goods and/or consulting services	ORG	7
western africa	GPE	7
vojvodina	GPE	7
upmp	ORG	7
unicef	ORG	7
unhcr	ORG	7
total amount % amount % amount % amount % amount 1	ORG	7
terai	ORG	7
technical solutions adopted and alternatives	ORG	7
technical assistance	ORG	7
swaziland	GPE	7
south asia	LOC	7
south america	LOC	7
social	ORG	7
safeguards monitoring reports	ORG	7
summary	ORG	7
ssfsnp	ORG	7
snaip	ORG	7
smp	ORG	7
smf	ORG	7
smeps	ORG	7
sfd	ORG	7
risk	PERSON	7
recruit	ORG	7
rationale for bank	ORG	7
rationale	PERSON	7
rlf	ORG	7
results	ORG	7
rb-cosop 4	ORG	7
provinces	ORG	7
prodaf-diffa	PERSON	7
poverty	ORG	7
pillar 2	ORG	7
phytosanitary	ORG	7
pst	ORG	7
ppcr	ORG	7
pni	ORG	7
pmc	ORG	7
pi	ORG	7
pefa	GPE	7
pasidp ii	ORG	7
outcome	ORG	7
oromia	GPE	7
op/bp 4.12	ORG	7
oecd	ORG	7
north africa	GPE	7
nippes	GPE	7
newcastle	GPE	7
ntc	ORG	7
nrc	ORG	7
npcu	ORG	7
n °	ORG	7
mouhoun	GPE	7
monitoring	LOC	7
mombasa	ORG	7
mof	ORG	7
midterm	ORG	7
maseru	GPE	7
market development and trade facilitation	ORG	7
madagascar	GPE	7
mrdf	ORG	7
moaiwd	ORG	7
mipro	ORG	7
mdipmi	ORG	7
mal	ORG	7
maer	ORG	7
longido	GPE	7
lessons learned	ORG	7
lvbc	ORG	7
lvb	ORG	7
leu	ORG	7
latin america	LOC	7
lasip ii	ORG	7
kinshasa	ORG	7
khuvsgul aimag	ORG	7
kfw	ORG	7
km	ORG	7
jonglei	PERSON	7
jiangxi	GPE	7
involuntary resettlement	ORG	7
infoshop	LOC	7
implementation institutional and implementation arrangements	ORG	7
ipr	ORG	7
hurricane matthew	ORG	7
human development report	ORG	7
hpfd	ORG	7
hct	ORG	7
gotn	ORG	7
gos	GPE	7
ghana statistical service	ORG	7
expert	PERSON	7
enable	GPE	7
eig	ORG	7
e. project	ORG	7
dpl	ORG	7
counterpart	ORG	7
cooperatives	ORG	7
component 2	ORG	7
coastal	ORG	7
chairperson	PERSON	7
cpmu	ORG	7
cnca	ORG	7
cdc	ORG	7
cdb	ORG	7
cda	ORG	7
cbl	ORG	7
boffa	PERSON	7
bill	PERSON	7
banque agricole du faso	ORG	7
bank’s value added	ORG	7
beeei	ORG	7
audit	ORG	7
arabica	GPE	7
anuradhapura	PERSON	7
agricultural transformation	ORG	7
abidjan	ORG	7
aswg	ORG	7
article iv particular covenants section 4	ORG	7
amvat	GPE	7
aims	PERSON	7
adp	ORG	7
adf loan	ORG	7
additional financing report no	ORG	7
4.6.2	ORG	7
4.1.4	ORG	7
the world health organization	ORG	6
the united nations development programme	ORG	6
the strategy for agricultural transformation	ORG	6
the socialist republic of viet nam	GPE	6
the republic of zambia	GPE	6
the republic of uzbekistan	GPE	6
the republic of indonesia	GPE	6
the republic of guinea-bissau	GPE	6
the republic of guinea	GPE	6
the republic of el salvador	GPE	6
the republic of argentina	GPE	6
the qaraoun lake	LOC	6
the national steering committee	ORG	6
the ministry of trade and industry	ORG	6
the ministry of marine resources	ORG	6
the ministry of agroindustry	ORG	6
the litani river	LOC	6
the kingdom of swaziland	GPE	6
the islamic republic of pakistan	GPE	6
the islamic republic of afghanistan	GPE	6
the irrigation department	ORG	6
the integrated pest management plan	ORG	6
the indian ocean	LOC	6
the green climate fund	ORG	6
the government of tanzania	ORG	6
the government of sierra leone	ORG	6
the government of mozambique	ORG	6
the government of india	ORG	6
the general conditions	ORG	6
the federal democratic republic of ethiopia	ORG	6
the country partnership strategy	ORG	6
the borrower/donee	ORG	6
the bolaman basin	LOC	6
the african union	ORG	6
quinoa	ORG	6
fed	ORG	6
bush	PERSON	6
yamoussoukro	ORG	6
world bank document program information document	ORG	6
west kordofan states	GPE	6
wee	ORG	6
vi	ORG	6
v. legal instruments	PERSON	6
upolu	ORG	6
uxo	ORG	6
unep	ORG	6
tomato	PERSON	6
tigray	ORG	6
the national development plan	ORG	6
target	ORG	6
tys	ORG	6
tsu	ORG	6
tpm	ORG	6
the board of directors	ORG	6
tasi	ORG	6
ta program	ORG	6
sustainable development	ORG	6
sub-regional organizations	PERSON	6
steering committee (sc	ORG	6
special agro-industrial processing zones	ORG	6
spain	GPE	6
south sudan’s	GPE	6
songhai	GPE	6
social specialist	ORG	6
siliana	GPE	6
semester	PERSON	6
salazar	GPE	6
syscohada	ORG	6
sscbi	ORG	6
slc	ORG	6
secap	ORG	6
sdr	ORG	6
sadc	ORG	6
sada	ORG	6
rate cap	PERSON	6
rpmu	ORG	6
results chain performance indicators means of verification risks/	ORG	6
resepag	ORG	6
project executing agency	ORG	6
programme activities	ORG	6
portugal	GPE	6
portal	ORG	6
pillar ii	PERSON	6
participating bank	ORG	6
paris	GPE	6
prodefi-ii	ORG	6
preves	ORG	6
pptp	ORG	6
ppap	ORG	6
pne	ORG	6
pio	ORG	6
pep	ORG	6
pdes	ORG	6
patareb	ORG	6
patag eaj	ORG	6
padaer-ii	ORG	6
op/bp 4.11	ORG	6
om	ORG	6
nouakchott	PERSON	6
northeast	LOC	6
net present value	ORG	6
nso	ORG	6
nrlp	ORG	6
npmu	ORG	6
muyinga	GPE	6
monrovia	GPE	6
ministry of rural development	ORG	6
mindanao	GPE	6
mendoza	PERSON	6
mediterranean	LOC	6
mwe	ORG	6
msme	ORG	6
mowram	ORG	6
mop-sedp	ORG	6
mongolia	ORG	6
mineco	ORG	6
minagrie	ORG	6
memarts	ORG	6
mef	ORG	6
mamid	ORG	6
maff	ORG	6
linga	GPE	6
law	PERSON	6
loan	ORG	6
lcc	ORG	6
karatu	GPE	6
justice	ORG	6
japan	GPE	6
jfpr grant agreement	ORG	6
international waterways	ORG	6
implementing agencies	ORG	6
iwrm	ORG	6
irladp	ORG	6
ipdm	ORG	6
iita	ORG	6
igf	ORG	6
health	GPE	6
hacciadep	ORG	6
guinea bissau	PERSON	6
government of odisha	ORG	6
gov	ORG	6
goap	PERSON	6
gender strategy	PERSON	6
gambella	PERSON	6
grm	ORG	6
gd cc	ORG	6
gbs	ORG	6
fps	ORG	6
fdp	ORG	6
fda	ORG	6
fcpsg	PERSON	6
faw	ORG	6
farmod	ORG	6
fara	ORG	6
environmental assessment	ORG	6
east	LOC	6
esia/esmp	ORG	6
erp	ORG	6
ecrp	ORG	6
eb 2016/119/r.22/rev.1	ORG	6
east asia	LOC	6
eamf	ORG	6
eaj	ORG	6
department	ORG	6
dam safety	PERSON	6
dakar	PERSON	6
dadal soum	PERSON	6
drm	ORG	6
drc➢	ORG	6
dpf	ORG	6
condition precedent	ORG	6
communities	LOC	6
chile	GPE	6
cabinda province	GPE	6
coajoq	ORG	6
cgiar centers	ORG	6
ccap	ORG	6
caadp	ORG	6
c. key	PERSON	6
bắc kạn	ORG	6
bugesera	LOC	6
brussels	GPE	6
brakna	ORG	6
bissau	GPE	6
beni	GPE	6
basin	LOC	6
