verb	frequency
assessed	130
seeks	129
executed	129
shows	128
du	128
covered	128
oriented	126
submit	125
pour	124
aim	124
accounts	124
show	123
revised	123
review	123
found	123
representing	122
projected	122
envisaged	122
note	121
noted	119
caused	119
organized	118
adapted	118
measured	117
grant	117
conduct	117
shared	115
protected	114
comply	114
indicated	113
follow	113
consulted	113
experienced	112
engage	112
delivered	112
comprise	112
cleared	111
assist	111
report	110
owned	110
coordinate	110
promoted	109
play	109
agree	109
performed	108
comprising	108
authorize	108
access	108
-	108
followed	107
deemed	107
protect	106
constructed	106
characterized	106
continued	105
combined	105
raising	104
processed	104
launched	104
scale	102
reporting	102
obtained	102
contributed	102
mitigated	101
depend	101
declined	101
certified	101
resulted	100
represents	100
reported	100
reflect	100
concerned	100
raise	99
expanding	99
deliver	99
covers	99
concerning	99
monitored	98
grow	98
focuses	98
considering	98
respond	97
face	96
expressed	96
confirmed	96
consolidate	95
audited	95
minimize	94
invest	94
impact	94
maintained	93
information	93
inform	93
farming	93
continues	93
account	92
reached	91
paid	91
opened	91
chaired	91
training	90
requested	90
processing	90
mentioned	90
adopting	90
proven	89
diversify	89
bring	88
cultivated	87
undertake	86
seek	86
recommended	86
constitute	86
committed	86
intended	85
rely	84
producing	84
pay	84
indicates	84
comprises	84
affecting	84
remaining	83
initiated	83
operate	82
encourage	82
offer	81
informed	81
identifying	81
facing	81
concluded	81
takes	80
prevent	80
met	80
live	80
expanded	80
determine	80
recognized	79
perform	79
safeguard	78
rising	78
represent	78
referred	78
placed	78
disseminate	78
incurred	77
depending	77
titling	76
prioritized	76
presents	76
appointed	76
leverage	75
issued	75
coordinated	75
shown	74
receiving	74
rated	74
launching	74
demonstrated	74
coordinating	74
supervised	73
installed	73
consists	73
accelerate	73
promotes	72
involves	72
incorporate	72
grown	72
foster	72
faced	72
consist	72
accounting	72
equipped	71
maintaining	70
limit	70
exist	70
detailed	70
costs	70
aged	70
published	69
mitigating	69
introduce	69
helping	69
employed	69
composed	69
benefiting	69
attached	69
sharing	68
outlined	68
introduced	68
guarantee	68
enter	68
cutting	68
reaching	67
ranked	67
integrate	67
collected	67
authorized	67
represented	66
contained	66
indicate	65
imported	65
form	65
add	65
structured	64
requiring	64
registered	64
plan	64
integrating	63
accessing	63
relate	62
employs	62
distributed	62
declining	62
come	62
validated	61
sets	61
faces	61
evaluated	61
define	61
coupled	61
carrying	61
sent	60
denominated	60
contain	60
remained	59
recorded	59
plans	59
negotiated	59
irrigated	59
impacted	59
granted	59
adapt	59
makes	58
linking	58
link	58
limiting	58
investing	58
increases	58
planning	57
measure	57
helped	57
governed	57
forced	57
explored	57
excluding	57
concentrated	57
complement	57
accounted	57
withdrawn	56
starting	56
offers	56
occur	56
observed	56
keep	56
hired	56
extended	56
extend	56
drawn	56
corresponding	56
constitutes	56
sustain	55
stand	55
introducing	55
disseminated	55
discussed	55
cropping	55
becoming	55
tailored	54
recommends	54
ranks	54
offered	54
changing	54
assigned	54
transferred	53
retained	53
highlighted	53
falling	53
contracted	53
conducting	53
attract	53
skills	52
restore	52
plays	52
move	52
grew	52
gained	52
fostering	52
fall	52
dominated	52
documented	52
assessing	52
arise	52
administered	52
accompanied	52
share	51
proposes	51
open	51
give	51
exposed	51
consider	51
claimed	51
acquired	51
started	50
reflects	50
project	50
fund	50
extending	50
depends	50
delivering	50
component	50
boosting	50
said	49
finalized	49
exceed	49
constrained	49
collect	49
upgrading	48
organised	48
meeting	48
dedicated	48
transform	47
stands	47
spread	47
mean	47
falls	47
builds	47
brought	47
allows	47
written	46
sold	46
secure	46
ranging	46
maximize	46
intends	46
identifies	46
demonstrate	46
completing	46
collaborate	46
supervise	45
showed	45
seen	45
results	45
overcome	45
obtain	45
fixed	45
draw	45
doing	45
design	45
benefited	45
affects	45
acting	45
acteurs	45
stipulated	44
putting	44
present	44
oversee	44
nonconsulting	44
lack	44
foreseen	44
find	44
fed	44
evaluate	44
entered	44
discuss	44
disclose	44
coming	44
allowing	44
addresses	44
transmitted	43
train	43
took	43
sought	43
reinforce	43
propose	43
les	43
keeping	43
fell	43
explain	43
controlled	43
cofinancing	43
applying	43
adjusted	43
✖	42
update	42
targets	42
sustained	42
stimulate	42
operated	42
finances	42
excluded	42
exacerbated	42
displaced	42
derived	42
captured	42
appears	42
triggers	41
regards	41
recognizes	41
induced	41
exceeding	41
diversified	41
consolidating	41
co	41
centres	41
allowed	41
accelerating	41
tend	40
securing	40
scheduled	40
run	40
moving	40
deployed	40
consulting	40
change	40
causing	40
attended	40
specify	39
reflecting	39
protecting	39
mobilize	39
meets	39
leveraging	39
guided	39
formulated	39
called	39
assisted	39
supplied	38
summarized	38
stated	38
recommend	38
occurred	38
modified	38
entail	38
decreased	38
continuing	38
capture	38
bénéficiaires	38
trigger	37
spent	37
re	37
rainfed	37
mobilizing	37
listed	37
ensures	37
ensured	37
diversifying	37
defining	37
contracting	37
arising	37
+39	37
sign	36
request	36
reduces	36
leads	36
justified	36
fulfilled	36
facilitated	36
dropped	36
concern	36
complemented	36
award	36
act	36
transforming	35
submits	35
scaled	35
responding	35
rehabilitate	35
recruit	35
reallocate	35
prevailing	35
politiques	35
owing	35
negotiate	35
kept	35
generates	35
engaging	35
drive	35
distributing	35
decentralized	35
comprised	35
bringing	35
yielding	34
underlying	34
tested	34
suggest	34
serving	34
select	34
preventing	34
modernizing	34
learnt	34
incorporating	34
governing	34
filled	34
feed	34
divided	34
corresponds	34
comes	34
chosen	34
borne	34
seeking	33
released	33
pose	33
lending	33
experiencing	33
empowered	33
cooperate	33
consisting	33
close	33
avoiding	33
valued	32
sell	32
reviewing	32
restoring	32
prohibited	32
pre	32
posted	32
left	32
lay	32
impacts	32
guiding	32
functioning	32
encouraged	32
enabled	32
emphasizes	32
disseminating	32
closing	32
upgraded	31
tackle	31
risks	31
revealed	31
prioritize	31
paying	31
organize	31
modernize	31
mainstreaming	31
lives	31
go	31
funding	31
formulate	31
exported	31
explore	31
elaborated	31
decided	31
creates	31
control	31
connected	31
capitalize	31
binding	31
began	31
align	31
utilize	30
uses	30
supplemented	30
specifying	30
screened	30
resolved	30
lend	30
laid	30
invested	30
formed	30
encouraging	30
encountered	30
empowering	30
embedded	30
deal	30
contains	30
consolidated	30
bidding	30
benefitting	30
appraise	30
adding	30
showing	29
secured	29
screen	29
saving	29
rose	29
relies	29
realized	29
learning	29
invited	29
execute	29
exacerbate	29
cope	29
compounded	29
awarded	29
attributed	29
anchored	29
verify	28
vary	28
suffer	28
served	28
record	28
handled	28
fill	28
evidenced	28
designate	28
became	28
appear	28
amounting	28
am	28
allocate	28
absorb	28
abbreviated	28
updating	27
surrounding	27
serviced	27
raised	27
produces	27
performing	27
organizing	27
lost	27
limits	27
intensify	27
giving	27
exploited	27
exclude	27
designing	27
deploy	27
calculated	27
averaged	27
assisting	27
accepted	27
utilized	26
transfer	26
track	26
suggests	26
suffered	26
staffed	26
serves	26
selecting	26
renewed	26
purchase	26
opening	26
marketed	26
induce	26
incorporates	26
gives	26
flows	26
floating	26
examine	26
decreasing	26
dans	26
connect	26
closed	26
audit	26
annexed	26
analyzed	26
analyze	26
adapting	26
tracking	25
supervising	25
satisfy	25
resolve	25
pursue	25
obtaining	25
mobilized	25
measuring	25
measures	25
implies	25
hold	25
hire	25
hinder	25
exists	25
endowed	25
end	25
emerged	25
describes	25
delegated	25
degraded	25
construct	25
assume	25
acquire	25
viii	24
undertaking	24
translate	24
suffers	24
study	24
rise	24
purchasing	24
procure	24
piloted	24
outlines	24
occurs	24
lasting	24
highlights	24
guaranteed	24
granting	24
establishes	24
edited	24
decrease	24
connecting	24
confirming	24
complied	24
complete	24
charged	24
calls	24
becomes	24
applies	24
advance	24
accommodate	24
accelerated	24
upgrade	23
understand	23
sustaining	23
supply	23
summarised	23
stimulating	23
slowed	23
restored	23
promising	23
progress	23
preserve	23
mainstreamed	23
intervene	23
harmonized	23
handling	23
handle	23
hampered	23
get	23
evaluating	23
earn	23
deteriorated	23
delayed	23
damaged	23
considers	23
worked	22
undermine	22
rurales	22
representatives	22
replacing	22
remove	22
reinforcing	22
recover	22
process	22
planting	22
planted	22
ped	22
own	22
localized	22
le	22
lacking	22
la	22
femmes	22
envisioned	22
entails	22
dominate	22
defines	22
currency	22
commissioned	22
combine	22
categorized	22
break	22
averaging	22
anticipate	22
aid	22
accumulated	22
stored	21
screening	21
recruiting	21
records	21
recognizing	21
pending	21
optimize	21
looking	21
indicating	21
impacting	21
hosted	21
helps	21
getting	21
fulfill	21
endorsed	21
emphasize	21
eliminate	21
driving	21
drawing	21
doubled	21
determining	21
deposited	21
decline	21
controlling	21
combating	21
combat	21
allied	21
yield	20
validate	20
undertakes	20
treated	20
suspended	20
revitalize	20
replace	20
repay	20
removing	20
relying	20
refers	20
rating	20
proceeds	20
pertaining	20
persist	20
outline	20
occurring	20
neighboring	20
marketing	20
m	20
incentivize	20
générales	20
eliminating	20
devoted	20
derive	20
cropped	20
constructing	20
compensated	20
budgeted	20
broken	20
bearing	20
backed	20
avoided	20
attracting	20
articulated	20
aiming	20
’s	19
verified	19
threatened	19
stunding	19
stood	19
selling	19
running	19
reinforced	19
recognize	19
posed	19
played	19
piloting	19
perceived	19
passed	19
operationalize	19
moved	19
linkages	19
lies	19
leaving	19
lacks	19
holding	19
guaranteeing	19
factored	19
facilitates	19
ending	19
employ	19
directed	19
dealing	19
confirm	19
combining	19
challenging	19
buy	19
benefits	19
belonging	19
approaches	19
agrees	19
yielded	18
traded	18
structuring	18
streamline	18
standing	18
seem	18
relates	18
refer	18
recurring	18
ranking	18
ranges	18
prevail	18
preserving	18
partner	18
offset	18
offering	18
modernized	18
minimizing	18
marked	18
imposed	18
geared	18
flow	18
experience	18
empower	18
dépenses	18
deteriorating	18
contract	18
consult	18
components	18
changed	18
assumed	18
aligns	18
administratives	18
translated	17
transferring	17
surveyed	17
suggested	17
signing	17
safeguards	17
résultats	17
return	17
restricted	17
rest	17
respect	17
requesting	17
register	17
purchased	17
procédures	17
prioritizes	17
notified	17
modify	17
mobilise	17
meant	17
maximizing	17
mainstream	17
integrates	17
initiate	17
horticulture	17
grouped	17
gave	17
fight	17
exploit	17
equipping	17
entitled	17
enables	17
distribute	17
correspond	17
bridge	17
borrower/	17
bear	17
amounts	17
waived	16
violate	16
underpinned	16
undermines	16
tasked	16
supplying	16
subproject	16
stressed	16
shifting	16
shift	16
risk	16
restrict	16
replaced	16
receives	16
puts	16
projects	16
processes	16
pilot	16
outcomes	16
ops_ea_disclosure_table	16
operationalizing	16
operates	16
minimized	16
lower	16
lived	16
lift	16
lays	16
intensified	16
install	16
infringe	16
improves	16
imply	16
impede	16
hosting	16
hit	16
highlighting	16
finds	16
exporting	16
explained	16
enhances	16
ended	16
encompasses	16
drafted	16
document	16
destroyed	16
describing	16
crosscutting	16
complementing	16
causes	16
came	16
begin	16
agribusiness	16
worsening	15
witnessed	15
withdraw	15
went	15
weakened	15
unallocated	15
steering	15
sourced	15
secteur	15
revive	15
replicated	15
relatives	15
ratified	15
pursuing	15
pursued	15
prioritizing	15
predicted	15
practiced	15
playing	15
places	15
permitted	15
permit	15
pays	15
overseeing	15
objectives	15
noting	15
launch	15
lagging	15
know	15
justify	15
join	15
hamper	15
gender	15
feeding	15
failed	15
evolving	15
emphasized	15
earning	15
disrupted	15
desired	15
demonstrating	15
deepening	15
consuming	15
concerns	15
complements	15
collecting	15
characterised	15
call	15
bound	15
beginning	15
attain	15
advise	15
études	14
weeding	14
varying	14
varies	14
undergoing	14
titled	14
streamlining	14
stemming	14
specialised	14
smallholder	14
ses	14
seront	14
seems	14
reverse	14
retain	14
removed	14
pumped	14
programmed	14
poses	14
mobilised	14
meaning	14
marginalized	14
lifting	14
learn	14
landing	14
inspect	14
influenced	14
influence	14
hiring	14
highlight	14
gather	14
formulating	14
finalizing	14
expects	14
exceeds	14
estimates	14
estimate	14
enjoys	14
enjoyed	14
embarked	14
différentes	14
deploying	14
demonstrates	14
delay	14
cut	14
cultivate	14
costing	14
convert	14
containing	14
consumed	14
commence	14
channel	14
centred	14
broaden	14
belong	14
appoint	14
analyzing	14
aggravated	14
administering	14
administer	14
énoncées	13
utilizing	13
undermined	13
undergone	13
triggering	13
threatening	13
tackling	13
suited	13
strengthens	13
stem	13
spend	13
seconded	13
save	13
rolled	13
revolving	13
responds	13
resolves	13
render	13
rehabilitating	13
proved	13
posting	13
organise	13
optimizing	13
neglected	13
named	13
lie	13
laying	13
investigate	13
holds	13
govern	13
furnished	13
fortified	13
emphasizing	13
earmarked	13
coordinates	13
constrain	13
constituted	13
conform	13
compete	13
comparing	13
choose	13
changes	13
centered	13
assuming	13
ante	13
announced	13
analyse	13
alleviate	13
alleged	13
accompany	13
abandoned	13
underpin	12
transport	12
transmit	12
succeed	12
stop	12
stabilize	12
spécifiques	12
situated	12
serán	12
seeds	12
risking	12
reversing	12
rendered	12
regulating	12
regulate	12
reconnect	12
rapports	12
raises	12
pumping	12
prolonged	12
post	12
placing	12
place	12
participated	12
ongoing	12
occupies	12
moins	12
moderate	12
menos	12
match	12
mandated	12
manages	12
look	12
joining	12
hereto	12
harmonizing	12
gain	12
function	12
fulfil	12
forms	12
fiduciaire	12
export	12
exercise	12
envisages	12
entrusted	12
employing	12
ease	12
drying	12
detect	12
decreases	12
correlated	12
convened	12
confined	12
competing	12
compensate	12
clearing	12
carries	12
cancelled	12
approving	12
analysing	12
aligning	12
agricultural	12
ageing	12
advancing	12
whereof	11
weather	11
warehousing	11
view	11
vested	11
undermining	11
ua	11
treat	11
transformed	11
totalling	11
testing	11
superseding	11
suggesting	11
submitting	11
stunted	11
studied	11
storing	11
spending	11
speed	11
sorting	11
sont	11
siguientes	11
settled	11
send	11
resettled	11
replicate	11
reforming	11
reform	11
qualify	11
prevents	11
points	11
phased	11
maintains	11
licensed	11
leaves	11
intercropping	11
indicators	11
hoisting	11
guarantees	11
grading	11
goes	11
fulfilling	11
forming	11
financières	11
expect	11
examined	11
este	11
eradicate	11
entering	11
enforce	11
ends	11
drop	11
drinking	11
draws	11
discriminate	11
disadvantaged	11
determines	11
deepen	11
declared	11
decentralised	11
confirms	11
compromise	11
composantes	11
complying	11
commit	11
capitalized	11
calculating	11
badf	11
autres	11
assured	11
assign	11
annex	11
analysed	11
amplify	11
amounted	11
aggregated	11
adds	11
worsened	10
worsen	10
wish	10
weighted	10
unlocking	10
understood	10
translates	10
totaling	10
threaten	10
terminated	10
tapped	10
summarizes	10
subjected	10
stems	10
stagnated	10
spur	10
specialized	10
scattered	10
rolling	10
reveals	10
respected	10
représentants	10
rejected	10
registering	10
recovered	10
reaches	10
prove	10
powered	10
possess	10
positioned	10
por	10
policiesa.	10
picked	10
phcomp	10
overarching	10
occupy	10
mobilising	10
market	10
lowland	10
lag	10
issuing	10
issue	10
isolated	10
intervening	10
interfere	10
installing	10
inclusive	10
housed	10
harness	10
harmonize	10
grazing	10
fueled	10
formalize	10
foresee	10
flooded	10
fits	10
fallen	10
est	10
equip	10
enters	10
encourages	10
elected	10
effets	10
easing	10
drafting	10
dispersed	10
discharge	10
disburse	10
demanding	10
demand	10
concentrate	10
combines	10
climatiques	10
check	10
benefitted	10
automated	10
adopts	10
acknowledge	10
accruing	10
absorbed	10
établi	9
yields	9
weaken	9
visit	9
validating	9
unlock	9
undertook	9
underscores	9
translating	9
tied	9
threatens	9
tapping	9
suivants	9
substituted	9
struggling	9
store	9
spanning	9
span	9
slowing	9
roject	9
risen	9
retraits	9
respecto	9
resolving	9
reside	9
relied	9
refined	9
recovering	9
rebuilding	9
rebuild	9
prestataires	9
point	9
phasing	9
outlining	9
motivated	9
mixed	9
missing	9
malnourished	9
lifted	9
liaise	9
leveraged	9
leurs	9
lent	9
hindering	9
finding	9
finalised	9
fielded	9
favour	9
express	9
experiences	9
enshrined	9
enrolled	9
emerge	9
effectiveness	9
educated	9
earned	9
discounted	9
direct	9
devolved	9
decide	9
curbing	9
curb	9
cultivating	9
cross	9
coping	9
converted	9
conserve	9
conceived	9
communicate	9
cleaning	9
cited	9
challenges	9
cap	9
belongs	9
begun	9
attained	9
aided	9
adjust	9
accessed	9
accept	9
éventuelles	8
zoning	8
withstand	8
wasted	8
waive	8
vii	8
viewed	8
tuned	8
transporting	8
tracked	8
test	8
tends	8
sustentadores	8
suspend	8
surrounded	8
structures	8
stipulates	8
states	8
stakeholder	8
stabilizing	8
slow	8
simplify	8
seedling	8
rooted	8
roll	8
risques	8
restructured	8
resource	8
reserved	8
representantes	8
remedy	8
regulated	8
refinancing	8
referring	8
ranged	8
quantify	8
quantified	8
pull	8
présidé	8
proposing	8
proofing	8
projets	8
procuring	8
prioritaires	8
pressurized	8
predict	8
populated	8
partnering	8
operationalized	8
occupying	8
notes	8
narrow	8
minimised	8
mingled	8
migrate	8
mentoring	8
maize	8
linkage	8
leave	8
lags	8
justifying	8
instituting	8
informing	8
importing	8
host	8
harvest	8
guides	8
grafted	8
fuel	8
forwarded	8
formalized	8
fleshed	8
felt	8
fast	8
farmed	8
fail	8
expressing	8
expose	8
exploring	8
expedite	8
exerting	8
exceeded	8
evolved	8
eradicating	8
ensuing	8
enjoy	8
encompassing	8
eliminated	8
eb/2018	8
eb	8
dried	8
discourage	8
disbursement	8
detailing	8
degrade	8
deferred	8
convene	8
consume	8
constraining	8
conferred	8
conclude	8
comprend	8
click	8
ciblées	8
cas	8
capturing	8
brings	8
bridging	8
borrowing	8
borrow	8
bordering	8
bolstering	8
bolster	8
baseline	8
attaining	8
ate	8
asked	8
approves	8
approach	8
amount	8
aggregate	8
advocates	8
acknowledges	8
accrue	8
wishing	7
widening	7
watering	7
underw	7
underutilized	7
understanding	7
underpinning	7
undergo	7
turn	7
travel	7
thereto	7
techniques	7
tap	7
switching	7
suffering	7
subdued	7
stunting	7
structure	7
stratégiques	7
strategic	7
specifies	7
solving	7
sliding	7
slated	7
shelling	7
settling	7
schemes	7
saw	7
rules	7
revert	7
revamped	7
returned	7
resourced	7
replenished	7
repeated	7
repaid	7
releasing	7
reimbursed	7
rationalizing	7
rationalize	7
qualified	7
push	7
protracted	7
protects	7
proceed	7
prioritised	7
prescribed	7
prepares	7
preferred	7
preceding	7
practices	7
posing	7
pass	7
participates	7
participantes	7
overseen	7
overcoming	7
outdated	7
organisées	7
optimise	7
opted	7
opens	7
occupied	7
name	7
multiplying	7
multiplied	7
motivate	7
moderated	7
mis	7
lessen	7
land	7
joined	7
ix	7
investissements	7
innovate	7
inhibit	7
inhabited	7
infrastructures	7
incur	7
import	7
implements	7
hosts	7
head	7
harnessed	7
formées	7
forecasted	7
fonds	7
fluctuating	7
fixing	7
filières	7
filed	7
explains	7
exchange	7
exacerbating	7
exacerbates	7
evolve	7
estimating	7
envisage	7
embodied	7
doubling	7
double	7
donated	7
discovered	7
différents	7
dates	7
damaging	7
customized	7
crowding	7
crowd	7
conserving	7
composante	7
complies	7
communicated	7
commits	7
commencing	7
collects	7
clarified	7
childbearing	7
characterize	7
channeled	7
challenged	7
buying	7
burn	7
broadening	7
beekeeping	7
balance	7
attracted	7
ascertain	7
arises	7
archiving	7
appointing	7
appended	7
amplified	7
alter	7
alleviating	7
afford	7
advocated	7
advanced	7
acknowledged	7
accomplish	7
accompanying	7
-related	7
▪	6
won	6
washing	6
vulnérables	6
visiting	6
upscaling	6
underscored	6
turning	6
total	6
thrive	6
taing	6
suspected	6
supplement	6
subsistence	6
subsidized	6
studies	6
striving	6
strives	6
strive	6
stipulating	6
stabilized	6
split	6
spell	6
smoked	6
simplified	6
shrinking	6
showcasing	6
shifted	6
shaped	6
shape	6
services	6
sensitized	6
saved	6
satisfies	6
résilientes	6
roads	6
rice	6
revising	6
returning	6
retaining	6
restructuring	6
restricting	6
resources	6
resides	6
research	6
renforcement	6
release	6
reinforces	6
regarded	6
refrain	6
reformed	6
reallocated	6
realizing	6
realize	6
range	6
qualifying	6
publicize	6
progressed	6
profiling	6
prevented	6
pressing	6
presenting	6
pooled	6
plugs	6
peut	6
partenaires	6
organising	6
opérateurs	6
nurturing	6
networking	6
negotiating	6
mention	6
manifest	6
lying	6
lowering	6
losing	6
lose	6
links	6
leased	6
justifies	6
judged	6
inter	6
intensifying	6
inputs	6
initiating	6
inherited	6
informs	6
incl	6
incentivizing	6
incentivized	6
imports	6
impeded	6
hindered	6
happen	6
halved	6
graduate	6
gaining	6
furnish	6
fostered	6
foresees	6
flowing	6
fix	6
fit	6
fishing	6
filling	6
feeds	6
farmer	6
factor	6
extracted	6
extract	6
exploiting	6
expands	6
exigibles	6
excavated	6
equitable	6
enforced	6
encompass	6
embraced	6
embarking	6
elaborate	6
e	6
d’ivoire	6
drives	6
draft	6
disbursing	6
differentiated	6
diferentes	6
deteriorate	6
demanded	6
delete	6
delegate	6
deduct	6
declare	6
customised	6
cushion	6
crop	6
cooling	6
converting	6
convening	6
consisted	6
confronted	6
concerted	6
composting	6
compile	6
compares	6
compare	6
communautaire	6
commissioning	6
commenced	6
coaching	6
clauses	6
clarify	6
charge	6
chains	6
centralized	6
categorize	6
capitalizing	6
breeding	6
breed	6
branding	6
backstopping	6
awarding	6
assure	6
assumes	6
assorti	6
assesses	6
appuyées	6
appreciated	6
amend	6
allocating	6
agro-	6
aging	6
aggravating	6
affiliated	6
adhered	6
adhere	6
actividades	6
accomplished	6
absorbing	6
-(.3	6
washed	5
walking	5
value	5
utilizará	5
utilised	5
una	5
trying	5
try	5
trading	5
totaled	5
technologies	5
tabulated	5
surpassed	5
supplies	5
succeeded	5
subsidize	5
stresses	5
step	5
steer	5
spreading	5
sponsored	5
solve	5
simplifying	5
silting	5
sequenced	5
sensitize	5
sensitised	5
seeing	5
sectors	5
se	5
schedule	5
scales	5
sanitation	5
s	5
revise	5
reversed	5
retains	5
resumed	5
reiterated	5
regularizing	5
regularized	5
refurbished	5
recording	5
publish	5
prompted	5
previstas	5
predominate	5
practised	5
possesses	5
position	5
pool	5
plains	5
plagued	5
piped	5
peri	5
particulières	5
owning	5
overlapping	5
outsourced	5
originating	5
operationalizes	5
operationalise	5
ont	5
onitoring	5
notify	5
nominate	5
necessitate	5
narrowing	5
narrowed	5
multifaceted	5
moves	5
missions	5
minimise	5
mentor	5
maximise	5
materialize	5
matched	5
manufactured	5
loses	5
lining	5
lingering	5
leverages	5
leasing	5
lasted	5
last	5
landlocked	5
keeps	5
jeopardizing	5
interviewed	5
intervenes	5
interrupted	5
interested	5
insuring	5
inspired	5
influencing	5
implying	5
impeding	5
illustrated	5
huanglongbing	5
https://idbg.sharepoint.com/teams/ez-pr-lon/pr-l1147/_layouts/15/docidredir.aspx?id=ezshare-345112541-36	5
http://www.worldbank.org/projects	5
hinders	5
headquartered	5
harvested	5
handicapped	5
grows	5
grouping	5
grafting	5
georeferenced	5
gathered	5
gardening	5
forecast	5
fled	5
finalize	5
federated	5
features	5
exhibits	5
exhibit	5
escalating	5
entrepreneurship	5
entrench	5
entend	5
entailing	5
entailed	5
engineering	5
enforcing	5
endangered	5
enacted	5
effect	5
dykes	5
dwindling	5
drops	5
dropping	5
droits	5
drew	5
drained	5
dominates	5
documenting	5
discussing	5
directs	5
diminished	5
digitising	5
devastated	5
detected	5
destined	5
description	5
deriving	5
derives	5
depleted	5
deplete	5
defaulted	5
deconcentrated	5
dealt	5
deals	5
dating	5
culminated	5
criteria	5
correcting	5
cooperating	5
conveyed	5
conducts	5
conclues	5
concentrating	5
concentrates	5
compromises	5
compromised	5
commercialize	5
comment	5
collar	5
clustered	5
checked	5
channelled	5
cash	5
capacitación	5
born	5
bordered	5
blended	5
believe	5
balanced	5
average	5
attracts	5
attending	5
attend	5
arrange	5
approaching	5
approached	5
appraised	5
amendées	5
alimentaire	5
aggravate	5
afforded	5
adequate	5
additionnelles	5
adaptation	5
accumulating	5
accredited	5
accentuated	5
3.1.2	5
''s	5
œuvre	4
widened	4
welcomed	4
weakening	4
watershed	4
warrant	4
warming	4
wait	4
visited	4
verifying	4
upstream	4
underwent	4
underscore	4
underperforming	4
underestimated	4
tried	4
trapped	4
transitioning	4
transition	4
tracks	4
tightening	4
thought	4
think	4
terres	4
sworn	4
summed	4
subsidizing	4
sub	4
struggled	4
stimulates	4
steered	4
stay	4
stating	4
starts	4
standardize	4
staff	4
spécialisées	4
spearheaded	4
sourcing	4
sound	4
solicited	4
socio	4
site	4
shifts	4
settle	4
servicios	4
servicing	4
service	4
separated	4
satisfied	4
safeguarding	4
runs	4
rises	4
revoked	4
revamping	4
resurfacing	4
restructure	4
resort	4
residing	4
reset	4
republ	4
replicating	4
repairing	4
renovating	4
renovated	4
renew	4
rendering	4
relaunching	4
refine	4
refinance	4
refilling	4
redistributed	4
reconstructing	4
recommandations	4
reclaimed	4
recalled	4
reap	4
reaffirmed	4
qui	4
pushing	4
pumps	4
proporcionará	4
propelled	4
pronounced	4
progressing	4
programme	4
professionalized	4
produits	4
productives	4
proceeding	4
privées	4
prioritise	4
priced	4
premised	4
prefer	4
postponed	4
postpone	4
poised	4
pointing	4
pointed	4
pledged	4
plant	4
permits	4
pegged	4
peaking	4
peacebuilding	4
pave	4
patag	4
para	4
outsourcing	4
originate	4
orient	4
neighbouring	4
ménages	4
modernise	4
modelled	4
modeled	4
mitigates	4
merged	4
manifested	4
magap	4
looks	4
logging	4
locked	4
