trigram	frequency
land acquisition and	63
private sector development	63
the competitiveness of	63
preparation to continue	63
to approve the	63
will constitute the	63
take into account	63
the government will	63
com teams ez	63
cause to be	63
or cause to	63
during the project	63
contribution to the	62
and alignment with	62
loan agreement and	62
ordinary capital resources	62
social and economic	62
the needs of	62
there will be	62
impacts associated with	62
as amended from	62
and natural resource	62
support of the	62
financial and economic	62
first principal payment	62
the first principal	62
of the new	62
in the state	62
of agricultural value	62
project will provide	62
to carry out	62
in the value	62
government priorities and	62
particularly in the	62
the support of	61
l layouts docidredir	61
resources will be	61
financing in terms	61
information on the	61
o u t	61
shall cause the	61
an amount of	61
for value chain	61
of per cent	61
provisions of the	61
to markets and	61
of goods and	61
review of the	61
carrying out of	61
and the private	61
and food safety	61
will serve as	61
framework of the	61
be achieved through	61
the agriculture and	61
the areas of	61
withdrawn from the	61
is to increase	61
provisions of this	61
cost of the	61
and target group	61
for the agricultural	60
and evaluation of	60
recommendation for approval	60
fully aligned with	60
the agricultural and	60
the negotiated financing	60
financing from ifad	60
costs by expenditure	60
impacts of the	60
estimated date of	60
at the same	60
expenditure category and	60
summary of the	60
investments in the	60
proposed financing will	60
risk identification and	60
in the north	60
good agricultural practices	60
component will also	60
maintenance of the	60
of the world	60
establishing ifad and	60
project will have	60
supervision of the	60
contribution of beneficiaries	60
is likely to	60
agreement establishing ifad	60
board approve the	60
activities to be	60
economy and finance	60
has agreed to	60
negotiated financing agreement	60
with the agreement	60
with a focus	60
constitute the legal	59
for extending the	59
for approval the	59
will need to	59
as contained in	59
financing agreement between	59
receive financing from	59
and agriculture organization	59
under its laws	59
the value of	59
a c t	59
instrument for extending	59
its laws to	59
is invited to	59
cleared by adb	59
and water resources	59
approval the executive	59
and at the	59
to receive financing	59
policies and criteria	59
and the borrower	59
extending the proposed	59
executive board is	59
i recommend that	59
social risks and	59
security and nutrition	59
management of natural	59
and support for	59
of the negotiated	59
and with the	59
the appraisal stage	59
than percent of	59
improving access to	59
key performance indicators	59
poor and vulnerable	59
laws to receive	59
area and target	59
the carrying out	59
executive board approve	59
and mitigation measures	59
risks mitigation measures	59
identification and mitigation	59
recommend that the	59
legal instrument for	59
financing summary initiating	59
that the executive	59
the project provinces	59
description of the	59
with the procurement	59
context and rationale	59
invited to approve	59
strategic context and	59
grant of ua	59
of water resources	59
of the general	59
of the poor	59
board is invited	59
ifad will constitute	59
linked to the	58
it is expected	58
the european union	58
the borrower from	58
an assessment of	58
disaggregated by gender	58
value chains development	58
the event of	58
financing will comply	58
summary initiating institution	58
satisfied that the	58
amount of us	58
shall ensure or	58
the terms of	58
taken into account	58
proposed financing in	58
approve the recommendation	58
the objectives of	58
gender equality and	58
to the development	58
is empowered under	58
and market linkages	58
i am satisfied	58
rationale and alignment	58
of the technical	58
empowered under its	58
of finance and	58
prepared by the	58
purposes of the	58
it possible to	58
component of the	58
measures and requirements	58
am satisfied that	58
and poverty context	58
as the project	58
of the most	58
after the date	58
and rationale a	58
the project that	57
financing agreement is	57
at least of	57
used in this	57
and on the	57
ministry of environment	57
rules and procedures	57
an emphasis on	57
national development plan	57
financing instrument borrower	57
contained in paragraph	57
agency investment project	57
project is also	57
ensure or cause	57
to first disbursement	57
institutional capacity for	57
the design and	57
result of the	57
achievement of the	57
provisions of schedule	57
special drawing rights	57
to this end	57
implementing agency investment	57
in the targeted	57
the poverty line	57
the general conditions	57
and financial partners	57
withdrawal from the	56
activities under the	56
is fully aligned	56
democratic republic of	56
annual financial statements	56
referred to in	56
of the main	56
in relation to	56
will be submitted	56
agreement for the	56
project in accordance	56
the role of	56
or any successor	56
the policy is	56
social management plan	56
as described in	56
in urban areas	56
improve the quality	56
agreed with the	56
management and monitoring	56
prior to appraisal	56
and social assessment	56
and lack of	56
livestock and fisheries	56
provide a loan	56
access to agricultural	55
the activities of	55
the policies and	55
value chain approach	55
irrigation and drainage	55
effects of climate	55
per cent per	55
as one of	55
appraisal stage pid	55
are likely to	55
women and men	55
analysis of the	55
the recommendation for	55
in the programme	55
will be strengthened	55
natural resources management	55
stage pid isds	55
portion of the	55
the project does	55
out in accordance	55
they will be	55
the development objective	55
projects in the	55
and of the	55
and the world	55
opportunity cost of	55
for withdrawal from	55
a lack of	55
of the local	55
recommendation for the	54
that may be	54
concept review decision	54
aspects of the	54
lake chad region	54
terms of ifad	54
reflected in the	54
the transformation of	54
agreement with the	54
of this project	54
in respect of	54
sustainable management of	54
adb has agreed	54
project cost by	54
grievance redress mechanism	54
of the activities	54
the list of	54
for private sector	54
transformation of the	54
evidence of the	54
benefit and economic	54
of food and	53
support from the	53
safeguards monitoring report	53
is to contribute	53
of the united	53
the same time	53
ifad cooperating institution	53
category and financier	53
the borrower may	53
summary benefit and	53
the borrower will	53
loan withdrawn from	53
ifad loan ifad	53
financial and accounting	53
and the policies	53
in burkina faso	53
the reduction of	53
women and youths	53
with the private	53
and withdrawal of	53
policy is triggered	53
human development index	53
will build on	53
development in the	53
for ifad financing	53
are consistent with	53
likely to be	53
country and rural	53
will be required	53
a loan on	53
based logical framework	53
to respond to	53
be implemented by	53
withdrawal of loan	52
the rate of	52
in the technical	52
there is no	52
access to financial	52
of agricultural and	52
and percent of	52
establishment of an	52
with the support	52
executed and delivered	52
of women in	52
thousand special drawing	52
and monitoring of	52
activities of the	52
loan agreement for	52
and the ministry	52
be implemented over	52
any corrective or	52
and the development	52
because of the	52
will be opened	52
value chains in	52
accounting and financial	52
of rural development	52
agreement is attached	52
for agricultural development	52
the amortization schedule	52
million appraising institution	52
and improvement of	52
are presented in	52
food and nutritional	52
the inclusion of	52
social safeguards specialists	52
with an emphasis	52
in the selected	52
of value chain	51
and dissemination of	51
knowledge management and	51
of the procurement	51
number of farmers	51
development of value	51
and promotion of	51
and evaluation system	51
and asian development	51
the fact that	51
financing source amount	51
production and marketing	51
allocation and withdrawal	51
loan ifad grant	51
withdrawn and outstanding	51
setting up of	51
or preventative actions	51
and institutional capacity	51
and scaling up	51
in the field	51
equipment and materials	51
the expansion of	51
other development partners	51
prepared for the	51
from the bank	51
corrective or preventative	51
framework for the	51
and any corrective	51
only percent of	51
inclusive and sustainable	51
the involvement of	51
growth in the	51
productivity and production	51
will lead to	51
the existence of	50
the economic and	50
ensure that no	50
any successor thereto	50
the loan section	50
sources of financing	50
project activities are	50
in the past	50
basis for withdrawal	50
during the implementation	50
approval of the	50
with the measures	50
and implementation arrangements	50
to the implementation	50
growth and poverty	50
the country and	50
the proposed program	50
among other things	50
preventative actions set	50
the development and	50
this component would	50
the delivery of	50
programme will be	50
expenditure to be	50
this project will	50
implemented by the	50
percent in to	50
and criteria for	50
in annex b	50
access to basic	50
project completion report	50
proposed loan to	50
the bank for	50
table project costs	49
the absence of	49
have access to	49
participation in the	49
extreme weather events	49
also contribute to	49
of smallholder farmers	49
project coordination unit	49
terms to the	49
innovations and scaling	49
report proposed loan	49
procurement and governance	49
report to the	49
of expenditure to	49
the detailed arrangements	49
is expected that	49
more than percent	49
procurement methods and	49
specified for the	49
set forth herein	49
in agriculture and	49
source of financing	49
environmental assessment category	49
use of pesticides	49
implemented in accordance	49
account will be	49
loan disbursement handbook	49
criteria for ifad	49
notice to the	49
it is estimated	49
by notice to	49
component and financier	48
project that were	48
allocated to any	48
needs of the	48
in that category	48
depending on the	48
rural areas and	48
the technical annexes	48
a safeguards monitoring	48
policy is not	48
at all levels	48
evaluation of the	48
expenditures in that	48
meet the estimated	48
women in the	48
precedent to first	48
the withdrawal percentage	48
sustainable use of	48
to any category	48
on the other	48
agreed expenditures in	48
and livestock production	48
a combination of	48
in the financing	48
any category appears	48
borrower shall pay	48
of the environmental	48
an enabling environment	48
project does not	48
and marketing of	48
implementation will be	48
the key stakeholders	48
more than of	48
the estimated shortfall	48
of at least	48
percent of total	48
access to inputs	48
for percent of	48
if the amount	48
below the poverty	48
research and development	48
be required to	48
forth in a	48
the supervision of	48
and women in	47
services shall be	47
in a safeguards	47
are included in	47
per cent and	47
agricultural and livestock	47
in paragraph of	47
affected by the	47
on the financial	47
at the local	47
the lessons learned	47
responsibility of the	47
compared to the	47
in the design	47
of the grant	47
cost of capital	47
of the private	47
world bank and	47
private sector and	47
representatives of the	47
parts of the	47
enable them to	47
agricultural sector in	47
a grant to	47
a resettlement policy	47
for the first	47
the opinion of	47
category appears to	47
will be identified	47
the potential to	47
services such as	47
is not expected	47
will be subject	47
of the executing	47
support will be	47
financed under the	47
with the world	47
considered in the	47
increase agricultural productivity	46
out by the	46
to percent of	46
a period of	46
means of verification	46
with support from	46
be given to	46
project will promote	46
the past decade	46
to improve access	46
the recruitment of	46
and terms of	46
the right to	46
the environment and	46
the government to	46
is estimated that	46
loan allocated to	46
m e and	46
will include a	46
provide a grant	46
beneficiaries will be	46
outlined in the	46
actions set forth	46
to mitigate the	46
all agreed expenditures	46
nature of the	46
the dissemination of	46
loan regulations shall	46
taxes and duties	46
monitoring of the	46
organization of the	45
or irreversible impacts	45
the execution of	45
on the loan	45
shall be allocated	45
th out of	45
resilience of the	45
withdrawals from the	45
will also contribute	45
in view of	45
grace period of	45
the integration of	45
in this context	45
managed by the	45
to make a	45
conditions set forth	45
the first phase	45
the right of	45
the economic analysis	45
to the world	45
so as to	45
incidence of poverty	45
satisfactory to adb	45
the pcu will	45
agreement and the	45
during the preparation	45
including a grace	45
productivity of the	45
ministry of rural	45
representative of the	45
the rural economy	45
is attached as	45
and lessons learned	45
private sector investment	44
relate to the	44
will be managed	44
accordance with its	44
the increase in	44
works and consulting	44
as an additional	44
safeguards data sheet	44
the assessment of	44
pursuant to the	44
is specified as	44
the special account	44
following is specified	44
ops table country	44
of the principal	44
central bank of	44
part of a	44
the national poverty	44
project is in	44
and delivered on	44
contribution of borrower	44
to manage the	44
physical and financial	44
integrated safeguards data	44
data ops table	44
are estimated at	44
the government is	44
to be used	44
the loan allocated	44
agreement shall have	44
national steering committee	44
economic internal rate	44
be established to	44
at the central	44
with the amortization	44
regulations shall be	44
the share of	44
quality of the	44
and job creation	44
along the value	44
that can be	44
table country project	44
provided in the	44
relationship to cpf	44
this policy is	44
in consultation with	43
loan of ua	43
phase of the	43
work plans and	43
the principles and	43
through the development	43
cent per annum	43
the bank to	43
concept stage date	43
the project preparation	43
specified as an	43
the overall project	43
will be given	43
the national average	43
in the iee	43
in agricultural production	43
for the procurement	43
of the republic	43
financial management of	43
pmu will be	43
their access to	43
building the capacity	43
of the adf	43
will be selected	43
for young people	43
project data country	43
with the country	43
required to meet	43
promotion of agricultural	43
safeguard policies that	43
of rural households	43
and sustainability of	43
project implementation and	43
the purpose of	43
be provided by	43
productivity in the	43
executing agency and	43
preparation and implementation	43
priorities and rb	43
in the first	43
participate in the	43
to comply with	43
and nutritional security	43
delivered on behalf	43
beneficiaries of the	43
the original project	43
who will be	43
actors in the	42
agriculture in the	42
as updated from	42
will also include	42
the tadb will	42
conditions of the	42
forth in chapter	42
development support project	42
which have been	42
of the existing	42
sustainable land management	42
and contribute to	42
agriculture value chains	42
water and sanitation	42
resource management and	42
private investment in	42
project in the	42
be disbursed in	42
ordinary operations concessional	42
to the agricultural	42
to increase agricultural	42
a set of	42
the interest charge	42
and climate resilience	42
the local level	42
policies and strategies	42
in the national	42
this project is	42
updated from time	42
in the results	42
schedule set forth	42
and water conservation	42
the success of	42
the capacities of	42
in connection with	42
value chain and	42
of technical assistance	42
the logical framework	42
islamic republic of	42
monitoring and reporting	42
the steering committee	42
agriculture and forestry	42
for project implementation	42
role in the	42
number of beneficiaries	42
the borrower for	42
impacts on the	42
each principal payment	42
will also provide	42
reasons for rejection	42
control of the	41
of the esmf	41
stakeholders in the	41
in the medium	41
given that the	41
in chapter v	41
project activities and	41
majority of the	41
technical assistance for	41
institutional and implementation	41
will be applied	41
at the regional	41
loan account and	41
the target group	41
amortization schedule set	41
on a competitive	41
within the project	41
on the following	41
date of this	41
borrower and cleared	41
respect to the	41
they relate to	41
on the environment	41
or long term	41
of the target	41
for rural development	41
serve as a	41
implementation of activities	41
of the implementation	41
and livestock value	41
will not finance	41
id parent project	41
project id parent	41
the office of	41
the project agreement	41
each fiscal year	41
and support to	41
arrangements set forth	41
with the proposed	41
economic rate of	41
will be updated	41
be specified in	41
significant and or	41
in the program	41
annual work plans	41
and market gardening	41
project complies with	41
of planning and	41
with an average	41
context of the	41
rural financial services	41
will be mitigated	41
long term impacts	41
project data ops	41
to be developed	41
across the country	41
and or irreversible	41
the supply of	41
and regulatory framework	41
form and substance	41
that they are	41
higher than the	41
ownership of the	41
and learning and	41
within the framework	40
republic of congo	40
the component would	40
the sector is	40
in project design	40
risks associated with	40
project will help	40
funded by the	40
taken by the	40
and preparation of	40
crops and livestock	40
the requirements of	40
and or long	40
a population of	40
in form and	40
page of project	40
agricultural development and	40
the rural poor	40
to benefit from	40
standards acceptable to	40
changes in the	40
cost and financing	40
with the ifad	40
of irrigation schemes	40
implemented in the	40
expected to increase	40
for the rural	40
facilitate access to	40
of the economic	40
used to finance	40
project financing data	40
reconstruction and development	40
by ifad eb	40
priority value chains	40
for a total	40
is implemented in	40
areas in the	40
the rest of	40
at per cent	40
presented in the	40
the percentage of	40
indirect and or	40
share of the	40
will be to	40
resettlement action plans	40
build the capacity	40
and in accordance	40
and implementation support	40
in the central	40
the programme area	40
program operating regulations	40
is characterized by	40
detailed arrangements set	40
the following activities	40
and outstanding from	40
available to the	40
project is classified	40
for preparing the	39
to assess the	39
are based on	39
project description a	39
to enable them	39
segments of the	39
the agricultural value	39
and strengthen the	39
the procurement guidelines	39
services will be	39
to adb for	39
the poor and	39
made available to	39
access to improved	39
risks or impacts	39
in coordination with	39
for the agriculture	39
of the key	39
technical and vocational	39
adoption of climate	39
for a subproject	39
amount of ua	39
has been prepared	39
plans and budgets	39
by the national	39
the minister of	39
project aims to	39
of life for	39
and to the	39
means the principles	39
industrial processing zones	39
the first year	39
of gdp in	39
the costs of	39
for reconstruction and	39
for the country	39
and agreed between	39
the procurement regulations	39
have the following	39
bank for reconstruction	39
loan account in	39
the emergence of	39
the human development	39
project is consistent	39
development and implementation	39
are as follows	39
detailed in the	39
in the process	39
all bidding documents	39
the state of	39
market access and	39
in the northern	39
be managed by	39
the course of	39
the last decade	39
water resources management	39
together with the	39
project implementation manual	39
the project shall	39
of this schedule	39
of project information	38
international bank for	38
of them women	38
report and recommendation	38
the rural areas	38
public finance management	38
to the agriculture	38
will be audited	38
management will be	38
an area of	38
the project coordination	38
on the team	38
financial management arrangements	38
with ifad policies	38
to be signed	38
in the production	38
which aims to	38
is classified as	38
competitiveness of the	38
as adb shall	38
borrower for the	38
of the three	38
annual growth rate	38
of sierra leone	38
in each of	38
the public procurement	38
the capacity to	38
access to financing	38
the most important	38
which ibrd ida	38
of the region	38
