bigram	frequency
water harvesting	59
made available	59
building activities	59
regional development	59
economic transformation	59
development goals	59
site specific	59
weather events	59
en place	58
currency equivalents	58
total expenditure	58
improving access	58
farming systems	58
bank date	58
latin america	58
agriculture productivity	58
rural livelihoods	58
project execution	58
national project	58
consultancy services	58
special contractual	58
processing zones	58
morocco plan	58
year period	58
investment plan	58
reduce poverty	58
lending instrument	58
redress mechanism	58
monitoring system	58
project identification	58
will directly	58
will strengthen	58
poor households	57
ifad grant	57
quality control	57
results indicators	57
agency investment	57
total land	57
concept description	57
internal audit	57
progress report	57
project type	57
agricultural producers	57
will target	57
ordinary capital	57
health services	57
green morocco	57
development index	57
credit loan	57
original project	56
smart agricultural	56
social inclusion	56
applicable laws	56
investments will	56
increase productivity	56
target area	56
also include	56
para el	56
stage pid	56
related activities	56
productive landscapes	56
due diligence	56
management project	56
update thereto	56
population density	56
third party	56
asian development	56
term impacts	56
ida credit	56
local government	56
will increase	56
productivity enhancement	55
citizen engagement	55
concept review	55
cashew nuts	55
will develop	55
infant mortality	55
approach will	55
price contingencies	55
social risk	55
special agro	55
southern africa	55
second phase	55
social services	55
safeguards advisor	54
participation rate	54
female population	54
farm level	54
crop diversification	54
agribusiness development	54
building resilience	54
water users	54
procurement methods	54
provide technical	54
date pid	53
procurement arrangements	53
team will	53
climate risks	53
interest charge	53
opportunity cost	53
forest management	53
economic performance	53
private investments	53
rice production	53
government will	53
economic activity	53
disbursement handbook	53
processing units	53
positive impact	53
veterinary services	53
evaluation will	53
food imports	53
per day	52
livestock value	52
conditions associated	52
ecological zones	52
conditions set	52
financial inclusion	52
potential adverse	52
soil conservation	52
capacity assessment	52
water conservation	52
audited financial	52
framework will	52
central african	52
approximately us	52
labour force	52
national poverty	52
safeguards policies	52
social cohesion	52
water quality	52
indicators means	52
resilient productive	52
projects financed	52
management capacity	52
project aims	52
real gdp	52
food insecure	52
agricultural investment	52
community level	52
gender mainstreaming	51
bank financing	51
ex pectancy	51
baseline study	51
programme area	51
rural enterprises	51
irrigated areas	51
climate risk	51
bank policy	51
water control	51
implementation support	51
greenhouse gas	51
principal payment	51
also contribute	51
development challenges	51
negative environmental	51
date rating	51
life ex	51
secondary school	51
urban population	51
decision making	50
master plan	50
population ages	50
government priorities	50
system generated	50
counterpart contribution	50
targeted areas	50
measures will	50
make available	50
land bank	50
use efficiency	50
component ii	50
will receive	50
will generate	50
child immunization	50
see annex	50
time frame	50
million ha	50
irreversible impacts	50
finance management	50
ble op	50
projects will	50
payment date	50
management will	50
assessment category	50
needs assessment	50
solid waste	50
will remain	50
will establish	50
participatory process	50
west african	50
mitigation measure	49
measures taken	49
measures supported	49
policy engagement	49
counterpart funding	49
percent per	49
also provide	49
principal amount	49
de gestion	49
account will	49
project alternatives	49
procurement processes	49
improved water	49
livestock sector	49
rural entrepreneurship	49
first year	49
farmers will	49
basic services	49
integrated agricultural	49
ops pm	49
farmer groups	49
patag eaj	49
agricultural sub	49
potential impacts	49
surinam canal	49
feasibility study	48
field schools	48
public health	48
public investments	48
le fida	48
international standards	48
proposed loan	48
institutional arrangements	48
international competitive	48
income generation	48
close collaboration	48
base rate	48
chain approach	48
impacts will	48
results chain	48
program activities	48
high quality	48
trust fund	48
disclosed prior	48
development agency	48
au niveau	48
development projects	48
oil palm	47
le programme	47
may otherwise	47
af will	47
sur le	47
environmental specialist	47
direct payment	47
smart technologies	47
saharan africa	47
procurement regulations	47
value crops	47
dans la	47
indigenous people	47
will enhance	47
reports will	47
chain performance	47
director general	47
component aims	47
improved technologies	47
sustainable agriculture	46
compliance monitoring	46
operation will	46
project linkages	46
yes ops	46
africa strategy	46
expenditure claimed	46
organizational framework	46
funds will	46
social safety	46
increased agricultural	46
th rate	46
affected persons	46
approval date	46
farming practices	46
ifad will	46
country office	46
provide support	46
grow th	46
low levels	46
donor coordination	46
iii page	46
main risks	46
procurement officer	46
financing summary	46
three components	46
data country	46
liv ing	46
population grow	46
will involve	46
support facility	46
strategic objectives	46
including women	46
nutritional security	45
will follow	45
safeguards data	45
bank additional	45
project start	45
risk identification	45
life expectancy	45
high levels	45
national competitive	45
lessons reflected	45
hundred thousand	45
strategic context	45
agricultural hub	45
marketing infrastructure	45
reducing poverty	45
data sheet	45
specific objectives	45
potential indirect	45
surface area	45
accounting system	45
ii project	45
agriculture financing	45
strategic plan	45
renforcement des	45
higher education	45
related studies	45
data ops	44
scale farmers	44
poverty context	44
local ngos	44
taat will	44
debt sustainability	44
national steering	44
table country	44
technical staff	44
guarantee fund	44
world food	44
base case	44
agricultural health	44
amount allocated	44
transition support	44
surface water	44
economic rate	44
economic benefits	44
technology delivery	44
production technologies	44
focal points	44
ordinary operations	44
midterm review	44
may include	44
national average	44
public institutions	44
economic infrastructure	44
service charge	44
para la	44
lessons learnt	44
adverse environmental	44
poor rural	44
climatic conditions	44
plan will	44
project benefits	44
corporate considerations	44
financial contingencies	43
future activities	43
amortization schedule	43
certified seeds	43
public spending	43
integrated management	43
feasibility studies	43
management team	43
will aim	43
high level	43
also finance	43
costs related	43
agricultural policy	43
disaster risk	43
services will	43
seed production	43
crop varieties	43
preventative actions	43
improve productivity	43
project facilities	43
finance activities	43
two years	43
farm productivity	43
management activities	43
local development	43
safety net	43
loan disbursement	43
will adopt	43
past decade	43
track ii	43
ex post	42
national strategy	42
target groups	42
del proyecto	42
will implement	42
outcome indicators	42
development planning	42
young entrepreneurs	42
strategic framework	42
agricultural potential	42
org infoshop	42
cash crops	42
social safeguard	42
permanent secretary	42
special attention	42
implementation progress	42
household surveys	42
bank contact	42
resource base	42
borrower will	42
financing data	42
agricultural mechanisation	42
en la	42
bank projects	42
fully aligned	42
target population	42
rural land	42
tadb will	42
ibrd ida	42
project financial	42
national agriculture	42
procurement guidelines	42
previously agreed	42
financial information	42
irrigation system	42
farming households	41
water availability	41
agricultural statistics	41
monitoring indicators	41
pforr program	41
income country	41
id parent	41
loan resources	41
landscapes project	41
adb loan	41
key role	41
ops ea	41
river basin	41
annual reports	41
integrated approach	41
crop yields	41
rural people	41
ifad policies	41
animal husbandry	41
loan currency	41
farmer field	41
high potential	41
volume ii	41
audit report	41
rural water	41
le cadre	41
around percent	41
country programme	41
portfolio performance	41
will create	41
country development	41
cost estimates	41
international bank	41
implementation period	41
international markets	41
following activities	41
agricultural innovation	40
presented herein	40
commercial bank	40
nationally determined	40
la production	40
african countries	40
environmental risks	40
loan amount	40
oil prices	40
build resilience	40
sector investments	40
will therefore	40
will address	40
similar projects	40
specific studies	40
output indicators	40
supply chain	40
property rights	40
project manager	40
total local	40
expenditure schedule	40
summary benefit	40
renewable energy	40
eur million	40
adaptation measures	40
unit will	40
program development	40
conditions presented	40
risks associated	40
potentially affected	40
sur les	40
marine fisheries	40
programme management	40
infrastructure investments	40
nutrition insecurity	40
infrastructure will	40
gas emissions	39
project also	39
management committees	39
world development	39
institutional responsibilities	39
effective implementation	39
safe water	39
small ruminants	39
region https	39
project results	39
will guide	39
agricultural gdp	39
climate information	39
local roads	39
potential large	39
fiscal deficit	39
investment projects	39
economic internal	39
shall include	39
food value	39
vulnerable households	39
facilitate access	39
fonds fiduciaire	39
standard bidding	39
agricultural enterprises	39
three main	39
docnum ezshare	39
eligible activity	39
support activities	39
program implementation	39
operating expenses	39
significant conversion	39
private partnership	39
provincial level	39
specific activities	39
public works	39
negative impact	39
control system	39
promote agricultural	39
determined contribution	39
enable youth	39
better access	39
adb shall	39
farmer organizations	38
national procurement	38
rep congo	38
extension systems	38
information documents	38
food crop	38
special emphasis	38
family farming	38
advisory support	38
dem rep	38
national system	38
national food	38
tsf loan	38
may also	38
impacts due	38
bank integrated	38
amount borrower	38
verification risks	38
seed multiplication	38
plans will	38
fisheries management	38
last disbursement	38
comparative advantage	38
integrated water	38
project implementing	38
bank climate	38
works contracts	38
amount equivalent	38
three years	38
household incomes	38
sustainable economic	38
security situation	38
capita income	38
ifad financing	38
productivity improvement	38
district level	38
technical capacity	38
medium enterprises	38
policy measures	38
components outcomes	38
livestock farming	38
individual consultants	38
minimize adverse	38
additional income	38
following conditions	38
will result	38
fiduciary risks	38
months following	38
investment activities	38
rural transformation	38
increasing agricultural	38
livestock development	37
contractual conditions	37
weak capacity	37
public consultation	37
borrower may	37
will assist	37
project complies	37
study will	37
commodity prices	37
improved management	37
financing international	37
management letter	37
competitive basis	37
market opportunities	37
local foreign	37
product processing	37
regional integration	37
natural capital	37
poyang lake	37
procurement risks	37
consulting firms	37
risk rating	37
prestatario receptor	37
animal production	37
crop productivity	37
landscape management	37
agriculture transformation	37
selection criteria	37
anticipated future	37
progress towards	37
foreign total	37
project intervention	37
productive investments	37
overall responsibility	37
total investment	37
livestock products	37
cultural property	37
grain reserve	37
institutional capacities	37
program ii	37
interest rates	37
agricultural income	37
groundnut basin	37
clear institutional	36
du personnel	36
works contract	36
quarterly progress	36
transaction costs	36
rice value	36
equitable access	36
documents integrated	36
wide range	36
de production	36
structural reforms	36
public service	36
project funds	36
industrial sector	36
successor thereto	36
measures described	36
ainsi que	36
report will	36
financial audit	36
afdb statistics	36
sri lanka	36
value year	36
designated account	36
central government	36
million tons	36
early warning	36
palm oil	36
basic infrastructure	36
agricultural produce	36
improving food	36
project target	36
improve agricultural	36
project approval	36
change impacts	36
statements will	36
international cooperation	36
retention dam	36
service provision	36
agricultural advisory	36
project impact	36
combined project	36
prev alence	36
intervention areas	36
rural producers	36
ensure sustainability	36
low level	36
youth unemployment	36
diversification project	36
development activities	36
co mp	36
will produce	36
project investments	36
water sector	36
agricultural commodities	36
total number	36
progress made	36
plan framework	36
statistics department	36
duly authorized	36
local governance	36
partnership framework	36
subsistence farming	35
irrigation management	35
private partnerships	35
sustainable manner	35
completion reports	35
recipient name	35
loan agreements	35
financing instruments	35
risk assessment	35
appraisal mission	35
accounting software	35
management arrangements	35
business climate	35
borrower capacity	35
national economy	35
agricultural output	35
corantijn canal	35
total base	35
particularly women	35
south africa	35
will apply	35
ex ante	35
credit guarantee	35
environmentally sustainable	35
disclosure requirements	35
good practices	35
management report	35
management tools	35
agriculture economist	35
agency will	35
last decade	35
road network	35
income per	35
positive environmental	35
project sites	35
within six	35
business opportunities	35
rural youth	35
mechanism will	35
tenure security	35
agriculture commercialization	35
project triggers	35
social infrastructure	35
potential risks	35
chronic malnutrition	34
address safeguard	34
satisfactory implementation	34
beneficiary communities	34
help avoid	34
agencies name	34
national public	34
cashew value	34
projects world	34
highly concessional	34
integrated irrigation	34
brief description	34
funded operations	34
service provider	34
national rural	34
relevant documents	34
main source	34
lead project	34
impact indicators	34
priority areas	34
carbon sequestration	34
market development	34
farmer producer	34
loan effectiveness	34
partnership strategy	34
agricultural exports	34
satisfactory calendar	34
trip ii	34
works will	34
post review	34
mordi tt	34
green growth	34
active portfolio	34
consultant will	34
baseline survey	34
improving productivity	34
loan withdrawn	34
ua thousand	34
investment promotion	34
financial viability	34
project legal	34
community infrastructure	34
safeguard preparation	34
will consist	34
financial officer	34
legal documents	34
cause balochistan	34
fiscal consolidation	34
grant resources	34
results area	33
resilient agricultural	33
substance satisfactory	33
gender strategy	33
pour la	33
execution unit	33
bank within	33
resettlement plan	33
qcbs lumpsum	33
development agenda	33
kg ha	33
million contribution	33
monitoring systems	33
board approve	33
project may	33
disbursement rate	33
among countries	33
project agency	33
safeguard impacts	33
nations development	33
scale producers	33
improve food	33
org borrower	33
government contribution	33
loan contract	33
describe measures	33
corporate level	33
actions set	33
rural markets	33
food system	33
preparation plan	33
bank resilient	33
working groups	33
impact assessments	33
estimated cost	33
fiduciary management	33
project resources	33
maternal mortality	33
adequately reflected	33
higher value	33
operational manual	33
el salvador	33
will meet	33
management information	33
country systems	33
mt ha	33
development financing	33
external monitoring	33
also consistent	33
will report	33
bank project	32
target date	32
de financement	32
total area	32
safeguard instruments	32
group will	32
agriculture practices	32
supply chains	32
key issues	32
programme cost	32
bank support	32
response component	32
poverty alleviation	32
information sheet	32
price escalation	32
plan source	32
african republic	32
forest cover	32
de suivi	32
priority value	32
projet et	32
small livestock	32
productivity program	32
income countries	32
support staff	32
tentative target	32
improved food	32
iscl osure	32
relevant safeguard	32
operational guidelines	32
agencies ministry	32
name parent	32
dated october	32
cash flow	32
key project	32
procedures will	32
commercialization project	32
technological innovation	32
agricultural sectors	32
gestion du	32
process framework	32
also aligned	32
audit management	32
national institute	32
sector coordination	32
trade facilitation	32
project concept	32
disease control	32
facilitating access	32
sector participation	32
past years	32
import substitution	32
sector growth	32
solutions adopted	32
bank burkina	32
will seek	32
productive alliances	32
method will	32
safety nets	32
income generating	32
smallholder producers	32
seed systems	32
par les	32
last years	32
fonds international	32
water storage	31
boko haram	31
expenditures incurred	31
population living	31
capita us	31
project staff	31
dairy products	31
pid prepared	31
loan will	31
poor people	31
four components	31
operational costs	31
emerging farmers	31
least one	31
fragility factors	31
cfaf billion	31
will constitute	31
ii page	31
family farms	31
inclusive economic	31
access project	31
risks identified	31
will monitor	31
control group	31
implementation institutional	31
change mitigation	31
added value	31
sets forth	31
rehabilitation works	31
drip irrigation	31
sized enterprises	31
land ownership	31
agricultural input	31
please explain	31
sector activities	31
work closely	31
et un	31
potential negative	31
agriculture competitiveness	31
annual progress	31
risk sharing	31
related services	31
rice cultivation	31
attention will	31
last update	31
also help	31
us billion	31
bank financed	31
issues related	31
por el	31
pcu will	31
estimated costs	31
management issues	31
consulting firm	31
research projects	31
senior agriculture	31
development outcomes	31
new agricultural	31
final evaluation	31
contingency emergency	31
women farmers	30
indirect beneficiaries	30
national de	30
iii project	30
will depend	30
regional public	30
fiduciary aspects	30
internal controls	30
sector performance	30
working capital	30
co emissions	30
bank niger	30
support agricultural	30
targeted value	30
services provided	30
document page	30
rural engineering	30
investment management	30
cfaf million	30
de personnes	30
accounts will	30
assessment will	30
auditor general	30
rural populations	30
estimated total	30
public place	30
market demand	30
mp ta	30
condition precedent	30
programme costs	30
au moins	30
completion date	30
construction works	30
swamp retention	30
build capacity	30
table project	30
eligible crisis	30
small enterprises	30
livestock productivity	30
activity will	30
power sector	30
annual budget	30
private investors	30
resilience project	30
gestion des	30
sector stakeholders	30
results monitoring	30
export markets	30
private dialogue	30
fed agriculture	30
detailed design	30
id project	30
highly vulnerable	30
affected groups	30
deemed satisfactory	30
environmental degradation	30
rainy season	30
detailed arrangements	30
medium scale	30
environment assessment	30
following key	30
various stakeholders	30
policies documents	30
innovation fund	30
safeguards requirements	29
intervention area	29
provide training	29
arrangements will	29
improved irrigation	29
provide evidence	29
public financial	29
local governments	29
line ministries	29
risk classification	29
credit line	29
million ua	29
alone ea	29
green agriculture	29
ida grant	29
payment method	29
country program	29
important role	29
management recommends	29
macroeconomic stability	29
production costs	29
million amount	29
rpf will	29
document integrated	29
capital resources	29
bp gp	29
livelihoods project	29
land regularization	29
accounting management	29
project require	29
productivity growth	29
cgiar centers	29
percentage points	29
project objective	29
rlacc ii	29
certified seed	29
project locations	29
psc will	29
execution plan	29
bank portfolio	29
indicators will	29
bank acceptable	29
enhancement project	29
people living	29
including emp	29
specific environmental	29
thousand united	29
development assistance	29
reports risk	29
national water	29
awareness raising	29
dependency ratio	29
agricultural markets	29
bank chad	29
rural services	29
international de	29
procurement risk	29
van wouw	29
president appendix	29
applicable bank	29
tcep ii	29
water user	29
twin goals	29
adequately address	29
measures indicator	29
document disclosed	29
two main	29
productive partnerships	29
food prices	29
financed operations	29
increased access	29
food sector	29
des jeunes	29
proyecto mag	29
improved production	29
also includes	29
general directorate	29
administrative procedures	29
ea will	29
assistance will	28
national legislation	28
las condiciones	28
market prices	28
plan tentative	28
resources policies	28
investment plans	28
loan bl	28
financial year	28
forest products	28
seed varieties	28
short term	28
management procedures	28
basic data	28
gender issues	28
en charge	28
informal sector	28
external shocks	28
faso agriculture	28
afin de	28
increased use	28
extension service	28
la gestion	28
program design	28
may require	28
respective issues	28
green revolution	28
stage report	28
agriculture will	28
disbursement procedures	28
regional environment	28
following three	28
proposed activities	28
manual will	28
procurement procedures	28
infrastructure works	28
digital solutions	28
pastoral communities	28
accounting procedures	28
agricultural product	28
ea report	28
will conduct	28
high cost	28
special drawing	28
procurement execution	28
ensure compliance	28
fiduciary agreements	28
financing mechanisms	28
may lead	28
nutrition indicators	28
bank intervention	28
increase access	28
growth rates	28
sustainable natural	28
drawing rights	28
improved nutrition	28
agency shall	28
agriculture resilience	28
agriculture investment	28
community health	28
de producteurs	28
global environment	28
livelihood activities	28
directly benefit	28
procurement policies	28
rural growth	28
agricultural processing	28
himachal pradesh	28
quality standards	28
community participation	28
value agriculture	28
quality seeds	28
measures metric	28
birth rate	28
child mortality	28
poverty incidence	28
local levels	28
summary project	28
efficient use	28
farmer cooperatives	28
national counterpart	28
systems will	28
leg sgo	28
gum arabic	28
births attended	27
des conditions	27
thematic working	27
forced labor	27
financial plan	27
sustainable growth	27
decision meeting	27
component description	27
blogs el	27
fiscal space	27
approximately percent	27
major challenges	27
estimated amount	27
environment unit	27
table op	27
expenditure categories	27
annual basis	27
resepag ii	27
million us	27
march september	27
sector will	27
strengthen resilience	27
loan ifad	27
project seeks	27
territorial development	27
agricultural spec	27
direct contracting	27
parallel financing	27
total costs	27
marginal farmers	27
significant progress	27
key areas	27
will complement	27
thereto acceptable	27
total fertility	27
working group	27
support program	27
agriculture research	27
resilient technologies	27
disbursement period	27
become effective	27
