adjective	frequency
deux	6
decisive	6
dangerous	6
countercyclical	6
conversant	6
conclusive	6
computerised	6
comparable	6
colonial	6
cohesive	6
cleaner	6
circular	6
bold	6
benchmark	6
authorized	6
assorted	6
associative	6
aromatic	6
argentinean	6
annuellement	6
animal	6
alarming	6
agroindustrial	6
agency	6
afro	6
4th	6
3rd	6
38,2	6
30th	6
21st	6
12th	6
wood	5
white	5
watersheds	5
watercourse	5
unreported	5
unqualified	5
unmet	5
underperforming	5
undeniable	5
uncoordinated	5
torrential	5
thermal	5
tant	5
swift	5
suspendre	5
supported	5
stratégie	5
standardized	5
species	5
specialist	5
southwestern	5
seventh	5
se	5
réalisées	5
rwandan	5
richest	5
richer	5
resultant	5
restricted	5
residential	5
required	5
remaining	5
reflexive	5
refined	5
recevant	5
re	5
psychosocial	5
project-	5
procedural	5
prerequisite	5
preferred	5
prefectural	5
ppp	5
powerful	5
portable	5
pollutant	5
pervasive	5
pasta-	5
part	5
optimistic	5
operativos	5
older	5
ocal	5
nouveaux	5
needy	5
multi-	5
modernized	5
mariculture	5
leveraging	5
knowledgeable	5
judicious	5
islamic	5
interrelated	5
inland	5
influential	5
incipient	5
impossible	5
impassable	5
immense	5
idb	5
hungry	5
général	5
griculture	5
geospatial	5
funded	5
foodborne	5
finished	5
extraordinary	5
exportable	5
está	5
engaged	5
electrical	5
edible	5
défaillance	5
disputed	5
disciplinary	5
criminal	5
country	5
counterfactual	5
confectionery	5
complement	5
community	5
commune	5
commensurate	5
cognizant	5
clim	5
cheaper	5
capitalized	5
burundian	5
bigger	5
avian	5
auxiliary	5
argentine	5
appraisal	5
appendex	5
alone	5
agroclimatic	5
af-2	5
7th	5
▪	4
yy1	4
younger	4
yemeni	4
yellow	4
worldwide	4
working	4
weakened	4
war	4
virtuous	4
ural	4
unsafe	4
underscored	4
undermine	4
underground	4
underfunded	4
underexploited	4
underemployment	4
unavailable	4
unattractive	4
ukrainian	4
transhumant	4
transactional	4
tradeable	4
tous	4
topographic	4
tighter	4
threshing	4
thermostable	4
tedious	4
sylvo-	4
suited	4
subsistent	4
suboptimal	4
stated	4
staggering	4
sier	4
service	4
según	4
secretarial	4
salaried	4
russian	4
ruraux	4
requested	4
rental	4
psychological	4
proof	4
pluri	4
pluralistic	4
plantation	4
plain	4
phased	4
passive	4
pacigof	4
overweight	4
opposite	4
operative	4
olive	4
northwestern	4
northeastern	4
north	4
niveau	4
needed	4
nearby	4
multisectoral	4
multicultural	4
millet	4
meilleure	4
mass	4
linked	4
lean	4
kenyan	4
kenya?s	4
keen	4
jobless	4
interprofessional	4
interlinked	4
interactive	4
infected	4
inexistent	4
inevitable	4
inequitable	4
incompatible	4
imprest	4
implicit	4
illiterate	4
ii	4
honduran	4
harmonious	4
grower	4
groupe	4
going	4
ghanaian	4
geological	4
geodetic	4
gazetted	4
février	4
fruitful	4
fossil	4
fmd	4
flood-	4
fit	4
finalized	4
familiale	4
expansionary	4
exotic	4
established	4
elevated	4
electoral	4
educated	4
economical	4
eager	4
désignés	4
driest	4
documentary	4
divergent	4
distinctive	4
distant	4
disruptive	4
disabled	4
dimensional	4
dilapidated	4
dike	4
dependable	4
demanding	4
damaging	4
culturable	4
crisis	4
cool	4
consultant	4
complimentary	4
commitment	4
comfortable	4
chargeable	4
cependant	4
cartographic	4
cambodian	4
caadp	4
by-	4
bureaux	4
assistant	4
approved	4
anthropogenic	4
angolan	4
amerindian	4
agroforestry	4
advance	4
admissible	4
adf-15	4
acronyms	4
5th	4
31-déc.-19	4
20th	4
14-dec-2016	4
yielding	3
worrying	3
worrisome	3
vigorous	3
varietal	3
validated	3
useable	3
usable	3
uruguayan	3
uptake	3
updated	3
unrestricted	3
unresolved	3
unrealized	3
unprocessed	3
unorganized	3
unofficial	3
unnecessary	3
uninterrupted	3
uninhabited	3
uniform	3
unhealthy	3
unfair	3
unexpected	3
undeveloped	3
understaffed	3
underrepresented	3
underemployed	3
under-	3
under	3
uncultivated	3
unconditional	3
unbalanced	3
unato	3
unanticipated	3
ucg&mifa	3
uali	3
triennial	3
transitory	3
tiered	3
therapeutic	3
terrorist	3
sudden	3
sudanese	3
subprefectural	3
subdued	3
stark	3
spectacular	3
specified	3
somali	3
slmp-2	3
skewed	3
silvicultural	3
sical	3
shortest	3
shaded	3
settlement	3
serviced	3
senegal	3
segregated	3
scheduled	3
salt	3
sadfons	3
sacred	3
sable	3
rigid	3
rice	3
respiratory	3
resourced	3
reputational	3
reputable	3
registered	3
refresher	3
reflective	3
refiere	3
recreational	3
recourse	3
rare	3
rant	3
radical	3
questionable	3
pôle	3
profit	3
profile	3
production	3
processed	3
probable	3
privileged	3
prioritized	3
pressurized	3
première	3
premium	3
predetermined	3
portuguese	3
populous	3
polished	3
phyto	3
peri-	3
pedagogical	3
paved	3
participative	3
pari	3
pagpa	3
overwhelming	3
overseas	3
outward	3
outflow	3
outer	3
oriental	3
organisées	3
organised	3
optic	3
off	3
oceanic	3
objectivement	3
obese	3
nutrient	3
novel	3
noted	3
nonexistent	3
nitrous	3
nerica	3
neighboring	3
nearshore	3
naturalized	3
n	3
movable	3
mono	3
monitoring-	3
modular	3
mindful	3
mild	3
migratory	3
microcredit	3
methods	3
mere	3
mental	3
melaky	3
mature	3
manière	3
management	3
malnourished	3
lost	3
loose	3
literate	3
linear	3
liable	3
legume	3
large-	3
landed	3
lagging	3
karst	3
italian	3
invaluable	3
intra-	3
intertwined	3
intermediary	3
intergovernmental	3
interesting	3
intercultural	3
intellectual	3
institutionalized	3
ineral	3
indoor	3
individuellement	3
incubation	3
inclut	3
imminent	3
imbalanced	3
illiteracy	3
illicit	3
ill	3
hydrographic	3
hilly	3
hierarchical	3
healthier	3
harvesting	3
harsher	3
harder	3
government	3
governanced.	3
gender-	3
frozen	3
fraudulent	3
foundational	3
foremost	3
foregone	3
food	3
fixed	3
feasibility	3
farmed	3
far	3
factual	3
exposed	3
expired	3
exigible	3
exciting	3
emotional	3
elaborate	3
ecowas	3
durant	3
drudgery	3
donor	3
distortive	3
dewatering	3
designed	3
delete	3
degrading	3
deforested	3
decreased	3
deciduous	3
dakar	3
d''au	3
crédible	3
cross-	3
covered	3
coordinate	3
continual	3
constructive	3
considère	3
consensual	3
connected	3
concurrent	3
compétitive	3
comprenant	3
composite	3
compelling	3
collusive	3
coercive	3
coarse	3
cleaning	3
classified	3
classical	3
civic	3
cheap	3
chartered	3
causal	3
categoría	3
campesino	3
bénéficiant	3
bureaucratic	3
brown	3
bodied	3
blended	3
bituminous	3
bissau	3
biometric	3
biodegradable	3
bio	3
bank-	3
bale	3
back	3
awps	3
autorités	3
asymmetric	3
assured	3
ary	3
archaeological	3
approuvés	3
appreciable	3
anual	3
annualized	3
akin	3
agriculture-	3
agriculture	3
africa	3
affluent	3
affirmative	3
adressé	3
acteurs	3
achievable	3
accès	3
accredited	3
abrupt	3
9th	3
50x14	3
30-jan-19	3
3.2.6	3
11th	3
1.2.4	3
-government	3
-annual	3
économique	2
youthful	2
youngest	2
wrong	2
worthwhile	2
wise	2
well-	2
well	2
welcome	2
weakest	2
wastershed	2
warrantage	2
warm	2
wakay	2
vs.	2
volcanic	2
vitamin	2
visant	2
vietnamese	2
veterinarian	2
veritable	2
verified	2
utmost	2
utilizarán	2
utilizando	2
us26.2	2
uruguay	2
upscaling	2
uploaded	2
upgraded	2
upfront	2
up	2
unwanted	2
unused	2
unsuccessful	2
unstructured	2
unrealistic	2
unrealised	2
unquantifiable	2
unproductive	2
unpaved	2
unlocking	2
unlined	2
united	2
unintended	2
unfulfilled	2
unfriendly	2
undesirable	2
underutilized	2
undertake	2
unaffordable	2
turmeric	2
turkish	2
tshopo	2
triggered	2
triangular	2
transversal	2
transient	2
topographical	2
tier	2
thriving	2
threatening	2
thorny	2
teenage	2
tax	2
taux	2
tard	2
taiwanese	2
synonymous	2
synergistic	2
symptomatic	2
sygri	2
sustentable	2
surprising	2
suivant	2
suburban	2
subtotal	2
subordinate	2
strengthenthe	2
stored	2
storage	2
stigmatization	2
static	2
starchy	2
spécialisées	2
sporadic	2
speedy	2
sparse	2
soviet	2
sostenible	2
sonibank	2
soluble	2
soient	2
societe	2
size	2
situational	2
situ	2
sighted	2
sierra	2
sided	2
side	2
sheltered	2
sharpest	2
semen	2
selous	2
sedimentary	2
secured	2
secretariat	2
secret	2
sandy	2
saltwater	2
réseaux	2
réhabilitées	2
rural-	2
rugged	2
rplp	2
roundtable	2
rooted	2
rolling	2
ripple	2
ripe	2
restrictive	2
restored	2
resident	2
republican	2
replicable	2
renowned	2
rejuvenated	2
reinboursment	2
reimbursed	2
reformer	2
reef	2
reducción	2
recrutement	2
recognised	2
ranking	2
rainfed	2
pure	2
punjab	2
pula	2
prévoir	2
présenter	2
proxy	2
provenant	2
protect	2
proportional	2
promoted	2
prohibitive	2
program	2
proficient	2
procesamiento	2
principle	2
prescribed	2
presar	2
prepas	2
premature	2
predictive	2
precipitous	2
poverty	2
pour	2
potent	2
portant	2
portal	2
pooled	2
polythene	2
polluting	2
pluvial	2
plus	2
pluriannual	2
plateaux	2
pilot	2
pillar	2
pharmaceutical	2
petite	2
pesd	2
perpetual	2
performing	2
país	2
passu	2
parametric	2
painful	2
pader	2
oversized	2
overhead	2
outgrower	2
outgoing	2
ordinaire	2
optimise	2
opted	2
one-	2
onape	2
oldest	2
off-	2
occupied	2
oblast	2
objetivos	2
nuts	2
nutritive	2
nontraditional	2
noncommunicable	2
ninth	2
neonatal	2
neighbouring	2
negotiable	2
nautical	2
multifunctional	2
muddy	2
msme	2
moveable	2
motivated	2
morphological	2
moringa	2
moral	2
moist	2
modernised	2
missing	2
mismo	2
mise	2
miombo	2
mineral	2
mieux	2
midterm	2
micronutrient	2
microeconomic	2
microbiological	2
menées	2
mega	2
married	2
market-	2
macro-	2
los	2
longstanding	2
longest	2
longer-	2
lighter	2
licensed	2
leveraged	2
lendable	2
latent	2
lain	2
lacking	2
janvier	2
jamaican	2
iterative	2
itemized	2
isolationist	2
irrelevant	2
ips	2
investment-	2
invariable	2
intuitional	2
intertidal	2
intergenerational	2
interdisciplinary	2
interdependent	2
interdepartmental	2
intercropping	2
interconnected	2
intercommunal	2
intentional	2
integrative	2
intangible	2
intact	2
insured	2
insulated	2
institucional	2
instable	2
inshore	2
inorganic	2
inhospitable	2
infrast	2
infrared	2
inflow	2
inflationary	2
inferior	2
inexpensive	2
inexhaustible	2
industrialized	2
indurated	2
indiscriminate	2
independence	2
incumbent	2
incoming	2
income	2
inasmuch	2
inadvertent	2
inactive	2
imputed	2
impliquant	2
implement	2
illustrative	2
identifiable	2
hypothetical	2
hydrologic	2
human-	2
https://idbg.sharepoint.com/teams/ez-ha-lon/ha-l1107/_layouts/15/docidredir.aspx?id=ezshare-2047280280-6	2
https://idbg.sharepoint.com/teams/ez-ha-lon/ha-l1107/_layouts/15/docidredir.aspx?id=ezshare-2047280280-22	2
homogeneous	2
hitherto	2
himalayan	2
high-5	2
heaviest	2
heavier	2
hardy	2
handicapped	2
guyanese	2
growth	2
gold	2
glacial	2
geomorphological	2
generous	2
gambian	2
furthest	2
frica	2
freshwater	2
formidable	2
food-	2
financées	2
fierce	2
fictitious	2
favorisant	2
fatal	2
farmod	2
faisant	2
facilitative	2
faceted	2
extremist	2
explanatory	2
expandable	2
existence	2
exhausted	2
exemplary	2
exclusivamente	2
excluded	2
excluant	2
exch	2
evaluated	2
erstwhile	2
erosion	2
eroded	2
envisagé	2
environemntal	2
environ	2
entrenched	2
ensured	2
endowed	2
encroachment	2
empty	2
employable	2
emergent	2
embryonic	2
electromagnetic	2
egalitarian	2
effluent	2
efficiency	2
earthquake	2
e-	2
décent	2
dutch	2
durablement	2
dryland	2
doctoral	2
disturbing	2
distortionary	2
distorted	2
disposable	2
disponible	2
disorganized	2
dismal	2
disease-	2
discrete	2
disastrous	2
diplomatic	2
diligent	2
differential	2
diesel	2
diarrheal	2
devoted	2
development	2
determinant	2
destitute	2
destinés	2
descendant	2
depressed	2
demonstrative	2
delicate	2
deliberate	2
delayed	2
degenerated	2
defect	2
deberán	2
dead	2
daunting	2
damaged	2
dairy	2
cumulated	2
csos	2
créé	2
crop-	2
creek	2
creditworthiness	2
creative	2
covid	2
couvrant	2
courteous	2
counterpart	2
counter	2
corridor	2
correct	2
converged	2
controlled	2
controllable	2
contributory	2
contrary	2
contagious	2
consumable	2
construction	2
conjunctive	2
conjointe	2
congenial	2
conflict-	2
conductive	2
concretely	2
concessionary	2
conceivable	2
conant	2
compulsory	2
compound	2
componente	2
compile	2
compensatory	2
compact	2
community-	2
commendable	2
collateral	2
cognitive	2
cocoa-	2
closest	2
climactic	2
characteristic	2
changement	2
cent	2
ccafs	2
cautious	2
categorical	2
casual	2
capacity-	2
canadian	2
cameroonian	2
buoyant	2
broken	2
beze	2
beneficiary	2
beneficiaries/	2
base	2
barren	2
bank´s	2
bacteriological	2
backup	2
avoidable	2
audiovisual	2
associate	2
assigned	2
architectural	2
archeological	2
antimicrobial	2
anthropic	2
anida	2
andean	2
ancestral	2
alive	2
aligned	2
alien	2
alert	2
