noun	frequency
compliance	399
unit	398
entrepreneurship	398
reforms	397
outcomes	396
intervention	396
maintenance	395
enterprises	390
constraints	386
mechanism	382
funding	382
delivery	381
total	380
focus	375
demand	375
accounting	373
state	372
situation	369
role	368
description	365
animal	364
instruments	361
energy	359
strengthening	356
phase	354
labor	354
months	351
need	347
source	346
efficiency	345
contracts	343
schemes	341
education	341
standards	340
output	336
forest	336
seeds	332
exports	332
sources	331
n	331
export	331
category	330
beneficiary	328
result	327
initiatives	326
activity	326
trade	324
sites	322
appraisal	321
group	320
agency	320
disbursement	319
incomes	318
maize	316
oil	314
consultation	314
agencies	313
rates	312
criteria	311
competitiveness	311
force	309
grants	306
expenditure	306
selection	305
conservation	305
summary	301
vulnerability	299
subcomponent	298
capacities	298
bank	298
section	295
forests	294
communication	293
factors	292
borrower	292
day	291
cashew	291
evidence	289
protection	288
assets	288
interest	287
producer	286
degradation	286
cooperatives	286
baseline	286
hectares	285
authorities	285
case	284
price	283
field	282
losses	281
road	280
availability	280
providers	279
action	279
linkages	277
units	276
structure	276
percentage	275
r	274
inclusion	274
effectiveness	273
distribution	272
yields	269
men	269
decision	267
product	266
provisions	265
et	265
base	264
tools	262
farms	262
effects	262
charge	262
processes	260
portfolio	260
guidelines	260
crisis	260
ha	259
associations	259
involvement	258
collection	258
priorities	257
m	257
insecurity	257
habitats	257
strategies	255
disclosure	255
site	254
schedule	254
agreements	254
specialist	253
integration	253
vii	252
status	251
livelihood	251
l	251
job	251
introduction	251
rainfall	250
districts	249
aspects	249
stage	248
cash	247
industry	246
identification	246
consultations	245
members	244
counterpart	243
form	242
collaboration	242
awareness	241
iv	240
dissemination	240
fish	239
changes	239
generation	238
ownership	236
improvements	233
drought	233
partnerships	231
others	231
engagement	231
responsibility	230
children	230
transport	229
empowerment	229
consumption	229
completion	227
wheat	225
input	225
model	224
dialogue	224
waste	223
contract	223
techniques	222
no	222
commodities	222
share	221
response	220
missions	220
provinces	219
reference	218
name	217
contact	216
average	216
debt	214
acquisition	214
varieties	213
outcome	211
emissions	210
resettlement	209
exchange	209
commitment	209
tons	208
loss	207
i.	207
dam	207
platform	206
weather	205
operating	205
world	204
loans	202
commodity	202
surveys	201
allocation	201
processors	199
methods	199
fragility	199
events	199
return	198
pesticides	198
volume	197
tourism	197
scheme	197
regard	197
reform	196
expenditures	196
emergency	196
dans	196
banks	196
participatory	195
conflict	195
points	194
partnership	194
family	193
details	193
sanitation	192
opportunity	192
reporting	191
recommendation	190
dairy	190
coffee	190
guidance	188
revenue	187
nature	187
fund	187
example	187
entrepreneurs	187
pest	186
imports	186
consultants	186
rev.1	185
benefit	185
application	185
transfer	184
shocks	184
emphasis	184
programmes	183
gap	183
zones	182
regulations	182
pillar	182
method	182
diseases	182
co	182
currency	181
scope	180
recommendations	179
power	179
indicator	179
district	179
submission	178
organization	178
institution	178
administration	178
km	177
representatives	175
recovery	175
life	175
disease	175
rights	174
models	174
innovations	174
expansion	174
contingencies	174
type	173
range	173
days	173
populations	172
forestry	172
produce	171
network	171
innovation	171
expenses	171
centers	171
pmu	170
locations	168
insurance	168
fishing	166
statements	165
screening	165
responsibilities	165
approaches	165
erosion	164
taxes	163
solutions	163
b.	163
agribusiness	163
recruitment	162
problems	162
accounts	162
youths	161
survey	161
objective(s	161
mission	161
infrastructures	161
dams	161
targets	160
manner	160
goal	160
firms	160
smallholders	159
location	159
firm	159
entry	159
entities	159
tenure	158
property	158
poultry	158
horticulture	158
cultivation	158
subprojects	157
rationale	157
ministries	157
way	156
office	156
ears	156
audits	156
size	155
personnel	155
age	155
par	154
effect	154
consultant	154
attention	154
m&e	153
consolidation	153
cocoa	153
capita	153
zone	152
up	152
series	152
means	152
vegetables	151
rating	151
platforms	151
instrument	151
stakeholder	150
modernization	150
departments	150
users	149
states	149
payment	148
coverage	148
companies	148
businesses	148
milk	147
rules	146
importance	146
floods	146
point	145
g	145
committee	145
challenge	145
half	144
carbon	144
tax	143
practice	143
hectare	143
gdp	143
centres	143
season	142
literacy	142
gardening	142
flow	142
fertilizers	142
dollars	142
conflicts	142
agri	142
web	141
pollution	141
outputs	141
stability	139
gaps	139
bidding	139
alignment	139
pillars	138
meat	138
malnutrition	138
donors	138
unemployment	137
oversight	137
deficit	137
y	136
self	136
lending	136
verification	135
start	135
majority	135
census	135
s	134
millions	134
harvesting	134
ff	134
assessments	134
ability	134
scenario	133
principles	133
watersheds	132
incentives	132
electricity	132
delays	132
workers	131
success	131
biodiversity	131
ict	130
functions	130
characteristics	130
achievements	130
website	129
purpose	129
proposals	129
meetings	129
types	128
surface	128
organisations	128
mobilization	128
living	128
expertise	128
droughts	128
core	128
categories	128
lands	127
subsistence	126
operators	126
note	126
commercialization	126
software	125
society	125
purposes	125
pilot	125
options	125
gains	125
yield	124
revenues	124
river	123
experiences	123
decline	123
contracting	123
set	122
landscape	122
feed	122
enhancement	122
donor	122
achievement	122
signature	121
respect	121
materials	121
certification	121
payments	120
consideration	120
amounts	120
view	119
plant	119
f	119
expert	119
ecosystems	119
variability	117
treatment	117
officer	117
ea	117
proposal	116
learning	116
feasibility	116
cooperation	116
comments	116
precedent	115
contractors	115
weaknesses	114
subsidies	114
school	114
restoration	114
partner	114
disbursements	114
cases	114
campaigns	114
agribusinesses	114
sharing	113
proceeds	113
draft	113
decade	113
pressure	112
mechanization	112
law	112
goals	112
alternatives	112
village	111
ratio	111
flood	111
drivers	111
transparency	110
transition	110
persons	110
measure	110
cattle	110
aid	110
labour	109
drainage	109
condition	109
villages	108
receipt	108
child	108
transactions	107
spending	107
increases	107
fruit	107
balance	107
agenda	107
option	106
moa	106
fishery	106
considerations	106
basin	106
vehicles	105
statistics	105
ecosystem	105
values	104
schools	104
sales	104
request	104
governments	104
aim	104
manual	103
estimates	103
advantage	103
tonnes	102
sensitivity	102
quantity	102
proportion	102
presence	102
mining	102
making	102
fact	102
email	102
consulting	102
authority	102
tree	101
methodology	101
intensification	101
documentation	101
compensation	101
satisfaction	100
plantations	100
networks	100
guarantee	100
formulation	100
experts	100
contributions	100
suppliers	99
registration	99
cotton	99
committees	99
basins	99
workshops	98
specialists	98
problem	98
paragraph	98
list	98
fertilizer	98
concerns	98
rain	97
profitability	97
index	97
incidence	97
facilitation	97
eligibility	97
deforestation	97
viability	96
targeting	96
offices	96
female	96
entity	96
cycle	96
stages	95
segments	95
machinery	95
harvest	95
fertility	95
displacement	95
disaster	95
decades	95
links	94
discussions	94
traders	93
prosperity	93
pour	93
issue	93
enterprise	93
advance	93
x	92
vision	92
province	92
municipalities	92
import	92
figure	92
canals	92
bodies	92
flows	91
effort	91
disasters	91
accountability	91
wealth	90
warehouses	90
reasons	90
families	90
de	90
counties	90
budgets	90
representative	89
parent	89
economies	89
cassava	89
aquaculture	89
parts	88
palm	88
negotiations	88
incubation	88
evaluations	88
transportation	87
times	87
species	87
prevention	87
parties	87
legislation	87
inflation	87
coordinator	87
catchment	87
leadership	86
inequality	86
fruits	86
equity	86
equality	86
concept	86
badf	86
title	85
synergies	85
sections	85
borrower(s	85
assumptions	85
subsector	84
quarter	84
outreach	84
logistics	84
groundwater	84
cover	84
center	84
visits	83
vegetable	83
teams	83
nuts	83
laboratories	83
transaction	82
stock	82
roles	82
migration	82
facility	82
event	82
designs	82
demonstration	82
violence	81
surveillance	81
stations	81
packages	81
net	81
material	81
difficulties	81
controls	81
buyers	81
h	80
fee	80
factor	80
duties	80
degree	80
conversion	80
w	79
investors	79
individuals	79
existence	79
decisions	79
banking	79
absence	79
territory	78
tanks	78
structuring	78
space	78
side	78
regularization	78
medium	78
initiative	78
relationship	77
inspection	77
decrease	77
conduct	77
agents	77
sorghum	76
purchase	76
findings	76
extent	76
database	76
adult	76
update	75
laws	75
industries	75
engineering	75
citizen	75
canal	75
accountant	75
z	74
peace	74
laboratory	74
kind	74
ground	74
disparities	74
cereals	74
beans	74
✖	73
salaries	73
rmcs	73
refugees	73
patterns	73
packaging	73
mainstreaming	73
kg	73
installation	73
hazards	73
girls	73
gas	73
flooding	73
fishers	73
combination	73
qualifications	72
lowlands	72
it	72
instance	72
formation	72
diversity	72
commitments	72
clusters	72
aggregation	72
validation	71
tasks	71
salient	71
organisation	71
lead	71
harmonization	71
drop	71
cereal	71
viii	70
tool	70
package	70
leader(s	70
intensity	70
workshop	69
window	69
vegetation	69
trend	69
matrix	69
lines	69
landscapes	69
hygiene	69
frameworks	69
officers	68
mandate	68
hand	68
competition	68
centre	68
agro-	68
shift	67
score	67
language	67
inequalities	67
handling	67
fulfilment	67
corruption	67
calendar	67
adf	67
wildlife	66
version	66
requests	66
elements	66
drinking	66
content	66
body	66
barriers	66
subsectors	65
resolution	65
modules	65
items	65
inhabitants	65
future	65
function	65
financier	65
dimension	65
crises	65
code	65
testing	64
relation	64
peoples	64
parks	64
officials	64
member	64
gestion	64
fuel	64
fees	64
connectivity	64
breeding	64
thousands	63
position	63
plots	63
pace	63
month	63
letter	63
graduates	63
esmp	63
deployment	63
culture	63
concern	63
arrangement	63
agricoles	63
smes	62
matching	62
dimensions	62
decree	62
cohesion	62
auditor	62
applications	62
turn	61
trends	61
signing	61
regulation	61
records	61
reconstruction	61
frequency	61
exposure	61
earnings	61
client	61
channels	61
analyses	61
withdrawal	60
trees	60
steering	60
opening	60
hubs	60
grain	60
fields	60
department	60
workforce	59
ways	59
transfers	59
technique	59
soils	59
public	59
participants	59
objection	59
#	59
thanks	58
tfps	58
temperatures	58
sensitization	58
savings	58
requirement	58
precipitation	58
plants	58
person	58
meeting	58
maturity	58
instability	58
feeder	58
definition	58
consultancy	58
chance	58
beef	58
rivers	57
reserves	57
potato	57
grace	57
emergence	57
copy	57
asset	57
ages	57
principle	56
post	56
north	56
modalities	56
male	56
km²	56
foundation	56
driver	56
complementarity	56
capture	56
utilization	55
substance	55
prevalence	55
husbandry	55
greenhouse	55
forms	55
animals	55
accord	55
waterways	54
wastewater	54
variety	54
trainings	54
track	54
temperature	54
scarcity	54
reviews	54
relevance	54
possibility	54
phases	54
ix	54
grievance	54
transmission	53
subsidy	53
rise	53
restrictions	53
reforestation	53
q	53
planting	53
mobilisation	53
hub	53
exploitation	53
eb	53
cross	53
closing	53
afdb	53
advances	53
upgrading	52
pandemic	52
mortality	52
magnitude	52
insecure	52
disposal	52
communes	52
choice	52
alliances	52
sessions	51
returns	51
raps	51
projections	51
procurements	51
procedure	51
pectancy	51
past	51
party	51
park	51
midterm	51
manufacturing	51
mail	51
launch	51
follow	51
duration	51
diligence	51
developments	51
classification	51
behalf	51
whole	50
welfare	50
thrust	50
spread	50
rest	50
recipient	50
re	50
programming	50
portion	50
light	50
home	50
foods	50
deterioration	50
composition	50
wage	49
tank	49
sex	49
prospects	49
prioritization	49
pm	49
pasture	49
multiplication	49
limitations	49
feedback	49
exception	49
directors	49
direction	49
company	49
annum	49
agricole	49
working	48
understanding	48
threshold	48
tables	48
steps	48
solution	48
situations	48
pests	48
ones	48
margin	48
link	48
frame	48
flagship	48
failures	48
cities	48
care	48
budgeting	48
breeds	48
synergy	47
sont	47
remittances	47
protocols	47
numbers	47
likelihood	47
length	47
fodder	47
employability	47
dps	47
customs	47
boreholes	47
swamp	46
seasons	46
ruminants	46
redress	46
recession	46
r&d	46
pesticide	46
kits	46
grains	46
filières	46
border	46
yes	45
user	45
suspension	45
retention	45
psc	45
profile	45
mobility	45
menu	45
incentive	45
dependence	45
density	45
commencement	45
bottlenecks	45
agro	45
tracks	44
timing	44
technicians	44
supplies	44
sufficiency	44
staffing	44
specifications	44
rejection	44
p_ta	44
operationalization	44
manuals	44
hunger	44
esmps	44
drip	44
consumer	44
campaign	44
accessibility	44
stress	43
setting	43
sea	43
positions	43
periods	43
millet	43
membership	43
growers	43
equivalent	43
detail	43
bill	43
agroforestry	43
’s	42
warrantage	42
voucher	42
substitution	42
sequestration	42
quantities	42
pounds	42
observations	42
matters	42
industrialization	42
implications	42
groundnuts	42
course	42
county	42
constraint	42
borders	42
air	42
agrochemicals	42
wells	41
vulnerabilities	41
volatility	41
traceability	41
threats	41
task	41
subcomponents	41
raising	41
preservation	41
parameters	41
paddy	41
one	41
manager	41
leaders	41
immunization	41
enforcement	41
concentration	41
computer	41
chemicals	41
capabilities	41
association	41
adjustments	41
warning	40
waiver	40
sugar	40
registry	40
money	40
mm	40
financiers	40
financement	40
features	40
failure	40
exclusion	40
dependency	40
demands	40
damage	40
urbanization	39
third	39
themes	39
scenarios	39
productions	39
ponds	39
perspective	39
obligations	39
newfinen	39
ménages	39
migrants	39
indirect	39
independence	39
head	39
gate	39
figures	39
fall	39
escalation	39
board	39
annuels	39
acronyms	39
acres	39
warehouse	38
war	38
today	38
seront	38
senacsa	38
reimbursement	38
regards	38
rcfis	38
pumping	38
publication	38
players	38
para	38
orientation	38
notification	38
movement	38
mechanisation	38
measurement	38
mapping	38
leader	38
inventory	38
incubators	38
gom	38
elections	38
del	38
cycles	38
composante	38
complies	38
communications	38
causes	38
auditing	38
•	37
vouchers	37
travers	37
trading	37
slopes	37
relationships	37
profiles	37
principal	37
pos	37
pastoralists	37
outbreak	37
micro	37
lives	37
linkage	37
landslides	37
guarantees	37
grazing	37
face	37
difference	37
connection	37
évaluation	36
tensions	36
stocks	36
restructuring	36
reliability	36
reason	36
questions	36
proximity	36
pressures	36
potatoes	36
pipeline	36
perimeters	36
estimate	36
drying	36
damages	36
continent	36
consumers	36
comparison	36
burden	36
breakdown	36
appointment	36
alence	36
wetlands	35
timeframe	35
stores	35
shortages	35
shortage	35
shops	35
rubber	35
right	35
presentation	35
path	35
none	35
meters	35
mariculture	35
heads	35
gravity	35
garden	35
finances	35
feeding	35
exercise	35
destruction	35
class	35
charges	35
auditors	35
advantages	35
washing	34
tuna	34
trust	34
ton	34
thirds	34
standard	34
sheep	34
sert	34
sera	34
sale	34
rule	34
restriction	34
reservoir	34
release	34
norms	34
lick	34
intermediaries	34
help	34
goats	34
functioning	34
forage	34
flexibility	34
ere	34
enrolment	34
courses	34
call	34
bridges	34
bds	34
wood	33
watershed	33
volumes	33
visit	33
uptake	33
tel	33
statement	33
soybean	33
record	33
preparedness	33
ppp	33
pfis	33
nation	33
minimum	33
justice	33
internet	33
interaction	33
institutes	33
incorporation	33
gardens	33
files	33
dust	33
du	33
councils	33
corridor	33
contents	33
consequences	33
aggregators	33
texts	32
silos	32
representation	32
reliance	32
provider	32
prosap	32
noise	32
k	32
iron	32
duty	32
diet	32
convergence	32
complaints	32
capitalization	32
bid	32
allowances	32
workload	31
supports	31
subproject	31
stabilization	31
south	31
shopping	31
shock	31
sample	31
pulses	31
personnes	31
obstacles	31
ministry	31
mile	31
maps	31
feet	31
employees	31
directorates	31
deficits	31
corridors	31
continuity	31
consistency	31
consensus	31
complexity	31
clients	31
cfaf	31
beginning	31
advice	31
adults	31
trainers	30
thresholds	30
subject	30
strategic	30
rural	30
rains	30
profits	30
preference	30
poles	30
pastures	30
owners	30
municipios	30
merchants	30
liquidity	30
islands	30
interests	30
influence	30
host	30
farmland	30
exporters	30
directions	30
difficulty	30
decentralization	30
contributor	30
consultancies	30
collateral	30
citizens	30
autonomy	30
assistants	30
assistant	30
address	30
xdr	29
usage	29
run	29
reservoirs	29
repayment	29
relations	29
regime	29
purchasing	29
pumps	29
proyecto	29
professionals	29
parallel	29
origin	29
neighboring	29
moins	29
media	29
master	29
managers	29
justification	29
influx	29
in	29
gates	29
footprint	29
following	29
externalities	29
emission	29
dynamics	29
differences	29
depth	29
copies	29
conjunction	29
clauses	29
chemical	29
bulk	29
annexes	29
weakness	28
watercourses	28
unions	28
uncertainty	28
ua	28
thrusts	28
tests	28
sylvo	28
students	28
sheet	28
sets	28
seedlings	28
satellite	28
port	28
peri	28
off	28
nut	28
monsoon	28
map	28
habitat	28
engine	28
emergencies	28
disputes	28
diagnosis	28
counterparts	28
cc	28
buildings	28
borrowers	28
being	28
assumption	28
allocations	28
alliance	28
alleviation	28
afforestation	28
travel	27
trades	27
tours	27
steel	27
pius	27
parity	27
onions	27
olive	27
nutrient	27
nets	27
mineral	27
makers	27
localities	27
io	27
inclusiveness	27
goat	27
foundations	27
exceptions	27
environments	27
démarrage	27
contamination	27
consent	27
cause	27
authorization	27
annex	27
accountabilities	27
abbreviations	27
withdrawals	26
wastes	26
wages	26
vi	26
tractors	26
towns	26
things	26
step	26
reserve	26
r.23	26
properties	26
places	26
outbreaks	26
opinion	26
obligation	26
holder	26
fonds	26
exporter	26
exit	26
economic	26
dispositions	26
diets	26
demonstrations	26
command	26
boundaries	26
alternative	26
titles	25
takers	25
sum	25
streams	25
shortcomings	25
shareholders	25
segment	25
revision	25
responses	25
relocation	25
relief	25
recognition	25
purchases	25
proof	25
pricing	25
premises	25
penditure	25
partenaires	25
paps	25
paper	25
moisture	25
module	25
l’exécution	25
lbs	25
ion	25
holdings	25
headcount	25
harnessing	25
euros	25
discussion	25
discrimination	25
continuation	25
conclusion	25
complementarities	25
closure	25
clearing	25
cadre	25
cadastre	25
based	25
advisory	25
accreditation	25
accession	25
28th	25
woman	24
well	24
través	24
sps	24
shares	24
sensitisation	24
pop	24
petits	24
pathway	24
organizaciones	24
nurseries	24
municipality	24
modalités	24
maximum	24
mangroves	24
km2	24
inch	24
hydropower	24
herders	24
furniture	24
element	24
dollar	24
directorate	24
concertation	24
clearance	24
city	24
choices	24
certificates	24
bénéficiaires	24
branches	24
birth	24
bean	24
banana	24
apprenticeship	24
wuas	23
words	23
vehicle	23
variations	23
undernourishment	23
tracking	23
sicians	23
settlement	23
revitalization	23
republic	23
replacement	23
repair	23
professionalization	23
prestataires	23
pole	23
overview	23
outlook	23
notes	23
mass	23
liaison	23
island	23
incubator	23
how	23
hiring	23
gold	23
gni	23
generating	23
fos	23
fire	23
fertilisers	23
exodus	23
elop	23
disruption	23
dispute	23
degrees	23
corn	23
competencies	23
chart	23
charcoal	23
calls	23
augmentation	23
	22
variables	22
uses	22
tranches	22
tonne	22
threat	22
suit	22
station	22
specificities	22
significance	22
science	22
saus	22
runoff	22
root	22
pr	22
pigs	22
pdo	22
p.15	22
p.12	22
minority	22
mandates	22
lake	22
inflow	22
history	22
fragmentation	22
forecasting	22
fight	22
exemption	22
exchanges	22
ent	22
branch	22
block	22
biomass	22
award	22
1st	22
universities	21
traffic	21
tors	21
their	21
supplier	21
sense	21
residents	21
regimes	21
regeneration	21
probability	21
premium	21
plot	21
plantation	21
plains	21
piles	21
p161876	21
p.9	21
p.37	21
p.19	21
p.18	21
labelling	21
kilometres	21
interactions	21
housing	21
guide	21
grower	21
groupements	21
forums	21
finds	21
establishments	21
d’ivoire	21
dispatch	21
discount	21
deficiencies	21
cropping	21
covid-19	21
conventions	21
confidence	21
commercialisation	21
cluster	21
circumstances	21
c.	21
background	21
artisans	21
acceleration	21
°	20
woredas	20
windows	20
weight	20
waters	20
sugarcane	20
storms	20
skill	20
salt	20
reductions	20
recipients	20
ranking	20
qualification	20
projet	20
powers	20
potentials	20
pattern	20
p2rs	20
orientations	20
mfis	20
intake	20
inability	20
heritage	20
height	20
fulfillment	20
fiduciaire	20
expectations	20
examples	20
engineer	20
eia	20
composantes	20
certainty	20
capability	20
calculations	20
agropoles	20
advancement	20
administrator	20
acceptance	20
2018/124	20
2015/115	20
weirs	19
visibility	19
vaccination	19
v.	19
ups	19
toutes	19
topics	19
test	19
telecommunications	19
teachers	19
subsystems	19
son	19
shifts	19
sand	19
rows	19
renforcement	19
relatives	19
reach	19
rangeland	19
radio	19
qui	19
prêt	19
produits	19
pourcentage	19
pig	19
pceu	19
parcels	19
p158810	19
p158364	19
na	19
modernisation	19
mix	19
methodologies	19
manure	19
m.	19
know	19
integrity	19
icas	19
hours	19
highlands	19
formations	19
flour	19
ex	19
entreprises	19
elimination	19
eggs	19
discharges	19
delay	19
default	19
d''activités	19
crime	19
contrats	19
consequence	19
close	19
chicken	19
breeder	19
b1	19
assurance	19
advocacy	19
à	18
websites	18
updating	18
umbrella	18
tomato	18
titling	18
timeliness	18
teaching	18
tea	18
tasu	18
tariff	18
tadb	18
sprinkler	18
spillway	18
smis	18
slowdown	18
secretariat	18
scaling	18
room	18
resistance	18
rehabilitating	18
realization	18
readiness	18
promoters	18
profit	18
perception	18
panel	18
outlets	18
operator	18
networking	18
msmes	18
mountain	18
modification	18
margins	18
lowland	18
licensing	18
kernels	18
item	18
issuance	18
importation	18
implementers	18
idps	18
house	18
holders	18
herd	18
heat	18
hardware	18
hardship	18
générales	18
grounds	18
grading	18
forecast	18
fluctuations	18
fins	18
ffs	18
exemptions	18
engineers	18
developers	18
desertification	18
dealers	18
datasheet	18
credits	18
contingency	18
coast	18
canteens	18
ca	18
buyer	18
borrowing	18
blocks	18
approvals	18
amendments	18
alia	18
agripreneurs	18
addresses	18
acronym	18
abcs	18
win	17
west	17
wellbeing	17
utility	17
theory	17
surplus	17
successor	17
stunting	17
stockage	17
standpoint	17
spillover	17
soy	17
senasag	17
sediment	17
search	17
seafood	17
revival	17
researchers	17
reintegration	17
refugee	17
prodaf	17
pm_d	17
pc	17
paragraphs	17
pa	17
p173104	17
p155968	17
p.7	17
operationalisation	17
onset	17
non	17
matter	17
logic	17
limit	17
incidences	17
inception	17
hhs	17
gou	17
format	17
fishermen	17
extraction	17
executive	17
exch	17
eradication	17
employer	17
edition	17
east	17
d’affectation	17
divisions	17
diffusion	17
diagnostic	17
determination	17
desert	17
deposits	17
depletion	17
cowpeas	17
coefficient	17
carrying	17
boys	17
backdrop	17
b7	17
awpbs	17
asdu	17
arrears	17
3.2.4	17
/p.1	17
workplan	16
worker	16
wetland	16
views	16
upgrades	16
tune	16
tributaries	16
transporters	16
timber	16
tariffs	16
stream	16
spite	16
spices	16
spells	16
signs	16
sgg	16
será	16
roots	16
responsiveness	16
residues	16
remittance	16
reef	16
rangelands	16
quarters	16
projection	16
prerequisite	16
pre	16
pmps	16
pcs	16
p164448	16
p.16	16
negotiation	16
momentum	16
mills	16
mid-	16
microenterprises	16
machines	16
m3	16
langue	16
key	16
isolation	16
iscl	16
investor	16
intelligence	16
human	16
houses	16
horizon	16
holding	16
headquarters	16
grass	16
freshwater	16
forecasts	16
finalizar	16
filing	16
femmes	16
females	16
fabric	16
expense	16
expectancy	16
etc	16
epidemic	16
eigs	16
drafting	16
dlis	16
diversion	16
distress	16
director	16
decrees	16
constitution	16
como	16
censuses	16
cancellation	16
boom	16
boats	16
bananas	16
año	16
attractiveness	16
aspect	16
art	16
amendment	16
activités	16
1990s	16
.1	16
wind	15
wholesalers	15
variation	15
updates	15
university	15
transhumance	15
tranche	15
topography	15
strengths	15
stoves	15
spectrum	15
slmp-2	15
severity	15
sedimentation	15
rotation	15
rlrcp	15
riparians	15
rims	15
retailers	15
recording	15
recharge	15
receipts	15
reality	15
realities	15
ratings	15
rant	15
r_tab	15
protocol	15
pom	15
percentages	15
peak	15
pathways	15
p167634	15
p166222	15
p.25	15
offs	15
obstacle	15
movements	15
modality	15
minorities	15
locust	15
locales	15
lenders	15
legal	15
lakes	15
intrants	15
intention	15
hoa	15
hills	15
gps	15
functionality	15
fuelwood	15
fortification	15
formats	15
federations	15
drawing	15
division	15
discharge	15
depreciation	15
deposit	15
deaths	15
customers	15
criterion	15
contrast	15
connections	15
conformity	15
conclusions	15
combat	15
catchments	15
candidates	15
bunds	15
backbone	15
b2	15
aversion	15
autres	15
amortization	15
adjustment	15
adherence	15
|	14
y1	14
winds	14
willingness	14
wards	14
ventures	14
upstream	14
upgrade	14
uncertainties	14
tubers	14
train	14
tout	14
tomatoes	14
tolerant	14
tillage	14
telephone	14
sélection	14
siltation	14
shortlist	14
settlements	14
sensing	14
samples	14
région	14
rmses	14
responsabilités	14
représentants	14
removal	14
reinforcement	14
ratification	14
quintile	14
proxy	14
privatization	14
present	14
ppps	14
pockets	14
pineapple	14
penetration	14
peer	14
paradigm	14
p175588	14
p170283	14
outflow	14
onion	14
objectifs	14
neighbouring	14
mountains	14
modifications	14
microfinance	14
medium-	14
maldives	14
l’équipe	14
limits	14
leasing	14
keeping	14
interagency	14
inflows	14
incorporate	14
imbalances	14
ideas	14
hinterland	14
herbicides	14
heart	14
fly	14
favour	14
fairs	14
factories	14
exprimé	14
excavation	14
etds	14
esia	14
endowment	14
edge	14
eco	14
earth	14
duplication	14
disruptions	14
displacements	14
dfis	14
declaration	14
deadline	14
custom	14
culverts	14
crest	14
con	14
coastline	14
chargé	14
cargo	14
cane	14
calculation	14
brucellosis	14
bridge	14
bet	14
averages	14
avec	14
attainment	14
article	14
architecture	14
approx	14
altitude	14
aims	14
agrifood	14
adequacy	14
acquisitions	14
abundance	14
aas	14
5s	14
▪	13
œuvre	13
également	13
vérification	13
vcs	13
turnover	13
toute	13
tobacco	13
timeframes	13
territories	13
tender	13
siting	13
simulations	13
shop	13
servicios	13
schooling	13
saving	13
routes	13
rooms	13
resolutions	13
renforcer	13
reconciliation	13
reallocation	13
rapports	13
ransport	13
racks	13
question	13
que	13
posts	13
planes	13
pi	13
