corpus,smallholder,^small\Wfarm,^small\Wholder,^small\Wproduce,^small\Wscale,^smaller\Wscale,^small\Wand\Wmedium
author_WORLD-BANK-2018,11.99,0.73,0.18,0.18,9.23,0.0,1.66
author_WORLD-BANK-2019,9.59,1.47,1.29,1.1,8.12,0.0,5.53
author_WORLD-BANK-2020,0.73,0.18,0.0,0.36,2.39,0.0,1.1
author_WORLD-BANK-2021,2.03,0.18,0.0,0.18,1.66,0.0,0.73
date_2015-Africa,29.16,0.36,0.55,0.18,5.35,0.0,1.1
date_2015-Asia,22.15,0.55,0.0,0.18,1.29,0.0,1.1
date_2015-Latin-America-and-Caribbean,4.61,0.73,0.18,2.95,1.29,0.0,2.03
date_2015-Middle-East,1.1,0.73,0.0,0.0,0.18,0.0,0.0
date_2016-Africa,27.69,0.92,0.36,0.0,6.64,0.0,1.47
date_2016-Asia,8.67,1.29,0.18,0.0,1.66,0.0,1.29
date_2016-Latin-America-and-Caribbean,6.09,0.73,0.0,0.73,0.92,0.0,2.58
date_2016-Middle-East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date_2017-Africa,23.44,1.47,1.29,0.55,9.96,0.0,3.32
date_2017-Asia,6.46,1.66,0.36,0.18,3.5,0.0,0.55
date_2017-Latin-America-and-Caribbean,3.13,2.03,0.0,1.47,2.03,0.0,2.21
date_2017-Middle-East,1.84,0.18,0.0,0.0,0.18,0.0,0.0
date_2018-Africa,19.38,2.21,0.18,0.55,7.56,0.0,2.03
date_2018-Asia,5.9,0.92,0.18,0.18,3.32,0.0,0.92
date_2018-Latin-America-and-Caribbean,0.0,2.58,0.0,0.36,1.47,0.92,1.66
date_2018-Middle-East,0.0,0.0,0.0,0.0,0.55,0.0,0.18
date_2019-Africa,7.01,0.92,0.73,2.95,6.64,0.0,7.93
date_2019-Asia,2.03,0.73,0.55,0.73,1.66,0.0,3.69
date_2019-Latin-America-and-Caribbean,0.92,0.36,0.0,0.0,1.1,0.0,0.36
date_2019-Middle-East,1.47,0.55,0.0,0.0,0.0,0.0,0.18
date_2020-Africa,1.29,0.36,0.0,0.0,2.58,0.0,0.55
date_2020-Asia,0.0,0.18,0.0,0.18,1.47,0.0,0.0
date_2020-Latin-America-and-Caribbean,0.0,0.0,0.0,0.18,0.18,0.0,0.55
date_2020-Middle-East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date_2021-Africa,8.12,0.18,0.0,0.18,0.55,0.0,1.1
date_2021-Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date_2021-Latin-America-and-Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date_2021-Middle-East,0.36,0.0,0.0,0.0,1.1,0.0,0.0
region_Africa-AFDB,26.84,4.2,1.16,3.5,6.3,0.0,11.2
region_Africa-ASDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Africa-IDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Africa-IFAD,111.04,0.0,0.0,1.23,20.97,0.0,4.52
region_Africa-WORLD-BANK,45.04,3.13,2.21,1.1,24.92,0.0,6.64
region_Asia-AFDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Asia-ASDB,0.79,3.19,0.0,0.0,2.39,0.0,0.0
region_Asia-IDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Asia-IFAD,64.57,3.29,0.0,0.41,4.11,0.0,2.05
region_Asia-WORLD-BANK,16.06,3.13,1.29,1.29,10.52,0.0,6.64
region_Latin-America-and-Caribbean-AFDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Latin-America-and-Caribbean-ASDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Latin-America-and-Caribbean-IDB,7.19,19.19,0.0,21.59,11.99,5.99,29.99
region_Latin-America-and-Caribbean-IFAD,23.44,1.64,0.41,0.82,2.46,0.0,0.82
region_Latin-America-and-Caribbean-WORLD-BANK,3.13,2.76,0.0,2.03,4.06,0.0,4.43
region_Middle-East-AFDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Middle-East-ASDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Middle-East-IDB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region_Middle-East-IFAD,6.58,2.05,0.0,0.0,0.41,0.0,0.0
region_Middle-East-WORLD-BANK,1.84,0.55,0.0,0.0,1.84,0.0,0.36
