author,country,region,date,finance,title,file
World Bank,Morocco,Africa,2015,150,Ma-large Scale Irrigation Modernization Project,WB83.txt
World Bank,Senegal,Africa,2019,150,Groundnut Competitiveness And Agriculture Diversification Program For Results,WB87.txt
World Bank,Malawi,Africa,2019,120,Malawi Resilient Productive Landscapes Project,WB89.txt
World Bank,Uganda,Africa,2019,195,Uganda Irrigation Development And Climate Resilience Project,WB91.txt
World Bank,Ethiopia,Africa,2017,150,Livestock And Fisheries Sector Development Project,WB92.txt
World Bank,African States,Africa,2019,165,Lake Chad Region Recovery And Development Project,WB93.txt
World Bank,Nigeria,Africa,2020,176,Additional Financing For Mcrp,WB96.txt
World Bank,Benin,Africa,2018,60,Second Fiscal Reform And Growth Dpf,WB98.txt
World Bank,Kenya,Africa,2016,200,National Agricultural And Rural Inclusive Growth Project,WB99.txt
World Bank,Cote d'Ivoire,Africa,2017,175,Cashew Value-chain Competitiveness Project,WB101.txt
World Bank,Nigeria,Africa,2017,100,Nigeria Staple Crop Processing Zones Support Project,WB102.txt
World Bank,Cameroon,Africa,2019,200,Valorization Of Investments In The Valley Of The Benue,WB104.txt
World Bank,Burkina Faso,Africa,2019,200,Burkina Faso Agriculture Resilience And Competitiveness Project,WB105.txt
World Bank,Kenya,Africa,2017,250,Kenya Climate Smart Agriculture Project,WB107.txt
World Bank,Morocco,Africa,2020,200,Morocco Digital And Climate Smart Agriculture Program,WB109.txt
World Bank,Ethiopia,Africa,2015,350,Second Agricultural Growth Project,WB113.txt
World Bank,Ethiopia,Africa,2019,400,Livelihoods Resilience And Commercialization Project (lrcp) In Pastoral And Agro- Pastoral Areas,WB114.txt
World Bank,Ethiopia,Africa,2017,1300,Enhancing Shared Prosperity Through Equitable Services,WB121.txt
World Bank,Nigeria,Africa,2020,750,Nigeria: Covid-19 Action Recovery And Economic Stimulus,WB122.txt
AfDB,Liberia,Africa,2021,25.69,Smallholder Agriculture Development For Food And Nutrition Security,AF1.txt
AfDB,Angola,Africa,2017,101.07,Cabinda Province Agriculture Value Chains Development Project,AF2.txt
AfDB,Sudan,Africa,2018,5.8,Agricultural Value Chain Development Project,AF3.txt
AfDB,Benin,Africa,2019,18.1,Cashew Nuts Sector And Agricultural Entrepreneurship Development Support Project,AF4.txt
AfDB,Burkina Faso,Africa,2018,10.42,Support Project For Establishing An Agribusiness Bank,AF5.txt
AfDB,Burundi,Africa,2020,13,Agriculture And Livestock Value Chains Sustainable Development Support Project,AF6.txt
AfDB,Burundi,Africa,2017,16.68,Support To Agriculture Transformation In The Bugesera Natural Region Project,AF7.txt
AfDB,Chad,Africa,2018,15,Project To Build Resilience For Food Security And Nutrition In Chad’s Rural Communities,AF9.txt
AfDB,"Congo, Republic of",Africa,2019,83.7,Integrated Agricultural Value Chains Development Project,AF10.txt
AfDB,Cote d'Ivoire,Africa,2017,111.86,Belier Region Agro-industrial Pole Project,AF12.txt
AfDB,"Congo, Democratic Republic of",Africa,2019,28,Project To Support The Development Of Agricultural Value Chains In Six Provinces In Drc,AF13.txt
AfDB,"Congo, Democratic Republic of",Africa,2019,58.8,Rural Economy Integrated Development Support Project,AF14.txt
AfDB,Tanzania,Africa,2018,52,"Marketing Infrastructure, Value Addition And Rural Finance Support Programme",AF15.txt
AfDB,Sierra Leone,Africa,2019,11.2,Agribusiness And Rice Value Chain Support,AF16.txt
AfDB,Ghana,Africa,2017,39,Savannah Zone Agricultural Productivity Improvement Project,AF20.txt
AfDB,Ghana,Africa,2018,63.25,Incentive-based Risk-sharing System For Agricultural Lending Project,AF21.txt
AfDB,Guinea,Africa,2018,11,Support Project For The Transformation Of Guinean Agriculture And Youth Agricultural Entrepreneurship,AF22.txt
AfDB,Guinea-Bissau,Africa,2019,13.4,"Value Chains, Agricultural And Rural Entrepreneurship Support Project",AF23.txt
AfDB,Guinea,Africa,2019,13.4,Special Agro-industrial Processing Zones Development Programme,AF24.txt
AfDB,Guinea-Bissau,Africa,2017,5.88,Rice Value Chain Development Project In The Bafata And Oio Regions,AF25.txt
AfDB,Malawi,Africa,2016,22.4,Agricultural Infrastructure And Youth In Agribusiness Project,AF26.txt
AfDB,Mali,Africa,2019,18.34,Development Programme For The Special Agro- Industrial Processing Zone Of Koulikoro And Semi- Urban Bamako Regions,AF27.txt
AfDB,Morocco,Africa,2018,237,Inclusive And Sustainable Development Support Programme For Agricultural Sectors,AF28.txt
AfDB,Mozambique,Africa,2018,15.4,Agricultural Value Chain And Youth Empowermentproject,AF30.txt
AfDB,"Somalia, Sudan",Africa,2017,17,Rural Livelihoods Adaptation To Climate Change In The Horn Of Africa,AF31.txt
AfDB,African States,Africa,2017,41,Technologies For African Agricultural Transformation: Framework Program In Support Of feed Africa,AF32.txt
AfDB,Namibia,Africa,2017,13,Agricultural Mechanisation And Seed Improvement Project ,AF33.txt
AfDB,Niger,Africa,2020,36.12,Project To Strengthen Resilience Of Rural Communities To Food And Nutrition Insecurity In Niger,AF34.txt
AfDB,Mauritania,Africa,2019,9.8,Agricultural Transformation Support Project,AF36.txt
AfDB,Central African Republic,Africa,2018,11.6,Savannah-based Agricultural Value Chains Development Support Project,AF37.txt
AfDB,Senegal,Africa,2019,48,South Agro-industrial Processing Zone,AF38.txt
AfDB,South Sudan,Africa,2020,14.1,"Agricultural Markets, Value Addition And Trade Development Project",AF39.txt
AfDB,Tanzania,Africa,2016,93.5,Tanzania Agricultural Development Bank,AF40.txt
AfDB,Togo,Africa,2017,13.34,Governance And Agribusiness Promotion Support Programme,AF41.txt
AfDB,Tunisia,Africa,2019,28.9,Project To Develop And Promote Agricultural Subsectors In Zaghouan Governorate,AF42.txt
AfDB,Uganda,Africa,2017,79.8,Agricultural Value Chain Development Programme- Project 1,AF43.txt
AfDB,Burkina Faso,Africa,2018,14.42,Support Project For Youth Employment And Skills Development In Rural Areas,AF45.txt
IFAD,Liberia,Africa,2015,6,Proposed Loan And Grant To The Republic Of Liberia For The Rural Community Finance Project,IF1.txt
IFAD,Burundi,Africa,2015,41.5,Proposed Grant To The Republic Of Burundi For The Value Chain Development Programme ,IF4.txt
IFAD,Madagascar,Africa,2015,40.4,Proposed Loan To The Republic Of Madagascar For The Project To Support Development In The Menabe And Melaky Regions,IF5.txt
IFAD,Togo,Africa,2018,7.5,Proposed Loan And Grant Under The Debt Sustainability Framework To The Togolese Republic For The Shared-risk Agricultural Financing Incentive Mechanism Support Project,IF16.txt
IFAD,Sierra Leone,Africa,2018,11.8,Proposed Loan And Debt Sustainability Framework Grant To The Republic Of Sierra Leone For The Agricultural Value Chain Development Project,IF17.txt
IFAD,Liberia,Africa,2018,23.8,Proposed Loan And Grant To The Republic Of Liberia For The Tree Crops Extension Project ,IF18.txt
IFAD,Niger,Africa,2018,12.7,Proposed Loan And Debt Sustainability Framework Grant To The Republic Of The Niger For The Family Farming Development Programme In The Diffa Region,IF19.txt
IFAD,Benin,Africa,2018,31.28,Proposed Loan And Grant To The Republic Of Benin For The Agricultural Development And Market Access Support Project,IF20.txt
IFAD,Central African Republic,Africa,2018,12.4,Proposal For A Grant To The Central African Republic For The Project To Revitalize Crop And Livestock Production In The Savannah,IF22.txt
IFAD,Gabon,Africa,2018,6.38,Proposal For A Loan To The Republic Of Gabon For The Agricultural And Rural Development Project,IF23.txt
IFAD,Senegal,Africa,2018,46.8,Proposal For A Loan And Grant To The Republic Of Senegal For The Support To Agricultural Development And Rural Entrepreneurship Programme ,IF24.txt
IFAD,Eritrea,Africa,2016,15,Proposed grant to the State of Eritrea for the Fisheries Resources Management Programme,IF34.txt
IFAD,Ethiopia,Africa,2016,102,Proposed loan and grant to the Federal Democratic Republic of Ethiopia for the Participatory Small-scale Irrigation Development Programme,IF35.txt
IFAD,Kenya,Africa,2015,62,Proposed loan and grant to the Republic of Kenyaand proposed grant under the country-specificgrants window to the Food and Agriculture Organization of the United Nations for the Kenya Cereal Enhancement Programme Climate- Resilient Agricultural Livelihoods Window,IF40.txt
IFAD,Liberia ,Africa,2015,13,Proposed loan and grant to the Republic of Liberia for the Tree Crops Extension Project,IF42.txt
IFAD,Mauritania,Africa,2016,15,Proposed grant to the Islamic Republic of Mauritania for the Inclusive Value Chain Development Project,IF43.txt
IFAD,Niger,Africa,2015,24.25,"Proposed loan and grant to the Republic of Niger for the Family Farming Development Programme in Maradi, Tahoua and Zinder Regions",IF46.txt
IFAD,Rwanda,Africa,2016,43,Proposed loan and grant to the Republic of Rwanda for the Rwanda Dairy Development Project,IF53.txt
IFAD,Tunisia,Africa,2016,23.6,Proposed loan and grant to the Republic of Tunisia for the Siliana Territorial Development Value Chain Promotion Project,IF56.txt
IFAD,Zambia,Africa,2016,21.25,Proposed loan and grant to the Republic of Zambia for the Enhanced Smallholder Agribusiness Promotion Programme,IF57.txt
IFAD,Democratic Republic of the Congo,Africa,2015,16.9,Proposed loan and grant to the Democratic Republic of the Congo for the North Kivu Agriculture Sector Support Project,IF58.txt
IFAD,Benin,Africa,2015,23.5,Proposed loan and grant to the Republic of Benin for the Market Gardening Development Support Project,IF59.txt
IFAD,Malawi,Africa,2015,26.48,Proposed loan and grant to the Republic of Malawi for the Programme for Rural Irrigation Development,IF60.txt
IFAD,Tunisia,Africa,2016,23.6,Proposed loan and grant to the Republic of Tunisia for the Siliana Territorial Development Value Chain Promotion Project,IF61.txt
IFAD,Zimbabwe,Africa,2016,25.5,Proposed grant to the Republic of Zimbabwe for the Smallholder Irrigation Revitalization Programme,IF62.txt
IFAD,Angola,Africa,2015,11.1,Proposed loan to the Republic of Angola for the Artisanal Fisheries and Aquaculture Project,IF63.txt
IFAD,Swaziland ,Africa,2015,9.6,Proposed loan and grant to the Kingdom of Swaziland for the Smallholder Market-led Project,IF64.txt
World Bank,Kyrgyz Republic,Asia,2016,5,Integrated Dairy Productivity Improvement Project,WB3.txt
World Bank,Moldova,Asia,2015,12,Moldova Agriculture Competitiveness Project Additional Financing,WB7.txt
World Bank,Maldives,Asia,2017,18,Sustainable Fisheries Resources Development Project (fourth South West Indian Ocean Fisheries Governance And Shared Growth Project),WB13.txt
World Bank,Samoa,Asia,2018,21,Samoa Agriculture & Fisheries Productivity And Marketing Project ,WB14.txt
World Bank,Kosovo,Asia,2017,22,Kosovo Agriculture And Rural Development Project - Third Additional Financing,WB17.txt
World Bank,Lao People's Democratic Republic,Asia,2017,35,Lao Agriculture Commercialization Project,WB18.txt
World Bank,Moldova,Asia,2017,20,Moldova Climate Adaptation Project,WB20.txt
World Bank,Moldova,Asia,2017,30,Moldova Economic Governance Development Policy Operation,WB21.txt
World Bank,Montenegro,Asia,2017,34.89,Montenegro Second Institutional Development And Agriculture Strengthening Project,WB22.txt
World Bank,Papua New Guinea,Asia,2018,40,Png Agriculture Commercialization And Diversification Project,WB26.txt
World Bank,Moldova,Asia,2016,45,Second Development Policy Operation,WB30.txt
World Bank,Albania,Asia,2018,50,Regional And Local Roads Connectivity,WB32.txt
World Bank,Serbia,Asia,2019,50,Serbia: Competitive Agriculture Project,WB36.txt
World Bank,Nepal,Asia,2017,60,Modernization Of Rani Jamara Kulariya Irrigation Scheme,WB44.txt
World Bank,India,Asia,2020,80,Integrated Project For Source Sustainability And Climate Resilient Rain-fed Agriculture In Himachal Pradesh,WB54.txt
World Bank,India,Asia,2015,82.5,National Agricultural Higher Education Project,WB55.txt
World Bank,Cambodia,Asia,2020,60,Land Allocation For Social And Economic Development Project,WB56.txt
World Bank,China,Asia,2015,100,Guangxi Rural Poverty Alleviation Pilot Project,WB58.txt
World Bank,Myanmar,Asia,2015,100,Agricultural Development Support Project,WB62.txt
World Bank,Vietnam,Asia,2016,100,Second Northern Mountains Poverty Reduction Project Additional Financing,WB63.txt
World Bank,Ukraine,Asia,2020,100,"Eastern Ukraine: Reconnect, Recover, Revitalize",WB72.txt
World Bank,Sri Lanka,Asia,2016,125,Sri Lanka Agriculture Sector Modernization Project,WB77.txt
World Bank,Sri Lanka,Asia,2018,125,Climate Smart Irrigated Agriculture Project,WB78.txt
World Bank,Pakistan,Asia,2017,130,Additional Financing For Punjab Irrigated Agriculture Productivity Program Phase-1,WB79.txt
World Bank,Turkey,Asia,2020,300,Turkey Resilient Landscape Integration Project,WB81.txt
World Bank,China,Asia,2017,150,Poyang Lake Basin Town Water Environment Management Project,WB84.txt
World Bank,China,Asia,2015,150,Poverty Alleviation And Agriculture Development Demonstration In Poor Areas Project,WB86.txt
World Bank,India,Asia,2019,164,Odisha Integrated Irrigation Project For Climate Resilient Agriculture,WB90.txt
World Bank,Pakistan,Asia,2019,165,Khyber Pakhthunkhwa Irrigated Agriculture Improvement Project,WB94.txt
World Bank,India,Asia,2019,170,Ap Integrated Irrigation & Agriculture Transformation Project,WB95.txt
World Bank,Bangladesh,Asia,2015,150,Bangladesh Natp-2: National Agricultural Technology Program,WB97.txt
World Bank,India,Asia,2016,200,Assam Agribusiness And Rural Transformation Project,WB100.txt
World Bank,Myanmar,Asia,2019,100,Myanmar National Food And Agriculture Systems Project,WB103.txt
World Bank,India,Asia,2019,210,State Of Maharashtra's Agribusiness And Rural Transformation Project,WB106.txt
World Bank,India,Asia,2018,250,Additional Financing To National Rural Economic Transformation Project,WB108.txt
World Bank,Pakistan,Asia,2017,300,Strengthening Markets For Agriculture And Rural Transformation In Punjab,WB110.txt
World Bank,China,Asia,2020,200,Henan Green Agriculture Finance Fund,WB111.txt
World Bank,India,Asia,2017,318,Tamil Nadu Irrigated Agriculture Modernization Project,WB112.txt
World Bank,China,Asia,2018,400,Guangxi Poverty Reduction Program For Results,WB115.txt
World Bank,India,Asia,2017,480,Maharashtra Project On Climate Resilient Agriculture,WB118.txt
IFAD,Bangladesh,Asia,2015,23.8,Proposed Loan To The People’s Republic Of Bangladesh For The National Agricultural Technology Programme,IF6.txt
IFAD,Nepal,Asia,2015,38.6,Proposed Loan And Grant To Nepal For Samriddhi Rural Enterprises And Remittances Project,IF7.txt
IFAD,Lao People's Democratic Republic,Asia,2016,24,Proposed Grant To The Lao People's Democratic Republic Strategic Support For Food Security And Nutrition Project Global Agriculture And Food Security Program Funds,IF10.txt
IFAD,Lebanon,Asia,2017,5.5,President's Report On A Proposed Loan And Grant To The Lebanese Republic For Harmonized Actions To Enhance Livestock Production And Processing,IF15.txt
IFAD,Myanmar,Asia,2018,9,Proposed Loan And Grant To The Republic Of The Union Of Myanmar For The Western States Agribusiness Project,IF21.txt
IFAD,Bhutan,Asia,2015,8.27,Proposed loan and grant to the Kingdom of Bhutan for the Commercial Agriculture and Resilient Livelihoods Enhancement Programme,IF27.txt
IFAD,Cambodia,Asia,2016,36.3,Proposed loan to the Kingdom of Cambodia for the Accelerating Inclusive Markets for Smallholders Project,IF29.txt
IFAD,India,Asia,2015,51,Proposed loan to the Republic of India for the Odisha Particularly Vulnerable Tribal Groups Empowerment and Livelihoods Improvement Programme,IF37.txt
IFAD,India,Asia,2016,75.5,Proposed loan to the Republic of India for the Andhra Pradesh Drought Mitigation Project,IF38.txt
IFAD,Indonesia,Asia,2015,98,Proposed loan and grant to the Republic of Indonesia for the Integrated Participatory Development and Management of the Irrigation Project,IF39.txt
IFAD,Lao People's Democratic Republic,Asia,2016,10,Proposed loan to the Lao People’s Democratic Republic for the Northern Smallholder Livestock Commercialization Project: Rural Financial Services Programme,IF41.txt
IFAD,Myanmar,Asia,2015,27.6,Proposed loan and grant to the Republic of the Union of Myanmar for the Eastern States Agribusiness Project,IF45.txt
IFAD,Pakistan,Asia,2015,67,Proposed loan to the Islamic Republic of Pakistan for the Economic Transformation Initiative - Gilgit-Baltistan,IF48.txt
IFAD,Phillipines,Asia,2015,25,Proposed loan to the Republic of the Philippines for the Convergence on Value Chain Enhancement for Rural Growth and Empowerment Project,IF49.txt
IFAD,Phillipines,Asia,2015,30,"Proposed loan to the Republic of the Philippines for the Fisheries, Coastal Resources and Livelihood Project",IF51.txt
IFAD,Sri Lanka,Asia,2015,25.7,Proposed loan to the Democratic Socialist Republic of Sri Lanka for the Smallholder Tea and Rubber Revitalization Project,IF54.txt
IFAD,Vietnam,Asia,2016,42.5,Proposed loan to the Socialist Republic of Viet Nam for the Commercial Smallholder Support Project,IF55.txt
ASDB,Mongolia,Asia,2015,35,Agriculture and Rural Development Project- Additional Financing,ASDB3.txt
ASDB,Sri Lanka,Asia,2015,76,Mahaweli Water Security Investment Program,ASDB4.txt
ASDB,Myanmar,Asia,2017,75,Irrigated Agriculture Inclusive Development Project ,ASDB5.txt
ASDB,Bangladesh,Asia,2019,100,Rural Connectivity Improvement Project ,ASDB7.txt
ASDB,Vietnam ,Asia,2018,150,Basic Infrastructure for Inclusive Growth in the Northeastern Provinces Sector Project,ASDB8.txt
ASDB,Sri Lanka,Asia,2018,179,Mahaweli Water Security Investment Program- Additional Financing ,ASDB9.txt
ASDB,Cambodia,Asia,2018,45.7,Tonie Sap Poverty Reduction and Smallholder Development Project- Additional Financing ,ASDB10.txt
ASDB,Kyrgyz Republic,Asia,2018,21.8,Climate Change and Disaster-Resilient Water Resources Sector Project,ASDB11.txt
ASDB,Vietnam ,Asia,2018,100,Water Efficiency Improvement in Drought-Affected Provinces Project,ASDB12.txt
ASDB,Uzbekistan,Asia,2019,197,Horticulture value chain infrastructure project,ASDB13.txt
ASDB,Myanmar,Asia,2018,40.5,climate-friendly agribusiness value chains sector project,ASDB14.txt
ASDB,Pakistan,Asia,2019,100,Balochistan Water Resources Development Sector Project,ASDB15.txt
ASDB,Cambodia,Asia,2018,10,climate-friendly agribusiness value chains sector project,ASDB16.txt
ASDB,Bhutan,Asia,2018,28.7,Phuentsholing Township Development Project,ASDB17.txt
ASDB,Pakistan,Asia,2020,8.3,Punjab Water Resources Management Projects,ASDB18.txt
ASDB,Cambodia,Asia,2019,117,Irrigated Agriculture Improvement Project,ASDB19.txt
ASDB,Myanmar,Asia,2019,185,Resilient Community Development Project,ASDB20.txt
ASDB,Kyrgyz Republic,Asia,2019,13.7,Naryn Rural Water Supply and Sanitation Development Program ,ASDB21.txt
ASDB,Nepal ,Asia,2019,50,Food Safety and Agriculture Commercialization Program,ASDB22.txt
ASDB,Mongolia,Asia,2019,19,Sustainable Tourism Development Project,ASDB23.txt
ASDB,Cambodia,Asia,2020,5,Agricultural Value Chain Competitiveness and Safety Enhancement Project,ASDB24.txt
ASDB,Nepal ,Asia,2020,40,Priority River Basins Flood Risk Management Project,ASDB25.txt
ASDB,Bangladesh,Asia,2020,100,Rural Connectivity Improvement Project- Additional Financing ,ASDB26.txt
ASDB,Lao People's Democratic Republic,Asia,2019,40,sustainable rural infrastructure and watershed management sector project,ASDB27.txt
ASDB,Mongolia,Asia,2020,14.7,Vegetable production and irrigated agriculture project ,ASDB28.txt
ASDB,Tajikistan,Asia,2016,13.7,Water Resources Management in Pyanj River Basin Project ,ASDB6.txt
World Bank,OECS Countries,Latin America and Caribbean,2017,8.3,Oecs Regional Agriculture Competitiveness Project,WB4.txt
World Bank,Haiti,Latin America and Caribbean,2017,15,Resilient Productive Landscapes In Haiti,WB9.txt
World Bank,Haiti,Latin America and Caribbean,2017,35,Relaunching Agriculture: Strengthening Agriculture Public Services Project - Additional Financing,WB23.txt
World Bank,Jamaica,Latin America and Caribbean,2018,40,Jamaica Rural Economic Development Initiative- Second Phase,WB27.txt
World Bank,Argentina,Latin America and Caribbean,2015,58.9,Forests And Communities,WB41.txt
World Bank,Honduras,Latin America and Caribbean,2019,150,Integrating Innovation For Rural Competitiveness In Honduras,WB51.txt
World Bank,Ecuador,Latin America and Caribbean,2015,60,Ecuador - Sustainable Family Farming Modernization Project,WB52.txt
World Bank,Bolivia,Latin America and Caribbean,2017,100,Additional Finance Bo Rural Alliances Project,WB59.txt
World Bank,Paraguay,Latin America and Caribbean,2019,100,Productive Alliances Project,WB70.txt
World Bank,Argentina,Latin America and Caribbean,2017,150,Integrated Management Of Agricultural Risk,WB85.txt
World Bank,Guatemala,Latin America and Caribbean,2020,150,Responding To Covid-19: Modern And Resilient Agri-food Value Chains,WB88.txt
World Bank,Colombia,Latin America and Caribbean,2020,400,Colombia Institutional Strengthening For Territorial Development Dpf,WB116.txt
World Bank,Uruguay,Latin America and Caribbean,2020,400,Uy - Covid-19 Response & Economic Recovery,WB117.txt
IDB,Brazil,Latin America and Caribbean,2018,195,Program to Modernize and Strengthen Agricultural Health and Food Safety Services ,IDB1.txt
IDB,Paraguay,Latin America and Caribbean,2019,15,Project To Implement The Census And Agricultural Surveys System,IDB2.txt
IDB,Haiti,Latin America and Caribbean,2015,15,Artisanal Fisheries Development Program,IDB4.txt
IDB,Bolivia,Latin America and Caribbean,2015,100,Agricultural Health And Food Safety Program ,IDB5.txt
IDB,Bolivia,Latin America and Caribbean,2015,62,Direct Supports For The Creation Of Rural Agrifood Initiatives,IDB6.txt
IDB,Uruguay,Latin America and Caribbean,2018,24.2,Rural Productive Development Program ,IDB7.txt
IDB,Haiti,Latin America and Caribbean,2017,55,Agricultural And Agroforestry Technological Innovation Program ,IDB8.txt
IDB,Paraguay,Latin America and Caribbean,2018,15,Project To Improve And Expand Animal Health Services In Paraguay,IDB9.txt
IDB,Bolivia,Latin America and Caribbean,2016,60,Rural Land Regularization And Titling Program,IDB10.txt
IDB,Guyana,Latin America and Caribbean,2018,15,Sustainable Agricultural Development Program,IDB12.txt
IDB,Argentina,Latin America and Caribbean,2016,100,Provincial Agricultural Services Program,IDB13.txt
IFAD,El Salvador,Latin America and Caribbean,2015,12.3,Proposed Loan And Grant To The Republic Of El Salvador For The National Programme Of Rural Economic Transformation For Living Well - Rural Adelante,IF3.txt
IFAD,Argentina,Latin America and Caribbean,2016,13.3,Proposed Loan And Grant To The Argentine Republic For The Goat Value Chain Development Programme,IF8.txt
IFAD,Guyana,Latin America and Caribbean,2016,8.5,Proposed Loan And Grant To The Cooperative Republic Of Guyana For The Hinterland Environmentally Sustainable Agricultural Development Project,IF9.txt
IFAD,Argentina,Latin America and Caribbean,2015,24.17,Proposed loan and grant to the Republic of Argentina for the Programme for Economic Insertion of Family Producers of Northern Argentina,IF26.txt
IFAD,Bolivia,Latin America and Caribbean,2015,17.89,Proposed loan to the Plurinational State of Bolivia for the Integral Strengthening Programme for the Camelid Value Chain in the Bolivian High Plateau,IF28.txt
IFAD,Cuba,Latin America and Caribbean,2016,12,Proposed loan to the Republic of Cuba for the Livestock Cooperatives Development Project in the Central-Eastern Region,IF31.txt
IFAD,Ecuador,Latin America and Caribbean,2015,16,Proposed loan and grant to the Republic of Ecuador for the Project to Strengthen Rural Actors in the Popular and Solidary Economy,IF32.txt
IFAD,Ecuador,Latin America and Caribbean,2016,25.7,Proposed loan and grant to the Republic of Ecuador for the Catalysing Inclusive Value Chain Partnerships Project,IF33.txt
IFAD,Mexico,Latin America and Caribbean,2015,6.6,Proposed loan and grant to the United Mexican States for the Rural Productive Inclusion Project,IF44.txt
IFAD,Nicaragua ,Latin America and Caribbean,2016,20.5,Proposed loan to the Republic of Nicaragua for the Nicaraguan Dry Corridor Rural Family Sustainable Development Project,IF47.txt
IFAD,Paraguay,Latin America and Caribbean,2015,37,Proposed loan and grant to the Republic of Paraguay for the Project for Improved Family and Indigenous Production in Departments of Eastern Paraguay,IF50.txt
IFAD,Peru,Latin America and Caribbean,2016,28.5,"Proposed loan to the Republic of Peru for the Public Services Improvement for Sustainable Territorial Development in the Apur’mac, Ene and Mantaro River Basins Project (Sustainable Territorial Development Project)",IF52.txt
World Bank,Afghanistan,Middle East,2017,18,Afghanistan Strategic Grain Reserve,WB15.txt
World Bank,Afghanistan,Middle East,2018,25,Women's Economic Empowerment Rural Development Project,WB19.txt
